time          pre           rho           T             H2            H             CH4           CH3           CH2           CH            CH2O          HCO           CO2           CO            O2            O             OH            HO2           H2O2          H2O           C2H           HCCO          C2H2          C2H3          C2H4          C2H5          C2H6          CH2OH         CH3O          HCCOH         H2CCCH        C3H2          CH2(S)        CH2CO         C2O           HCOH          CH3OH         CH2HCO        C3H6          AC3H5         PC3H5         SC3H5         CH2CHCHO      PC3H4         AC3H4         CH3CO         CH2CHCO       CH3CHCO       CH3HCO        CHOCHO        IC3H7         NC3H7         C2H5OH        C2H4OH        CH3CHOH       CH3CH2O       CH2CHCH2O     HCOOH         C3H8          HOC2H4O2      N2            AR            sumfracs      
0.000000e+00  3.300000e+05  1.209353e+00  1.294000e+03  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.086767e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.460524e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.245271e-01  1.000000e+00  
2.918918e-14  3.300000e+05  1.209353e+00  1.294000e+03  1.132202e-20  0.000000e+00  0.000000e+00  2.515781e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.086767e-02  1.563853e-26  4.686789e-15  0.000000e+00  0.000000e+00  4.885049e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  7.607087e-14  8.008628e-15  0.000000e+00  5.192986e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.474298e-19  0.000000e+00  0.000000e+00  0.000000e+00  1.460524e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  9.245271e-01  1.000000e+00  
1.639795e-13  3.300000e+05  1.209353e+00  1.294000e+03  6.360507e-20  3.287673e-21  9.919122e-22  1.413320e-13  1.914508e-31  1.394315e-31  1.810481e-18  1.715725e-34  2.183363e-38  1.320386e-33  6.086767e-02  8.284633e-24  2.632953e-14  1.919050e-18  1.374974e-27  2.744332e-13  5.164602e-46  1.531060e-37  2.024065e-26  7.872288e-30  4.273524e-13  4.499099e-14  3.624437e-30  2.917307e-13  1.588913e-23  1.099571e-46  1.983375e-57  2.245105e-61  5.439026e-31  1.287833e-38  2.432405e-55  1.165746e-33  8.995149e-31  2.408384e-31  1.407849e-33  9.411154e-44  2.914294e-48  1.470605e-47  5.367041e-54  3.427307e-46  1.672480e-46  3.261289e-30  4.077375e-65  2.180959e-54  1.390029e-18  5.563133e-64  3.650732e-33  7.359495e-33  1.460524e-02  4.499810e-21  6.606724e-21  1.303645e-20  2.143215e-68  4.962662e-37  7.245749e-31  3.688316e-27  0.000000e+00  9.245271e-01  1.000000e+00  
5.851874e-13  3.300000e+05  1.209353e+00  1.294000e+03  2.269850e-19  3.011791e-20  9.087438e-21  5.043661e-13  2.978882e-30  1.277389e-30  1.658665e-17  3.822283e-33  8.676905e-37  2.861357e-32  6.086767e-02  7.546745e-23  9.396114e-14  1.758137e-17  2.882916e-26  9.793593e-13  4.260512e-44  3.210194e-36  1.854355e-25  7.682063e-29  1.525076e-12  1.605574e-13  1.028796e-28  1.041078e-12  1.455685e-22  1.058037e-44  3.159104e-55  1.834292e-58  1.543753e-29  2.700328e-37  4.384438e-53  3.069380e-32  2.553269e-29  2.206548e-30  3.996402e-32  5.768056e-42  1.780463e-46  8.984047e-46  7.002254e-52  3.297849e-44  1.021720e-44  2.985530e-29  1.116934e-62  2.819585e-52  4.960622e-18  2.246407e-60  1.036258e-31  2.088985e-31  1.460524e-02  4.122360e-20  6.052613e-20  1.194338e-19  4.545578e-64  1.408661e-35  2.056702e-29  7.730657e-26  0.000000e+00  9.245271e-01  1.000000e+00  
1.006395e-12  3.300000e+05  1.209353e+00  1.294000e+03  3.903650e-19  7.388605e-20  2.229390e-20  8.674003e-13  7.971652e-30  3.133767e-30  4.069139e-17  1.148834e-32  2.491502e-36  7.910629e-32  6.086767e-02  1.849434e-22  1.615927e-13  4.313172e-17  7.947513e-26  1.684286e-12  2.525780e-43  8.849742e-36  4.549225e-25  1.910071e-28  2.622801e-12  2.761237e-13  2.901412e-28  1.790415e-12  3.571181e-22  6.435559e-44  1.467355e-54  2.713845e-57  4.353671e-29  7.444190e-37  5.298655e-52  8.613303e-32  7.200726e-29  5.413301e-30  1.127170e-31  1.712300e-41  5.194739e-46  2.620324e-45  2.235986e-51  2.005932e-43  2.979775e-44  7.323053e-29  3.589716e-62  8.354550e-52  8.531287e-18  7.669386e-59  2.922452e-31  5.891352e-31  1.460524e-02  1.011316e-19  1.484858e-19  2.930028e-19  4.350394e-62  3.972758e-35  5.800305e-29  2.131093e-25  0.000000e+00  9.245271e-01  1.000000e+00  
1.427603e-12  3.300000e+05  1.209353e+00  1.294000e+03  5.537450e-19  1.515220e-19  4.572223e-20  1.230434e-12  2.259778e-29  6.426921e-30  8.345279e-17  3.675643e-32  9.947397e-36  2.398886e-31  6.086767e-02  3.792181e-22  2.292242e-13  8.845790e-17  2.350706e-25  2.389212e-12  1.140426e-42  2.617573e-35  9.329939e-25  4.156895e-28  3.720525e-12  3.916897e-13  9.502974e-28  2.539733e-12  7.324067e-22  2.927838e-43  8.438009e-54  1.721562e-56  1.425886e-28  2.201907e-36  2.710223e-51  2.761825e-31  2.358447e-28  1.110253e-29  3.692058e-31  7.542149e-41  2.279447e-45  1.149703e-44  1.251543e-50  9.125930e-43  1.307394e-43  1.500850e-28  2.459173e-61  4.665019e-51  1.210210e-17  5.907308e-58  9.571875e-31  1.929586e-30  1.460524e-02  2.074023e-19  3.045203e-19  6.009145e-19  3.312564e-61  1.301206e-34  1.899767e-28  6.301814e-25  0.000000e+00  9.245271e-01  1.000000e+00  
1.848811e-12  3.300000e+05  1.209353e+00  1.294000e+03  7.171251e-19  2.517304e-19  7.596515e-20  1.593469e-12  4.713343e-29  1.067788e-29  1.386516e-16  8.640500e-32  2.665734e-35  5.270554e-31  6.086767e-02  6.301844e-22  2.968556e-13  1.469678e-16  5.045564e-25  3.094138e-12  3.512726e-42  5.618382e-35  1.550122e-24  7.273826e-28  4.818250e-12  5.072554e-13  2.123639e-27  3.289039e-12  1.216854e-21  9.057472e-43  3.128729e-53  7.521855e-56  3.186281e-28  4.726334e-36  1.162681e-50  6.123085e-31  5.270438e-28  1.844706e-29  8.251436e-31  2.158260e-40  6.423899e-45  3.238984e-44  4.433571e-50  2.823172e-42  3.682976e-43  2.491966e-28  1.017907e-60  1.596010e-50  1.567302e-17  3.930310e-57  2.139033e-30  4.312054e-30  1.460524e-02  3.445773e-19  5.059336e-19  9.983878e-19  2.986149e-60  2.907856e-34  4.245422e-28  1.352313e-24  0.000000e+00  9.245271e-01  1.000000e+00  
2.738223e-12  3.300000e+05  1.209353e+00  1.294000e+03  1.062115e-18  5.437010e-19  1.640896e-19  2.360042e-12  1.339706e-28  2.306451e-29  2.994933e-16  2.809477e-31  9.933807e-35  1.592547e-30  6.086767e-02  1.361973e-21  4.396643e-13  3.174581e-16  1.478008e-24  4.582643e-12  1.423640e-41  1.645810e-34  3.348364e-24  1.694340e-27  7.136179e-12  7.512804e-13  6.413378e-27  4.871207e-12  2.628475e-21  3.680942e-42  1.601037e-52  4.064427e-55  9.621889e-28  1.384559e-35  6.289737e-50  1.838408e-30  1.591667e-27  3.984956e-29  2.492214e-30  8.526365e-40  2.494881e-44  1.257454e-43  2.187799e-49  1.147333e-41  1.429706e-42  5.377303e-28  5.924906e-60  7.602463e-50  2.321365e-17  3.090063e-56  6.459852e-30  1.302233e-29  1.460524e-02  7.442718e-19  1.092811e-18  2.156579e-18  2.897877e-59  8.781853e-34  1.282112e-27  3.960107e-24  0.000000e+00  9.245271e-01  1.000000e+00  
4.358062e-12  3.300000e+05  1.209353e+00  1.294000e+03  1.690428e-18  1.366515e-18  4.124919e-19  3.756162e-12  4.864194e-28  5.797811e-29  7.528573e-16  1.246385e-30  5.409224e-34  6.368701e-30  6.086767e-02  3.429072e-21  6.997534e-13  7.980246e-16  5.555833e-24  7.293579e-12  8.048168e-41  6.186644e-34  8.417188e-24  4.831461e-27  1.135770e-11  1.195707e-12  2.460740e-26  7.752561e-12  6.607478e-21  2.085931e-41  1.419788e-51  3.379207e-54  3.691257e-27  5.205097e-35  4.863986e-49  7.026596e-30  6.107028e-27  1.001886e-28  9.564373e-30  4.957646e-39  1.420372e-43  7.155353e-43  1.881343e-48  6.501760e-41  8.134676e-42  1.349155e-27  7.641008e-59  6.388193e-49  3.694843e-17  3.876710e-55  2.478561e-29  4.996485e-29  1.460524e-02  1.870788e-18  2.746949e-18  5.421240e-18  4.419511e-58  3.369601e-33  4.919299e-27  1.487600e-23  0.000000e+00  9.245271e-01  1.000000e+00  
7.234919e-12  3.300000e+05  1.209353e+00  1.294000e+03  2.806327e-18  3.752643e-18  1.133137e-18  6.235690e-12  2.071306e-27  1.592594e-28  2.068064e-15  6.973370e-30  3.767803e-33  3.113449e-29  6.086767e-02  9.450389e-21  1.161673e-12  2.192175e-15  2.439665e-23  1.210824e-11  5.659777e-40  2.716702e-33  2.312247e-23  1.607590e-26  1.885520e-11  1.985006e-12  1.091741e-25  1.286936e-11  1.815091e-20  1.469544e-40  1.779964e-50  3.769409e-53  1.637208e-26  2.286159e-34  5.135106e-48  3.111407e-29  2.709453e-26  2.753021e-28  4.245006e-29  3.704840e-38  1.024655e-42  5.157489e-42  2.324679e-47  4.580514e-40  5.862315e-41  3.693355e-27  1.592890e-57  7.610905e-48  6.134661e-17  7.640613e-54  1.099639e-28  2.216729e-28  1.460524e-02  5.138270e-18  7.545114e-18  1.489236e-17  1.141968e-56  1.495058e-32  2.182498e-26  6.523871e-23  0.000000e+00  9.245271e-01  1.000000e+00  
1.238539e-11  3.300000e+05  1.209353e+00  1.294000e+03  4.804172e-18  1.097697e-17  3.316544e-18  1.067482e-11  9.900857e-27  4.660814e-28  6.052562e-15  4.705367e-29  3.066214e-32  1.798819e-28  6.086767e-02  2.782826e-20  1.988646e-12  6.415994e-15  1.191801e-22  2.072800e-11  4.605041e-39  1.327169e-32  6.767650e-23  6.162685e-26  3.227809e-11  3.398070e-12  5.356764e-25  2.202834e-11  5.312435e-20  1.197129e-39  2.771122e-49  5.088186e-52  8.029017e-26  1.117346e-33  6.692627e-47  1.525324e-28  1.329415e-25  8.062771e-28  2.084302e-28  3.274807e-37  8.537477e-42  4.290846e-41  3.559430e-46  3.731418e-39  4.875688e-40  1.074344e-26  4.228068e-56  1.088933e-46  1.050456e-16  2.101996e-52  5.395443e-28  1.087639e-27  1.460524e-02  1.503443e-17  2.207885e-17  4.358763e-17  4.196715e-55  7.336539e-32  1.070856e-25  3.179516e-22  0.000000e+00  9.245271e-01  1.000000e+00  
