time          pre           rho           T             O2            NO            NO2           N2            O             sumfracs      
0.000000e+000  1.000000e+005  3.267356e-001  1.073150e+003  0.000000e+000  0.000000e+000  1.000000e-001  9.000000e-001  0.000000e+000  1.000000e+000  
3.850902e-008  1.000000e+005  3.267356e-001  1.073150e+003  1.475037e-008  2.766780e-008  9.999996e-002  9.000000e-001  2.237720e-012  1.000000e+000  
8.480822e-006  1.000003e+005  3.267356e-001  1.073150e+003  3.248805e-006  6.093005e-006  9.999066e-002  9.000000e-001  1.288966e-011  1.000000e+000  
8.155066e-005  1.000028e+005  3.267356e-001  1.073150e+003  3.119398e-005  5.850282e-005  9.991030e-002  9.000000e-001  1.307755e-011  1.000000e+000  
1.546205e-004  1.000054e+005  3.267356e-001  1.073150e+003  5.909288e-005  1.108259e-004  9.983008e-002  9.000000e-001  1.307859e-011  1.000000e+000  
3.416201e-004  1.000119e+005  3.267356e-001  1.073150e+003  1.302903e-004  2.443532e-004  9.962536e-002  9.000000e-001  1.307900e-011  1.000000e+000  
5.286197e-004  1.000183e+005  3.267356e-001  1.073150e+003  2.012208e-004  3.773799e-004  9.942140e-002  9.000000e-001  1.307977e-011  1.000000e+000  
7.156194e-004  1.000248e+005  3.267356e-001  1.073150e+003  2.718636e-004  5.098671e-004  9.921827e-002  9.000000e-001  1.308055e-011  1.000000e+000  
9.982741e-004  1.000344e+005  3.267356e-001  1.073150e+003  3.780839e-004  7.090780e-004  9.891284e-002  9.000000e-001  1.308173e-011  1.000000e+000  
1.503785e-003  1.000516e+005  3.267356e-001  1.073150e+003  5.663897e-004  1.062236e-003  9.837137e-002  9.000000e-001  1.308391e-011  1.000000e+000  
2.621265e-003  1.000889e+005  3.267356e-001  1.073150e+003  9.752810e-004  1.829092e-003  9.719563e-002  9.000000e-001  1.308897e-011  1.000000e+000  
3.738745e-003  1.001252e+005  3.267356e-001  1.073150e+003  1.374255e-003  2.577348e-003  9.604840e-002  9.000000e-001  1.309436e-011  1.000000e+000  
4.856226e-003  1.001607e+005  3.267356e-001  1.073150e+003  1.763653e-003  3.307645e-003  9.492870e-002  9.000000e-001  1.309994e-011  1.000000e+000  
5.973706e-003  1.001953e+005  3.267356e-001  1.073150e+003  2.143816e-003  4.020623e-003  9.383556e-002  9.000000e-001  1.310591e-011  1.000000e+000  
7.258705e-003  1.002341e+005  3.267356e-001  1.073150e+003  2.569926e-003  4.819772e-003  9.261030e-002  9.000000e-001  1.311327e-011  1.000000e+000  
8.543705e-003  1.002719e+005  3.267356e-001  1.073150e+003  2.984691e-003  5.597644e-003  9.141767e-002  9.000000e-001  1.312086e-011  1.000000e+000  
9.828704e-003  1.003087e+005  3.267356e-001  1.073150e+003  3.388593e-003  6.355141e-003  9.025627e-002  9.000000e-001  1.312877e-011  1.000000e+000  
1.240988e-002  1.003798e+005  3.267356e-001  1.073150e+003  4.168784e-003  7.818352e-003  8.801286e-002  9.000000e-001  1.314578e-011  1.000000e+000  
