int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  0.000000e+00  8.768025e-02  1.000000e+00  3.632006e+00  3.000000e+02  9.922499e-01  7.842720e-11  3.024323e-03  8.523975e-08  1.157234e-14  8.487113e-16  5.807793e-13  7.255825e-13  4.725728e-03  1.000000e+00  
1.000000e+04  2.600000e-04  8.343657e-02  9.135782e-01  4.545950e+00  3.471726e+02  9.823209e-01  1.771144e-10  6.697810e-03  1.455768e-07  2.407848e-14  1.767843e-15  1.312000e-12  1.639598e-12  1.098114e-02  1.000000e+00  
1.000000e+04  6.600000e-04  7.016869e-02  8.112680e-01  6.477965e+00  4.911209e+02  9.619300e-01  3.761758e-10  1.399515e-02  1.208418e-05  6.027723e-14  3.827398e-13  2.382822e-12  3.479674e-12  2.406277e-02  1.000000e+00  
1.000000e+04  9.000000e-04  6.082058e-02  7.358519e-01  8.327774e+00  6.428873e+02  9.447380e-01  5.453885e-10  1.984106e-02  1.140847e-04  3.552453e-13  8.728526e-11  1.691687e-12  4.987285e-12  3.530685e-02  1.000000e+00  
1.000000e+04  1.200000e-03  5.247162e-02  5.506696e-01  1.069456e+01  8.640915e+02  9.214689e-01  7.959691e-10  2.754506e-02  4.523231e-04  8.056744e-12  8.984627e-09  1.010948e-12  7.098350e-12  5.053375e-02  1.000000e+00  
1.000000e+04  1.550000e-03  4.712786e-02  2.110329e-01  1.221998e+01  1.130214e+03  8.916537e-01  1.235278e-09  3.722265e-02  1.174349e-03  3.857206e-10  2.643336e-07  7.656442e-13  1.143986e-11  6.994900e-02  1.000000e+00  
1.000000e+04  1.900000e-03  4.499091e-02  -1.962677e-01  1.201817e+01  1.377994e+03  8.587110e-01  2.023415e-09  4.787013e-02  2.058725e-03  4.642040e-09  2.091773e-06  7.922983e-13  2.066920e-11  9.135803e-02  1.000000e+00  
1.000000e+04  2.300000e-03  4.502173e-02  -6.529481e-01  1.031119e+01  1.621792e+03  8.170380e-01  4.874140e-09  6.137750e-02  3.247892e-03  3.343773e-08  1.017799e-05  1.378353e-12  3.982893e-11  1.183264e-01  1.000000e+00  
1.000000e+04  2.800000e-03  4.748398e-02  -1.124049e+00  7.674374e+00  1.864735e+03  7.582083e-01  1.793699e-08  8.054365e-02  4.962523e-03  1.997369e-07  4.017012e-05  5.153964e-12  8.179053e-11  1.562451e-01  1.000000e+00  
1.000000e+04  3.450000e-03  5.352474e-02  -1.534579e+00  5.130969e+00  2.092083e+03  6.692141e-01  1.126197e-07  1.096358e-01  7.674223e-03  1.208550e-06  1.475040e-04  5.598872e-11  2.466704e-10  2.133271e-01  1.000000e+00  
1.000000e+04  4.100000e-03  6.221420e-02  -1.755513e+00  3.806542e+00  2.248976e+03  5.628174e-01  7.559547e-07  1.443681e-01  1.110348e-02  5.805811e-06  4.265845e-04  5.164817e-10  8.756586e-10  2.812779e-01  1.000000e+00  
1.000000e+04  4.700000e-03  7.240932e-02  -1.845771e+00  3.179390e+00  2.347678e+03  4.480459e-01  4.698867e-06  1.815937e-01  1.495527e-02  2.348743e-05  1.039992e-03  3.218771e-09  3.217069e-09  3.543369e-01  1.000000e+00  
