time          Z             SDR           rho           mu            cp            T             Radiation     H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+04  0.000000e+00  0.000000e+00  1.153241e+00  1.857880e-05  1.012819e+03  3.000000e+02  0.000000e+00  6.568408e-31  3.420412e-20  0.000000e+00  2.100000e-01  1.457274e-29  6.568408e-48  6.568408e-65  0.000000e+00  1.310845e-21  1.683937e-22  7.606638e-20  1.225082e-22  1.324450e-22  0.000000e+00  0.000000e+00  0.000000e+00  6.511397e-24  4.828440e-23  1.988957e-22  3.555656e-24  1.660495e-21  1.275870e-19  9.675175e-25  4.240424e-32  2.211494e-22  4.647095e-34  5.267591e-20  7.988985e-24  1.840743e-21  9.657443e-26  4.327733e-20  8.189329e-23  1.434301e-19  8.933938e-20  1.071581e-28  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.924280e-21  0.000000e+00  1.360017e-19  1.596115e-25  3.484020e-23  1.677973e-22  0.000000e+00  9.253653e-29  7.900000e-01  0.000000e+00  1.501653e-33  2.830468e-25  1.184389e-31  1.070352e-19  1.000000e+00  
1.000000e+04  5.000000e-03  3.930349e-02  6.339416e-01  2.823285e-05  1.059300e+03  5.434435e+02  0.000000e+00  3.885833e-06  4.175420e-10  1.426530e-06  1.892939e-01  2.895605e-06  1.119135e-02  3.600771e-06  1.893035e-06  8.428742e-27  4.965928e-23  1.717564e-16  6.861353e-18  6.461271e-13  4.313028e-10  4.839501e-04  1.295613e-02  8.993120e-15  2.734035e-11  8.135399e-17  1.646166e-13  2.254042e-11  1.638917e-21  4.143936e-11  3.861663e-18  5.757548e-12  4.090412e-17  7.881688e-15  1.726830e-15  5.472451e-11  7.253272e-12  2.477329e-15  1.232660e-13  2.037629e-12  2.885499e-11  3.567097e-16  1.231825e-05  6.312914e-06  9.221801e-08  4.488301e-10  2.889066e-18  2.132662e-08  2.633998e-12  1.884389e-23  2.316480e-10  1.175249e-10  9.060540e-09  2.043210e-11  7.860423e-01  0.000000e+00  7.222444e-20  5.631596e-18  4.312841e-15  6.092321e-14  1.000000e+00  
1.000000e+04  1.500000e-02  2.695941e-01  3.524755e-01  4.128393e-05  1.191503e+03  9.691604e+02  0.000000e+00  1.191543e-05  1.988348e-07  2.943709e-05  1.478509e-01  5.042392e-05  3.354454e-02  2.528886e-05  4.481884e-06  8.085071e-21  6.704721e-18  5.047022e-14  2.736647e-15  2.038745e-11  1.325440e-09  1.479061e-03  3.882561e-02  9.514225e-12  1.662774e-10  1.309084e-14  7.106494e-13  5.840426e-11  1.216672e-16  1.367569e-10  3.407920e-15  2.022271e-11  5.187633e-15  2.812860e-14  3.831525e-13  2.090605e-10  2.185776e-11  4.203385e-13  1.926908e-11  2.261761e-11  9.417121e-11  2.347532e-12  4.613982e-05  4.852286e-06  2.763925e-07  3.991917e-09  4.756314e-14  6.401317e-08  6.835559e-13  4.717549e-19  6.955911e-10  3.527123e-10  2.726154e-08  5.278914e-10  7.781268e-01  0.000000e+00  2.204794e-19  2.054765e-17  3.916783e-13  4.181035e-13  1.000000e+00  
1.000000e+04  2.500000e-02  6.421045e-01  2.534705e-01  5.082020e-05  1.290998e+03  1.335520e+03  0.000000e+00  2.928169e-05  5.566093e-06  2.996792e-04  1.062481e-01  5.078888e-04  5.555980e-02  2.493471e-05  1.736332e-06  3.678141e-16  2.595422e-14  5.384187e-12  2.922513e-13  2.363895e-10  3.627288e-09  2.720129e-03  6.430862e-02  3.819668e-10  9.373955e-10  9.003547e-13  1.377514e-12  9.231806e-11  9.901432e-14  7.056046e-10  6.244291e-13  9.809273e-11  5.277773e-14  1.793254e-13  3.974084e-11  9.279424e-10  5.270060e-11  3.303023e-11  2.796049e-10  1.573546e-10  2.540647e-10  1.486977e-10  8.179778e-05  5.627250e-07  4.538353e-07  9.029909e-09  7.720025e-12  1.117262e-07  7.612633e-13  6.907885e-16  1.326213e-09  6.633207e-10  4.801131e-08  2.896941e-09  7.702113e-01  0.000000e+00  3.322668e-18  1.384822e-16  1.419134e-12  2.939506e-12  1.000000e+00  
1.000000e+04  3.500000e-02  1.122361e+00  2.055403e-01  5.776031e-05  1.370158e+03  1.627525e+03  0.000000e+00  1.312672e-04  3.881243e-05  9.838831e-04  6.575869e-02  1.928950e-03  7.606063e-02  1.579738e-05  6.939497e-07  2.822860e-12  2.902674e-11  6.620683e-10  4.268787e-11  7.845581e-09  4.330235e-08  5.856851e-03  8.681265e-02  4.878999e-09  1.899990e-08  1.056006e-10  2.187561e-11  7.432613e-10  3.297400e-11  2.002485e-08  9.231209e-11  2.149052e-09  2.083545e-12  7.893745e-12  3.510250e-09  1.233024e-08  6.571299e-10  8.860463e-10  2.140614e-09  1.143392e-09  1.433141e-09  1.470468e-09  1.147175e-04  1.276919e-07  4.853016e-07  1.295229e-08  2.453513e-10  2.938543e-07  2.253341e-12  2.810238e-13  5.203841e-09  1.868481e-09  1.101619e-07  1.231533e-08  7.622959e-01  0.000000e+00  6.356294e-16  6.191644e-15  2.702690e-11  6.149912e-11  1.000000e+00  
1.000000e+04  4.500000e-02  1.688906e+00  1.800126e-01  6.222049e-05  1.433713e+03  1.827197e+03  0.000000e+00  4.611268e-04  1.221551e-04  1.376061e-03  3.106487e-02  3.391188e-03  9.404742e-02  8.601062e-06  4.020100e-07  4.693087e-09  1.164141e-08  7.374669e-08  6.297413e-09  6.151334e-07  1.619915e-06  1.477043e-02  1.002235e-01  1.394029e-07  8.329791e-07  1.352768e-08  1.032373e-09  2.160999e-08  6.136353e-09  1.401363e-06  1.107627e-08  1.201132e-07  3.041493e-10  1.140004e-09  2.535956e-07  3.276638e-07  2.485244e-08  1.612683e-08  1.708335e-08  1.398961e-08  2.003398e-08  5.384068e-09  1.448861e-04  5.059954e-08  2.860697e-07  2.382504e-08  4.874477e-09  1.817912e-06  1.839591e-11  4.941231e-11  5.022637e-08  9.228603e-09  5.161662e-07  6.957631e-08  7.543809e-01  0.000000e+00  2.492171e-13  9.460194e-13  1.082189e-09  2.562886e-09  1.000000e+00  
1.000000e+04  5.500000e-02  2.326193e+00  1.656014e-01  6.463760e-05  1.486127e+03  1.944488e+03  0.000000e+00  1.301610e-03  1.734026e-04  5.297192e-04  7.920603e-03  2.552385e-03  1.085660e-01  3.172904e-06  1.813313e-07  1.277566e-06  1.035798e-06  4.546672e-06  3.913566e-07  5.183397e-05  9.118476e-05  3.143981e-02  1.005498e-01  3.923079e-06  2.921796e-05  7.955040e-07  3.741914e-08  8.371087e-07  4.081473e-07  1.051717e-04  8.831168e-07  9.311461e-06  5.818700e-08  2.560861e-07  8.496380e-06  8.921944e-06  9.989920e-07  2.722224e-07  1.227368e-07  2.004123e-07  4.298619e-07  8.094062e-09  1.565201e-04  1.524425e-08  1.308975e-07  6.795836e-08  5.613629e-08  1.451927e-05  8.556586e-10  2.828942e-09  6.599296e-07  4.725164e-08  3.429832e-06  2.748608e-07  7.464669e-01  0.000000e+00  7.071776e-11  2.488269e-10  2.546991e-08  9.701019e-08  1.000000e+00  
1.000000e+04  6.500000e-02  3.022094e+00  1.643709e-01  6.394176e-05  1.528203e+03  1.929274e+03  0.000000e+00  2.438010e-03  3.027477e-05  1.006695e-05  3.841148e-03  2.390830e-04  1.124142e-01  1.497934e-06  8.274738e-08  2.233212e-07  5.327148e-07  1.444580e-05  7.757219e-07  8.734660e-04  3.291190e-03  3.817865e-02  9.687626e-02  2.672572e-06  1.335723e-04  1.664963e-06  1.008637e-07  1.015070e-05  8.144327e-07  2.290021e-03  7.137437e-06  4.464394e-04  5.230527e-06  3.800456e-05  1.768565e-05  7.943561e-05  1.058717e-05  6.813395e-08  6.813878e-08  4.212598e-07  4.906608e-06  1.368433e-09  1.224416e-04  7.334018e-09  1.074840e-07  6.035596e-08  1.576454e-08  3.609136e-05  3.229240e-09  1.768879e-09  4.018814e-06  6.714998e-08  1.350815e-05  1.126966e-07  7.385637e-01  0.000000e+00  3.463246e-09  5.220387e-08  4.448870e-08  8.198826e-07  1.000000e+00  
1.000000e+04  7.500000e-02  3.766717e+00  1.673870e-01  6.241784e-05  1.569555e+03  1.875640e+03  0.000000e+00  2.815474e-03  7.038209e-06  8.880218e-07  3.072213e-03  4.073376e-05  1.119880e-01  5.220755e-07  3.066769e-08  5.311119e-09  2.367628e-08  3.281052e-06  1.491254e-07  8.481569e-04  1.145237e-02  3.894179e-02  9.528509e-02  4.503047e-07  9.161310e-05  3.364126e-07  3.391421e-08  1.009247e-05  1.919470e-07  3.400783e-03  3.554941e-06  9.839149e-04  5.396755e-06  1.085450e-04  5.394327e-06  7.888480e-05  1.063935e-05  4.158865e-09  1.156159e-08  1.398151e-07  6.787970e-06  3.000190e-10  1.110576e-04  8.055016e-09  9.146955e-08  1.801014e-08  2.926283e-09  4.117434e-05  3.453158e-10  1.016497e-10  4.525949e-06  5.521515e-08  1.529686e-05  2.488188e-08  7.306645e-01  0.000000e+00  2.522176e-09  1.585790e-07  1.480351e-08  5.237419e-07  1.000000e+00  
1.000000e+04  8.500000e-02  4.551748e+00  1.705634e-01  6.097438e-05  1.610965e+03  1.825620e+03  0.000000e+00  2.970476e-03  3.303202e-06  2.919358e-07  2.783189e-03  1.566333e-05  1.110128e-01  3.187891e-07  1.732559e-08  3.004945e-10  3.653396e-09  1.291215e-06  5.357191e-08  7.405596e-04  2.098269e-02  3.890001e-02  9.407734e-02  1.818579e-07  7.123869e-05  1.300284e-07  1.887858e-08  9.503215e-06  7.836367e-08  3.890874e-03  2.248268e-06  1.329980e-03  4.420104e-06  1.766447e-04  2.361028e-06  7.213158e-05  9.428695e-06  5.664694e-10  4.065368e-09  6.634426e-08  7.448769e-06  1.329970e-10  1.055054e-04  9.932780e-09  8.432706e-08  8.167807e-09  1.162052e-09  4.327987e-05  1.364868e-10  1.917791e-11  4.516094e-06  4.603501e-08  1.570176e-05  1.018352e-08  7.227655e-01  0.000000e+00  1.801676e-09  2.406067e-07  8.679080e-09  3.822632e-07  1.000000e+00  
