time          Z             SDR           rho           mu            cp            T             Radiation     H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+03  0.000000e+00  0.000000e+00  1.153241e+00  1.857880e-05  1.012819e+03  3.000000e+02  0.000000e+00  0.000000e+00  2.100000e-01  0.000000e+00  7.114187e-18  6.433606e-18  0.000000e+00  0.000000e+00  0.000000e+00  7.900000e-01  1.000000e+00  
1.000000e+03  3.112975e-04  7.290676e-04  1.025688e+00  2.021708e-05  1.019390e+03  3.366610e+02  0.000000e+00  1.653802e-06  2.074754e-01  2.766065e-03  6.685302e-14  2.860936e-12  2.733629e-07  7.749921e-07  1.715007e-06  7.897541e-01  1.000000e+00  
1.000000e+03  8.506950e-04  4.685690e-03  8.625554e-01  2.280813e-05  1.031636e+03  3.990069e+02  0.000000e+00  4.519616e-06  2.031010e-01  7.558770e-03  4.016505e-12  2.935038e-10  1.514174e-06  2.297235e-06  3.990288e-06  7.893279e-01  1.000000e+00  
1.000000e+03  1.246363e-03  9.442894e-03  7.731140e-01  2.457295e-05  1.041483e+03  4.440890e+02  0.000000e+00  6.622570e-06  1.998919e-01  1.107425e-02  2.616343e-11  3.426834e-09  2.925505e-06  3.611848e-06  5.304475e-06  7.890154e-01  1.000000e+00  
1.000000e+03  1.548885e-03  1.404432e-02  7.166728e-01  2.584088e-05  1.049547e+03  4.781769e+02  0.000000e+00  8.231467e-06  1.974381e-01  1.376202e-02  8.703222e-11  1.829699e-08  4.286780e-06  4.772093e-06  6.165026e-06  7.887764e-01  1.000000e+00  
1.000000e+03  1.791365e-03  1.830428e-02  6.772734e-01  2.682044e-05  1.056350e+03  5.052449e+02  0.000000e+00  9.522126e-06  1.954712e-01  1.591624e-02  2.161783e-10  6.173538e-08  5.571876e-06  5.824525e-06  6.782877e-06  7.885848e-01  1.000000e+00  
1.000000e+03  1.990000e-03  2.215960e-02  6.482229e-01  2.760316e-05  1.062145e+03  5.272482e+02  0.000000e+00  1.058043e-05  1.938597e-01  1.768084e-02  4.459014e-10  1.495934e-07  6.763321e-06  6.777691e-06  7.250497e-06  7.884279e-01  1.000000e+00  
1.000000e+03  2.164100e-03  2.580231e-02  6.248334e-01  2.827122e-05  1.067386e+03  5.464046e+02  0.000000e+00  1.150899e-05  1.924472e-01  1.922740e-02  8.249247e-10  2.986447e-07  7.921042e-06  7.686350e-06  7.635835e-06  7.882904e-01  1.000000e+00  
1.000000e+03  2.326830e-03  2.942499e-02  6.045283e-01  2.888091e-05  1.072415e+03  5.641979e+02  0.000000e+00  1.237797e-05  1.911267e-01  2.067289e-02  1.434446e-09  5.330674e-07  9.109616e-06  8.600957e-06  7.977631e-06  7.881618e-01  1.000000e+00  
1.000000e+03  2.485380e-03  3.315330e-02  5.860483e-01  2.945923e-05  1.077433e+03  5.814276e+02  0.000000e+00  1.322581e-05  1.898400e-01  2.208116e-02  2.400006e-09  8.856308e-07  1.037779e-05  9.554425e-06  8.295273e-06  7.880365e-01  1.000000e+00  
1.000000e+03  2.642910e-03  3.704849e-02  5.688426e-01  3.002941e-05  1.082528e+03  5.984403e+02  0.000000e+00  1.406960e-05  1.885612e-01  2.348029e-02  3.898010e-09  1.394231e-06  1.175775e-05  1.056269e-05  8.597246e-06  7.879121e-01  1.000000e+00  
1.000000e+03  2.800612e-03  4.113543e-02  5.526683e-01  3.059168e-05  1.087730e+03  6.153641e+02  0.000000e+00  1.491596e-05  1.872808e-01  2.488084e-02  6.162093e-09  2.097874e-06  1.327274e-05  1.163105e-05  8.887158e-06  7.877875e-01  1.000000e+00  
