int_time      x             tau           rho           u             mdot          T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
1.000000e+07  0.000000e+00  0.000000e+00  3.121554e-02  1.483236e+00  4.630000e-02  3.737000e+02  2.659566e-01  9.123551e-02  1.198007e-03  3.180369e-04  2.080280e-08  3.486990e-05  1.718237e-05  6.840114e-07  6.412391e-01  1.000000e+00  
1.000000e+07  5.000000e-05  3.329488e-05  3.083106e-02  1.501732e+00  4.630000e-02  3.784509e+02  2.657291e-01  9.123343e-02  1.265725e-03  3.217393e-04  2.167359e-08  3.635834e-05  1.832649e-05  7.298981e-07  6.413946e-01  1.000000e+00  
1.000000e+07  1.250000e-04  8.180545e-05  3.030074e-02  1.528016e+00  4.630000e-02  3.852107e+02  2.653719e-01  9.122943e-02  1.370279e-03  3.458400e-04  2.964044e-08  3.859682e-05  1.928789e-05  7.886298e-07  6.416239e-01  1.000000e+00  
1.000000e+07  1.750000e-04  1.132186e-04  2.995441e-02  1.545683e+00  4.630000e-02  3.897562e+02  2.651264e-01  9.122515e-02  1.444336e-03  3.672318e-04  3.733884e-08  4.014039e-05  1.975889e-05  8.267029e-07  6.417761e-01  1.000000e+00  
1.000000e+07  2.250000e-04  1.439294e-04  2.961748e-02  1.563266e+00  4.630000e-02  3.942824e+02  2.648753e-01  9.121985e-02  1.521135e-03  3.934769e-04  4.760295e-08  4.170352e-05  2.006439e-05  8.625315e-07  6.419276e-01  1.000000e+00  
1.000000e+07  2.750000e-04  1.739632e-04  2.928908e-02  1.580794e+00  4.630000e-02  3.987962e+02  2.646188e-01  9.121350e-02  1.600718e-03  4.242982e-04  6.093670e-08  4.327988e-05  2.022417e-05  8.961068e-07  6.420782e-01  1.000000e+00  
1.000000e+07  3.250000e-04  2.033431e-04  2.896857e-02  1.598284e+00  4.630000e-02  4.033023e+02  2.643571e-01  9.120608e-02  1.683131e-03  4.595101e-04  7.803978e-08  4.486169e-05  2.025596e-05  9.274391e-07  6.422281e-01  1.000000e+00  
1.000000e+07  3.750000e-04  2.320907e-04  2.865546e-02  1.615748e+00  4.630000e-02  4.078035e+02  2.640901e-01  9.119755e-02  1.768423e-03  4.989890e-04  9.980761e-08  4.644008e-05  2.017610e-05  9.565558e-07  6.423773e-01  1.000000e+00  
1.000000e+07  4.250000e-04  2.602267e-04  2.834941e-02  1.633191e+00  4.630000e-02  4.123012e+02  2.638180e-01  9.118788e-02  1.856643e-03  5.426536e-04  1.273476e-07  4.800544e-05  1.999989e-05  9.834991e-07  6.425257e-01  1.000000e+00  
1.000000e+07  4.750000e-04  2.877714e-04  2.805014e-02  1.650616e+00  4.630000e-02  4.167960e+02  2.635407e-01  9.117704e-02  1.947840e-03  5.904521e-04  1.620040e-07  4.954783e-05  1.974170e-05  1.008324e-06  6.426735e-01  1.000000e+00  
1.000000e+07  5.250000e-04  3.147440e-04  2.775743e-02  1.668022e+00  4.630000e-02  4.212878e+02  2.632583e-01  9.116501e-02  2.042062e-03  6.423527e-04  2.053869e-07  5.105717e-05  1.941507e-05  1.031095e-06  6.428206e-01  1.000000e+00  
1.000000e+07  5.750000e-04  3.411634e-04  2.747107e-02  1.685410e+00  4.630000e-02  4.257766e+02  2.629707e-01  9.115175e-02  2.139360e-03  6.983311e-04  2.594046e-07  5.252358e-05  1.903268e-05  1.051885e-06  6.429670e-01  1.000000e+00  
1.000000e+07  6.100000e-04  3.593350e-04  2.727411e-02  1.697580e+00  4.630000e-02  4.289197e+02  2.627656e-01  9.114158e-02  2.209753e-03  7.404064e-04  3.062847e-07  5.351459e-05  1.873389e-05  1.065119e-06  6.430690e-01  1.000000e+00  
1.000000e+07  6.300000e-04  3.695896e-04  2.716190e-02  1.704594e+00  4.630000e-02  4.307310e+02  2.626472e-01  9.113533e-02  2.251036e-03  7.651470e-04  3.357485e-07  5.407726e-05  1.855428e-05  1.072509e-06  6.431273e-01  1.000000e+00  
1.000000e+07  6.600000e-04  3.848170e-04  2.699550e-02  1.715101e+00  4.630000e-02  4.334453e+02  2.624684e-01  9.112565e-02  2.313692e-03  8.032029e-04  3.837874e-07  5.490574e-05  1.827707e-05  1.083146e-06  6.432144e-01  1.000000e+00  
1.000000e+07  6.900000e-04  3.998739e-04  2.683212e-02  1.725544e+00  4.630000e-02  4.361439e+02  2.622874e-01  9.111555e-02  2.377418e-03  8.431808e-04  4.400678e-07  5.569747e-05  1.798985e-05  1.092828e-06  6.433013e-01  1.000000e+00  
1.000000e+07  7.100000e-04  4.098021e-04  2.672371e-02  1.732544e+00  4.630000e-02  4.379528e+02  2.621656e-01  9.110845e-02  2.420811e-03  8.705149e-04  4.810373e-07  5.621751e-05  1.779278e-05  1.099077e-06  6.433590e-01  1.000000e+00  
