t,x,Particle Count,M0 (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2/cm3),Avg. Surface Area (cm2),Fv,Avg. Volume (cm3),Mass (g/cm3),Avg. Mass (g),pah,Avg. pah
0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3825,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.25,187,3.1958e+10,0.903378,0.903378,0.903378,0.000822824,2.5747e-14,1.25016e-11,3.91189e-22,2.25029e-11,7.04139e-22,1.1293e+12,35.3369
0.01,0.75,179,3.05908e+10,0.906025,0.906025,0.906025,0.000792383,2.59027e-14,1.20778e-11,3.94819e-22,2.17401e-11,7.10673e-22,1.09102e+12,35.6648
0.01,1.3825,186,3.17871e+10,0.911324,0.911324,0.911324,0.000833731,2.62286e-14,1.28043e-11,4.02815e-22,2.30478e-11,7.25066e-22,1.15664e+12,36.3871
0.02,0.25,373,6.37451e+10,0.935544,0.935544,0.935544,0.00176719,2.77227e-14,2.80302e-11,4.39724e-22,5.04544e-11,7.91503e-22,2.53203e+12,39.7212
0.02,0.75,370,6.32324e+10,0.927292,0.927292,0.927292,0.00172115,2.72194e-14,2.70313e-11,4.27491e-22,4.86564e-11,7.69485e-22,2.4418e+12,38.6162
0.02,1.3825,343,5.86182e+10,0.935787,0.935787,0.935787,0.00162868,2.77845e-14,2.59416e-11,4.42552e-22,4.66949e-11,7.96594e-22,2.34336e+12,39.9767
0.1,0.25,1625,2.7771e+11,1.15554,1.15554,1.15554,0.0120971,4.35601e-14,2.51213e-10,9.04587e-22,4.52183e-10,1.62826e-21,2.26926e+13,81.7132
0.1,0.75,1667,2.84888e+11,1.15754,1.15754,1.15754,0.0124516,4.37069e-14,2.58932e-10,9.0889e-22,4.66077e-10,1.636e-21,2.33898e+13,82.102
0.1,1.3825,1669,2.85229e+11,1.15597,1.15597,1.15597,0.0124509,4.36522e-14,2.59386e-10,9.09393e-22,4.66894e-10,1.63691e-21,2.34309e+13,82.1474
