t,x,Particle Count,M0 (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2/cm3),Avg. Surface Area (cm2),Fv,Avg. Volume (cm3),Mass (g/cm3),Avg. Mass (g),pah,Avg. pah
0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3825,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.25,160,2.73438e+10,0.920996,0.920996,0.920996,0.000734557,2.68638e-14,1.14724e-11,4.19563e-22,2.06504e-11,7.55213e-22,1.03633e+12,37.9
0.01,0.75,184,3.14453e+10,0.931936,0.931936,0.931936,0.000869779,2.76601e-14,1.39243e-11,4.4281e-22,2.50638e-11,7.97059e-22,1.25781e+12,40
0.01,1.3825,151,2.58057e+10,0.926625,0.926625,0.926625,0.000703948,2.72788e-14,1.11394e-11,4.31667e-22,2.0051e-11,7.77e-22,1.00625e+12,38.9934
0.02,0.25,258,4.40918e+10,1.00496,1.00496,1.00496,0.00143764,3.26056e-14,2.55178e-11,5.78743e-22,4.59321e-11,1.04174e-21,2.30508e+12,52.2791
0.02,0.75,255,4.35791e+10,1.01836,1.01836,1.01836,0.0014691,3.37111e-14,2.688e-11,6.16809e-22,4.83839e-11,1.11026e-21,2.42812e+12,55.7176
0.02,1.3825,238,4.06738e+10,1.01751,1.01751,1.01751,0.00136002,3.34373e-14,2.44584e-11,6.01329e-22,4.4025e-11,1.08239e-21,2.20938e+12,54.3193
0.1,0.25,1001,4.27673e+10,1.44144,1.44144,1.44144,0.00376367,8.80033e-14,1.62317e-10,3.79534e-21,2.9217e-10,6.83161e-21,1.46624e+13,342.841
0.1,0.75,1020,4.35791e+10,1.43641,1.43641,1.43641,0.00384805,8.83003e-14,1.69801e-10,3.89638e-21,3.05642e-10,7.01349e-21,1.53385e+13,351.969
0.1,1.3825,1058,4.52026e+10,1.41231,1.41231,1.41231,0.00381243,8.43408e-14,1.6106e-10,3.56307e-21,2.89909e-10,6.41353e-21,1.45489e+13,321.86
