t,x,Particle Count,M0 (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2/cm3),Avg. Surface Area (cm2),Fv,Avg. Volume (cm3),Mass (g/cm3),Avg. Mass (g),pah,Avg. pah
0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3825,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.25,150,2.56348e+10,0.925944,0.925944,0.925944,0.000697259,2.71997e-14,1.09881e-11,4.2864e-22,1.97786e-11,7.71553e-22,9.92578e+11,38.72
0.01,0.75,177,3.0249e+10,0.929211,0.929211,0.929211,0.000829236,2.74137e-14,1.31373e-11,4.34304e-22,2.36471e-11,7.81748e-22,1.18672e+12,39.2316
0.01,1.3825,168,2.87109e+10,0.928445,0.928445,0.928445,0.000785235,2.73497e-14,1.24108e-11,4.32267e-22,2.23394e-11,7.78081e-22,1.12109e+12,39.0476
0.02,0.25,246,4.2041e+10,1.00446,1.00446,1.00446,0.00137079,3.26059e-14,2.43978e-11,5.80334e-22,4.39161e-11,1.0446e-21,2.20391e+12,52.4228
0.02,0.75,249,4.25537e+10,1.01083,1.01083,1.01083,0.00140955,3.31239e-14,2.53967e-11,5.96816e-22,4.57141e-11,1.07427e-21,2.29414e+12,53.9116
0.02,1.3825,233,3.98193e+10,1.01472,1.01472,1.01472,0.00133658,3.3566e-14,2.45492e-11,6.16514e-22,4.41885e-11,1.10972e-21,2.21758e+12,55.691
0.1,0.25,1018,4.34937e+10,1.43943,1.43943,1.43943,0.0037876,8.70839e-14,1.60637e-10,3.69333e-21,2.89146e-10,6.648e-21,1.45106e+13,333.627
0.1,0.75,1024,4.375e+10,1.43676,1.43676,1.43676,0.00383203,8.75893e-14,1.65298e-10,3.77824e-21,2.97537e-10,6.80084e-21,1.49317e+13,341.297
0.1,1.3825,1049,4.48181e+10,1.43124,1.43124,1.43124,0.00384871,8.58739e-14,1.62332e-10,3.62201e-21,2.92197e-10,6.51962e-21,1.46638e+13,327.184
