t,x,Particle Count,M0 (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2/cm3),Avg. Surface Area (cm2),Fv,Avg. Volume (cm3),Mass (g/cm3),Avg. Mass (g),pah,Avg. pah
0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.3825,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.25,176,3.00781e+10,0.917758,0.917758,0.917758,0.000801428,2.66449e-14,1.24411e-11,4.13625e-22,2.23939e-11,7.44525e-22,1.12383e+12,37.3636
0.01,0.75,157,2.68311e+10,0.926818,0.926818,0.926818,0.000731745,2.72723e-14,1.15632e-11,4.30964e-22,2.08138e-11,7.75736e-22,1.04453e+12,38.9299
0.01,1.3825,157,2.68311e+10,0.922829,0.922829,0.922829,0.000723614,2.69693e-14,1.13211e-11,4.21939e-22,2.03779e-11,7.5949e-22,1.02266e+12,38.1146
0.02,0.25,259,4.42627e+10,1.00222,1.00222,1.00222,0.00144019,3.25373e-14,2.57297e-11,5.81295e-22,4.63135e-11,1.04633e-21,2.32422e+12,52.5097
0.02,0.75,280,4.78516e+10,0.985509,0.985509,0.985509,0.00149904,3.1327e-14,2.60627e-11,5.44657e-22,4.69128e-11,9.80382e-22,2.3543e+12,49.2
0.02,1.3825,244,4.16992e+10,1.00234,1.00234,1.00234,0.00135464,3.24859e-14,2.40951e-11,5.77831e-22,4.33712e-11,1.0401e-21,2.17656e+12,52.1967
0.1,0.25,1042,4.4519e+10,1.42054,1.42054,1.42054,0.00377748,8.48509e-14,1.59683e-10,3.58685e-21,2.8743e-10,6.45633e-21,1.44245e+13,324.008
0.1,0.75,1023,4.37073e+10,1.43949,1.43949,1.43949,0.00383746,8.77991e-14,1.64912e-10,3.77311e-21,2.96842e-10,6.79159e-21,1.48969e+13,340.833
0.1,1.3825,1021,4.36218e+10,1.43805,1.43805,1.43805,0.00384621,8.81718e-14,1.6769e-10,3.84417e-21,3.01841e-10,6.9195e-21,1.51478e+13,347.252
