time          pre           rho           T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2*          CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         AR            C2H3O         N2            C2O           C3H2          C3H3          PC3H4         AC3H4         C4H           C4H2          H2C4O         N-C4H3        I-C4H3        C4H4          N-C4H5        I-C4H5        C4H6          C4H612        C5H2          C5H3          C6H           C6H2          C6H3          L-C6H4        C-C6H4        N-C6H5        I-C6H5        L-C6H6        N-C6H7        I-C6H7        C-C6H7        C6H8          A1            A1-           C6H5O         C6H5OH        C5H6          C5H5          C5H5O         C5H4OH        C5H4O         N-A1C2H2      I-A1C2H2      A1C2H3        A1C2H3*       A1C2H         A1C2H*        A1C2H-        A1C2H)2       A2            A2-1          A2-2          NAPHTHYNE     A2C2HA        A2C2HB        A2C2HA*       A2C2HB*       A2C2H2        A2C2H)2       A3-1          A3-4          A3            A3C2H         A3C2H2        A4            P2            P2-           P2-H          A4-           A2R5          A2R5-         sumfracs      
0.000000e+000  8.000000e+003  1.926036e-002  1.500000e+003  0.000000e+000  0.000000e+000  0.000000e+000  5.000000e-001  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  5.000000e-001  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  0.000000e+000  1.000000e+000  
9.480486e-010  8.000000e+003  1.926036e-002  1.500000e+003  3.651289e-010  7.401358e-013  8.181137e-015  5.000000e-001  1.482395e-016  1.578236e-019  8.899571e-012  2.532425e-019  4.220258e-035  8.501571e-022  2.439035e-021  2.028845e-023  2.879432e-017  1.062894e-021  6.966759e-018  5.919072e-024  3.064247e-015  3.042421e-015  6.661249e-031  1.489637e-023  6.609104e-036  5.921208e-025  3.651390e-010  9.605891e-012  5.000000e-001  2.145047e-017  2.156595e-031  2.203327e-026  6.774754e-016  3.613675e-030  0.000000e+000  7.377561e-015  0.000000e+000  1.654385e-050  6.913167e-033  9.469476e-030  1.479381e-032  8.868655e-033  1.810840e-048  2.231296e-033  4.845657e-042  5.582993e-031  4.637992e-029  6.303883e-025  1.199511e-025  1.717226e-024  1.017254e-015  1.861247e-031  3.673665e-076  1.150501e-063  8.640472e-072  6.135906e-057  3.748298e-053  1.706118e-044  7.528660e-045  1.851504e-046  3.232287e-046  1.977975e-039  9.923489e-041  6.095852e-040  1.539485e-044  2.074392e-030  4.469208e-039  2.496073e-046  7.639118e-056  3.079800e-069  1.030469e-069  2.499166e-058  2.994306e-045  5.490877e-045  1.110175e-047  5.747298e-060  3.169749e-059  2.388231e-050  5.503071e-060  3.656765e-059  5.056336e-069  6.339367e-069  2.318152e-082  3.509567e-073  2.346281e-082  1.827939e-082  9.561784e-083  8.643658e-096  0.000000e+000  0.000000e+000  0.000000e+000  1.141421e-099  0.000000e+000  1.893963e-094  2.446615e-094  7.888451e-085  0.000000e+000  0.000000e+000  0.000000e+000  3.248024e-070  4.948581e-072  1.141434e-087  0.000000e+000  4.350336e-095  0.000000e+000  1.000000e+000  
1.281366e-007  8.000000e+003  1.926036e-002  1.500000e+003  4.936980e-008  2.037172e-010  8.039264e-011  5.000000e-001  4.797456e-012  6.852301e-013  1.358158e-009  5.176731e-015  8.376673e-027  1.351523e-017  1.947714e-016  2.886066e-019  3.791577e-011  3.610618e-014  1.883562e-011  6.362843e-017  6.175210e-011  4.263295e-011  1.290787e-022  2.314872e-015  2.199527e-023  4.002766e-020  4.949890e-008  1.003197e-009  4.999999e-001  5.357021e-013  1.509579e-022  3.761272e-018  1.043926e-010  2.127471e-021  0.000000e+000  8.473627e-012  0.000000e+000  7.551853e-030  7.020788e-025  2.668558e-021  3.541407e-022  2.123837e-022  3.005556e-037  7.296244e-025  4.242822e-031  1.329010e-024  1.129987e-022  1.325195e-018  1.909707e-019  3.038213e-018  1.425365e-011  8.697445e-023  3.813334e-041  1.559841e-041  9.295842e-055  4.701025e-042  2.110932e-040  7.347148e-034  3.253307e-034  2.886479e-036  1.543898e-035  7.060689e-029  4.960470e-031  1.592154e-029  3.795027e-034  4.063070e-022  1.521128e-028  3.037751e-035  3.742908e-041  1.687047e-043  1.202791e-052  7.320267e-041  1.030711e-034  1.495424e-034  4.055244e-035  6.312546e-045  5.628704e-044  3.899120e-037  1.205355e-044  1.497827e-044  2.778571e-052  5.012590e-052  3.380618e-063  1.650610e-055  1.020913e-062  1.153375e-062  1.391202e-063  7.309417e-074  3.121787e-077  1.265643e-081  4.193479e-082  7.196408e-080  2.647430e-084  1.117280e-076  1.443300e-076  3.468688e-069  3.599804e-088  4.903533e-090  2.806753e-087  5.263121e-057  8.018744e-059  2.459146e-072  3.081689e-094  3.677339e-073  5.927035e-080  1.000000e+000  
3.336863e-007  8.000001e+003  1.926036e-002  1.500000e+003  1.286114e-007  6.581744e-010  2.750016e-010  4.999999e-001  2.253969e-011  4.368047e-012  3.772455e-009  2.304281e-014  6.331323e-026  5.331752e-017  9.867194e-016  1.117926e-018  1.931885e-010  2.444345e-013  1.083954e-010  4.291740e-016  2.518559e-010  1.667997e-010  1.040252e-021  1.520475e-014  1.908144e-022  2.863626e-019  1.290968e-007  2.243872e-009  4.999998e-001  2.472813e-012  1.308237e-021  3.224398e-017  4.215472e-010  1.842537e-020  0.000000e+000  2.001348e-011  0.000000e+000  2.288790e-028  5.286932e-024  2.308111e-020  3.067924e-021  1.840021e-021  2.475639e-036  7.553064e-024  1.076457e-028  1.136983e-023  9.710436e-022  1.128052e-017  1.178651e-018  1.757752e-017  5.576385e-011  7.519321e-022  3.320604e-040  1.375028e-040  5.172946e-053  5.065900e-041  1.848284e-039  6.415054e-033  2.840629e-033  2.049202e-035  1.118238e-034  5.225718e-028  4.224291e-030  1.643712e-028  2.785056e-033  3.513708e-021  1.176904e-027  2.760194e-034  3.372593e-038  1.571306e-040  2.836853e-049  9.932117e-040  2.046044e-033  2.934505e-033  8.636778e-034  8.781243e-044  6.918162e-043  4.204460e-036  1.502364e-043  7.726168e-043  1.480042e-050  1.990347e-050  1.747281e-060  8.513639e-053  5.276260e-060  5.968316e-060  7.132129e-061  7.458968e-071  1.913778e-073  1.126312e-078  2.040652e-079  7.315871e-077  1.274120e-081  5.358373e-074  6.921925e-074  1.657725e-066  3.469629e-085  4.673757e-087  2.679499e-084  4.262193e-056  6.493764e-058  1.942689e-067  2.947138e-091  3.744548e-070  6.045301e-077  1.000000e+000  
5.392359e-007  8.000002e+003  1.926036e-002  1.500000e+003  2.079278e-007  1.222607e-009  4.998160e-010  4.999999e-001  5.527102e-011  1.394508e-011  6.484405e-009  5.538523e-014  4.590344e-025  1.108844e-016  2.568586e-015  2.325720e-018  4.971293e-010  8.135106e-013  3.123593e-010  1.437781e-015  5.364713e-010  3.508289e-010  6.449102e-021  4.890999e-014  1.993086e-021  1.223639e-018  2.089036e-007  3.118666e-009  4.999997e-001  6.082449e-012  1.355184e-020  1.506864e-016  9.005451e-010  1.223459e-019  0.000000e+000  2.811547e-011  0.000000e+000  6.825072e-027  2.753386e-023  1.052359e-019  2.221127e-020  1.332166e-020  6.064868e-035  3.362410e-023  1.607532e-027  3.924597e-023  3.374241e-021  3.385533e-017  3.121537e-018  4.858869e-017  1.172788e-010  5.444478e-021  9.468497e-039  5.432540e-039  1.431655e-051  8.135130e-040  2.813381e-038  7.998695e-032  3.541370e-032  2.671874e-034  1.329518e-033  4.677937e-027  2.182668e-029  8.391072e-028  2.354136e-032  1.536062e-020  1.010971e-026  2.809726e-033  6.870035e-037  4.925467e-039  3.222307e-046  2.348514e-038  1.826186e-032  2.553654e-032  8.196429e-033  9.510686e-043  6.987729e-042  4.216851e-035  1.522148e-042  1.126487e-041  2.313676e-049  3.896404e-049  1.688604e-058  2.808829e-051  2.233147e-058  2.052898e-058  6.680398e-059  4.821497e-068  7.704563e-070  6.347953e-076  1.325843e-077  4.662056e-074  2.174714e-080  8.369024e-073  1.080913e-072  2.345688e-065  2.201166e-082  2.793493e-084  1.602641e-081  4.222020e-055  6.432555e-057  1.313291e-065  1.764078e-088  2.387935e-067  3.857930e-074  1.000000e+000  
9.873437e-007  8.000003e+003  1.926036e-002  1.500000e+003  3.811669e-007  2.549395e-009  9.292918e-010  4.999998e-001  1.752109e-010  7.715734e-011  1.335245e-008  1.918411e-013  2.599915e-024  2.588078e-016  8.749500e-015  5.764677e-018  1.680495e-009  4.828765e-012  1.316042e-009  8.626795e-015  1.262541e-009  8.929584e-010  5.704974e-020  2.558600e-013  5.274466e-020  5.850323e-018  3.833768e-007  4.345641e-009  4.999994e-001  2.098773e-011  3.278294e-019  9.245361e-016  2.323429e-009  1.573759e-018  0.000000e+000  3.954236e-011  0.000000e+000  3.822085e-025  1.366450e-022  6.952450e-019  3.144212e-019  1.886705e-019  3.943892e-033  3.897092e-022  7.906924e-026  2.268078e-022  2.000437e-020  1.628842e-016  1.169103e-017  2.004540e-016  2.984157e-010  6.001747e-020  8.822591e-037  8.530014e-037  3.304468e-048  1.611233e-037  2.002289e-036  2.400996e-030  1.063343e-030  4.044010e-033  2.702834e-032  7.135905e-026  1.715432e-028  1.101209e-026  2.602151e-031  1.067704e-019  1.541015e-025  8.547397e-032  1.227255e-034  1.831076e-036  8.434550e-043  4.339341e-036  3.271780e-031  3.631581e-031  2.419618e-031  1.231518e-040  7.529916e-040  2.643099e-033  1.954002e-040  3.945825e-039  1.730133e-046  2.498396e-046  8.476167e-055  3.555480e-048  7.639226e-055  5.840774e-055  3.201434e-055  7.692204e-064  2.488640e-065  2.365881e-071  7.576147e-073  3.121108e-070  7.873081e-077  1.414067e-069  1.826297e-069  1.865866e-062  9.347472e-079  4.984664e-081  6.346387e-078  6.283554e-054  9.572639e-056  6.596273e-062  1.637019e-084  3.746315e-063  1.418357e-069  1.000000e+000  
1.435451e-006  8.000004e+003  1.926036e-002  1.500000e+003  5.548423e-007  3.852015e-009  1.254743e-009  4.999997e-001  3.438169e-010  2.135723e-010  2.134525e-008  4.275587e-013  7.617664e-024  4.124022e-016  1.801428e-014  1.048244e-017  3.457539e-009  1.389531e-011  3.069060e-009  2.489629e-014  1.979904e-009  1.576741e-009  2.097109e-019  6.716462e-013  2.584690e-019  1.529772e-017  5.583424e-007  5.032768e-009  4.999991e-001  4.540522e-011  1.737165e-018  2.629709e-015  4.125021e-009  6.324490e-018  0.000000e+000  4.587039e-011  0.000000e+000  1.896474e-024  3.621114e-022  1.889722e-018  1.296171e-018  7.779799e-019  2.185032e-032  1.523234e-021  3.519261e-025  6.470591e-022  5.810930e-020  4.032938e-016  2.551606e-017  4.732513e-016  5.267359e-010  2.355137e-019  5.298618e-036  6.005000e-036  4.972085e-047  1.145436e-036  1.046680e-035  1.149104e-029  5.089978e-030  1.551959e-032  1.302814e-031  2.800009e-025  5.336672e-028  4.241166e-026  9.782354e-031  3.002194e-019  6.713134e-025  4.372805e-031  6.768086e-034  1.361306e-035  9.889249e-042  2.936060e-035  1.622186e-030  1.637542e-030  1.362272e-030  7.753568e-040  5.345026e-039  1.672638e-032  1.483412e-039  2.602982e-038  1.378223e-045  1.996262e-045  1.418043e-053  3.046816e-047  9.538215e-054  5.791376e-054  5.157610e-054  4.322427e-062  1.457671e-063  1.362361e-069  4.474959e-071  1.709866e-068  4.067536e-076  5.394942e-069  6.950067e-069  4.554961e-062  4.126510e-077  2.001274e-079  2.628313e-076  8.576400e-053  1.306585e-054  6.811719e-061  6.998481e-083  2.102159e-061  8.148548e-068  1.000000e+000  
1.883559e-006  8.000006e+003  1.926036e-002  1.500000e+003  7.289255e-007  5.009567e-009  1.487740e-009  4.999996e-001  5.372683e-010  4.392875e-010  3.024543e-008  7.753486e-013  1.274326e-023  5.514451e-016  2.927565e-014  1.642577e-017  5.685137e-009  2.962418e-011  5.497965e-009  5.287437e-014  2.574669e-009  2.356330e-009  5.035640e-019  1.313036e-012  8.310663e-019  2.790059e-017  7.336395e-007  5.513818e-009  4.999989e-001  7.896826e-011  5.593158e-018  5.148860e-015  6.180179e-009  1.657142e-017  0.000000e+000  5.027103e-011  0.000000e+000  6.777015e-024  6.220032e-022  3.713566e-018  3.516128e-018  2.110986e-018  1.017715e-031  4.191743e-021  1.176348e-024  1.382471e-021  1.262611e-019  8.046105e-016  4.495576e-017  8.798531e-016  7.868359e-010  5.772497e-019  2.334427e-035  3.296783e-035  4.536368e-046  6.429957e-036  4.608551e-035  3.969529e-029  1.758301e-029  4.602787e-032  4.063401e-031  7.737674e-025  1.206162e-027  1.129905e-025  2.435011e-030  6.420368e-019  1.908154e-024  1.496953e-030  2.900888e-033  7.986018e-035  6.270559e-041  1.352753e-034  5.041204e-030  4.637527e-030  4.687106e-030  3.713953e-039  2.333577e-038  6.669156e-032  6.818102e-039  1.461035e-037  8.244509e-045  1.234404e-044  1.424741e-052  2.474222e-046  8.652775e-053  4.825493e-053  5.009960e-053  6.950583e-061  2.480749e-062  2.335546e-068  8.082792e-070  2.578211e-067  2.830029e-075  3.876144e-068  5.001170e-068  4.219095e-061  1.977204e-076  7.488994e-079  1.287446e-075  2.922390e-052  4.451025e-054  1.045625e-059  4.259266e-082  3.373446e-060  1.386184e-066  1.000000e+000  
2.331667e-006  8.000007e+003  1.926036e-002  1.500000e+003  9.033686e-007  5.997211e-009  1.664258e-009  4.999995e-001  7.353855e-010  7.612340e-010  3.987008e-008  1.245761e-012  1.796534e-023  6.704479e-016  4.184557e-014  2.367323e-017  8.252075e-009  5.331070e-011  8.481990e-009  9.445301e-014  3.035036e-009  3.209081e-009  9.742270e-019  2.171007e-012  2.050897e-018  4.359972e-017  9.091885e-007  5.919808e-009  4.999986e-001  1.209558e-010  1.376554e-017  8.493168e-015  8.427176e-009  3.444278e-017  0.000000e+000  5.398007e-011  0.000000e+000  1.575034e-023  9.151644e-022  6.138870e-018  7.620139e-018  4.576169e-018  3.320187e-031  9.298781e-021  2.915032e-024  2.509927e-021  2.330066e-019  1.405602e-015  6.969819e-017  1.423912e-015  1.071077e-009  1.135656e-018  7.640905e-035  1.270673e-034  3.260096e-045  2.701872e-035  1.562183e-034  1.074778e-028  4.760848e-029  1.082788e-031  1.039650e-030  1.783796e-024  2.322284e-027  2.467855e-025  5.000850e-030  1.172722e-018  4.390748e-024  4.016358e-030  9.171236e-033  3.096053e-034  3.193359e-040  4.714483e-034  1.234027e-029  1.042104e-029  1.242553e-029  1.337248e-038  7.737482e-038  2.048207e-031  2.374368e-038  6.104352e-037  3.778854e-044  5.751034e-044  1.085321e-051  1.460589e-045  6.018531e-052  3.033075e-052  3.734190e-052  7.889399e-060  3.063399e-061  2.766388e-067  1.035527e-068  2.811043e-066  1.714573e-074  1.835483e-067  2.364291e-067  1.739371e-060  1.997731e-075  7.823510e-078  1.153729e-074  6.700357e-052  1.019631e-053  8.016370e-059  3.525441e-081  3.816637e-059  1.628689e-065  1.000000e+000  
3.035299e-006  8.000009e+003  1.926036e-002  1.500000e+003  1.177869e-006  7.260029e-009  1.889326e-009  4.999993e-001  1.023158e-009  1.454365e-009  5.607666e-008  2.255299e-012  2.630452e-023  8.220577e-016  6.322484e-014  3.831502e-017  1.278336e-008  1.093831e-010  1.398579e-008  1.907480e-013  3.577695e-009  4.666110e-009  2.162064e-018  3.888539e-012  6.329590e-018  7.412044e-017  1.185244e-006  6.485011e-009  4.999982e-001  2.015531e-010  4.304258e-017  1.536295e-014  1.226214e-008  8.401137e-017  0.000000e+000  5.914998e-011  0.000000e+000  4.212404e-023  1.441122e-021  1.098679e-017  2.015667e-017  1.211109e-017  1.249295e-030  2.595058e-020  9.132651e-024  5.267483e-021  5.025969e-019  2.831966e-015  1.175684e-016  2.548366e-015  1.556047e-009  2.596927e-018  3.235829e-034  6.759097e-034  3.550051e-044  1.748108e-034  7.119777e-034  3.861500e-028  1.710619e-028  3.008037e-031  3.537884e-030  5.189593e-024  5.176614e-027  6.731966e-025  1.197259e-029  2.473635e-018  1.272315e-023  1.454665e-029  3.862263e-032  1.679213e-033  2.223477e-039  2.547397e-033  3.922870e-029  2.865652e-029  4.442602e-029  6.649736e-038  4.107216e-037  9.544731e-031  1.418172e-037  3.774225e-036  3.152886e-043  4.737676e-043  1.331484e-050  1.336824e-044  7.366804e-051  3.869241e-051  4.449909e-051  1.526373e-058  6.440532e-060  7.853845e-066  3.210901e-067  3.630290e-065  2.595023e-073  1.279198e-066  1.645664e-066  8.555067e-060  2.530449e-074  6.466805e-077  1.422520e-073  3.188466e-051  4.841091e-053  7.601743e-058  6.250551e-080  7.358243e-058  4.600169e-064  1.000000e+000  
