time          rho           T             O2            NO            NO2           N2            O             sumfracs      
0.000000e+00  3.267356e-01  1.073150e+03  0.000000e+00  0.000000e+00  1.000000e-01  9.000000e-01  0.000000e+00  1.000000e+00  
1.390852e-07  3.267355e-01  1.073150e+03  5.327961e-08  9.993380e-08  9.999985e-02  9.000000e-01  5.585802e-12  1.000000e+00  
3.175416e-05  3.267319e-01  1.073150e+03  1.215809e-05  2.280192e-05  9.996504e-02  9.000000e-01  1.348409e-11  1.000000e+00  
2.149599e-04  3.267111e-01  1.073150e+03  8.201813e-05  1.538210e-04  9.976416e-02  9.000000e-01  1.307917e-11  1.000000e+00  
3.981657e-04  3.266904e-01  1.073150e+03  1.515939e-04  2.843070e-04  9.956410e-02  9.000000e-01  1.307743e-11  1.000000e+00  
8.566753e-04  3.266390e-01  1.073150e+03  3.245467e-04  6.086715e-04  9.906678e-02  9.000000e-01  1.308112e-11  1.000000e+00  
1.315185e-03  3.265880e-01  1.073150e+03  4.959498e-04  9.301298e-04  9.857392e-02  9.000000e-01  1.308326e-11  1.000000e+00  
1.773694e-03  3.265375e-01  1.073150e+03  6.656955e-04  1.248480e-03  9.808582e-02  9.000000e-01  1.308508e-11  1.000000e+00  
2.560630e-03  3.264521e-01  1.073150e+03  9.531275e-04  1.787544e-03  9.725933e-02  9.000000e-01  1.308866e-11  1.000000e+00  
4.452421e-03  3.262526e-01  1.073150e+03  1.624717e-03  3.047078e-03  9.532821e-02  9.000000e-01  1.309797e-11  1.000000e+00  
6.344213e-03  3.260612e-01  1.073150e+03  2.269927e-03  4.257139e-03  9.347293e-02  9.000000e-01  1.310812e-11  1.000000e+00  
8.236004e-03  3.258775e-01  1.073150e+03  2.890191e-03  5.420413e-03  9.168940e-02  9.000000e-01  1.311896e-11  1.000000e+00  
1.012779e-02  3.257009e-01  1.073150e+03  3.486907e-03  6.539525e-03  8.997357e-02  9.000000e-01  1.313066e-11  1.000000e+00  
1.201959e-02  3.255310e-01  1.073150e+03  4.061392e-03  7.616943e-03  8.832166e-02  9.000000e-01  1.314316e-11  1.000000e+00  
1.504230e-02  3.252727e-01  1.073150e+03  4.936199e-03  9.257601e-03  8.580620e-02  9.000000e-01  1.316458e-11  1.000000e+00  
1.806501e-02  3.250294e-01  1.073150e+03  5.761614e-03  1.080563e-02  8.343276e-02  9.000000e-01  1.318740e-11  1.000000e+00  
2.108772e-02  3.247997e-01  1.073150e+03  6.541805e-03  1.226884e-02  8.118936e-02  9.000000e-01  1.321175e-11  1.000000e+00  
2.411043e-02  3.245825e-01  1.073150e+03  7.280562e-03  1.365434e-02  7.906510e-02  9.000000e-01  1.323770e-11  1.000000e+00  
2.713314e-02  3.243768e-01  1.073150e+03  7.981204e-03  1.496836e-02  7.705043e-02  9.000000e-01  1.326480e-11  1.000000e+00  
3.015586e-02  3.241817e-01  1.073150e+03  8.646651e-03  1.621637e-02  7.513697e-02  9.000000e-01  1.329272e-11  1.000000e+00  
3.496550e-02  3.238911e-01  1.073150e+03  9.639201e-03  1.807785e-02  7.228294e-02  9.000000e-01  1.333945e-11  1.000000e+00  
3.977514e-02  3.236225e-01  1.073150e+03  1.055839e-02  1.980174e-02  6.963987e-02  9.000000e-01  1.338931e-11  1.000000e+00  
4.458479e-02  3.233733e-01  1.073150e+03  1.141217e-02  2.140297e-02  6.718485e-02  9.000000e-01  1.344088e-11  1.000000e+00  
4.939443e-02  3.231416e-01  1.073150e+03  1.220731e-02  2.289422e-02  6.489847e-02  9.000000e-01  1.349252e-11  1.000000e+00  
5.740065e-02  3.227899e-01  1.073150e+03  1.341654e-02  2.516207e-02  6.142138e-02  9.000000e-01  1.358389e-11  1.000000e+00  
6.540687e-02  3.224749e-01  1.073150e+03  1.450188e-02  2.719757e-02  5.830055e-02  9.000000e-01  1.368477e-11  1.000000e+00  
7.341310e-02  3.221911e-01  1.073150e+03  1.548138e-02  2.903457e-02  5.548405e-02  9.000000e-01  1.378427e-11  1.000000e+00  
8.141932e-02  3.219342e-01  1.073150e+03  1.636976e-02  3.070070e-02  5.292953e-02  9.000000e-01  1.387125e-11  1.000000e+00  
8.942554e-02  3.217004e-01  1.073150e+03  1.717927e-02  3.221889e-02  5.060183e-02  9.000000e-01  1.396193e-11  1.000000e+00  
9.743176e-02  3.214868e-01  1.073150e+03  1.792008e-02  3.360824e-02  4.847167e-02  9.000000e-01  1.409852e-11  1.000000e+00  
1.054380e-01  3.212907e-01  1.073150e+03  1.860065e-02  3.488461e-02  4.651474e-02  9.000000e-01  1.428381e-11  1.000000e+00  
1.134442e-01  3.211102e-01  1.073150e+03  1.922805e-02  3.606127e-02  4.471067e-02  9.000000e-01  1.440905e-11  1.000000e+00  
1.214504e-01  3.209435e-01  1.073150e+03  1.980830e-02  3.714950e-02  4.304220e-02  9.000000e-01  1.432838e-11  1.000000e+00  
1.349228e-01  3.206898e-01  1.073150e+03  2.069222e-02  3.880725e-02  4.050052e-02  9.000000e-01  1.376837e-11  1.000000e+00  
1.483952e-01  3.204649e-01  1.073150e+03  2.147715e-02  4.027934e-02  3.824350e-02  9.000000e-01  1.407434e-11  1.000000e+00  
1.618676e-01  3.202641e-01  1.073150e+03  2.217868e-02  4.159503e-02  3.622628e-02  9.000000e-01  1.713095e-11  1.000000e+00  
1.753400e-01  3.200838e-01  1.073150e+03  2.280933e-02  4.277778e-02  3.441288e-02  9.000000e-01  2.084431e-11  1.000000e+00  
1.888125e-01  3.199210e-01  1.073150e+03  2.337953e-02  4.384717e-02  3.277329e-02  9.000000e-01  1.495906e-11  1.000000e+00  
2.022849e-01  3.197732e-01  1.073150e+03  2.389782e-02  4.481921e-02  3.128296e-02  9.000000e-01  1.122809e-11  1.000000e+00  
2.225217e-01  3.195750e-01  1.073150e+03  2.459333e-02  4.612360e-02  2.928307e-02  9.000000e-01  6.530930e-11  1.000000e+00  
2.427585e-01  3.194009e-01  1.073150e+03  2.520502e-02  4.727079e-02  2.752418e-02  9.000000e-01  3.253876e-11  1.000000e+00  
2.629953e-01  3.192469e-01  1.073150e+03  2.574672e-02  4.828673e-02  2.596654e-02  9.000000e-01  2.115529e-10  1.000000e+00  
2.832321e-01  3.191097e-01  1.073150e+03  2.622966e-02  4.919246e-02  2.457786e-02  9.000000e-01  6.149425e-10  1.000000e+00  
3.034689e-01  3.189866e-01  1.073150e+03  2.666324e-02  5.000561e-02  2.333113e-02  9.000000e-01  7.358903e-10  1.000000e+00  
3.237057e-01  3.188755e-01  1.073150e+03  2.705509e-02  5.074050e-02  2.220440e-02  9.000000e-01  1.972685e-10  1.000000e+00  
3.616099e-01  3.186934e-01  1.073150e+03  2.769747e-02  5.194524e-02  2.035726e-02  9.000000e-01  5.667864e-09  1.000000e+00  
