time          Z             rho           T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2*          CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         AR            C2H3O         N2            C2O           C3H2          C3H3          PC3H4         AC3H4         C4H           C4H2          H2C4O         N-C4H3        I-C4H3        C4H4          N-C4H5        I-C4H5        C4H6          C4H612        C5H2          C5H3          C6H           C6H2          C6H3          L-C6H4        C-C6H4        N-C6H5        I-C6H5        L-C6H6        N-C6H7        I-C6H7        C-C6H7        C6H8          A1            A1-           C6H5O         C6H5OH        C5H6          C5H5          C5H5O         C5H4OH        C5H4O         N-A1C2H2      I-A1C2H2      A1C2H3        A1C2H3*       A1C2H         A1C2H*        A1C2H-        A1C2H)2       A2            A2-1          A2-2          NAPHTHYNE     A2C2HA        A2C2HB        A2C2HA*       A2C2HB*       A2C2H2        A2C2H)2       A3-1          A3-4          A3            A3C2H         A3C2H2        A4            P2            P2-           P2-H          A4-           A2R5          A2R5-         sumfracs      
1.000000e+04  0.000000e+00  1.156631e+00  3.000000e+02  7.245501e-08  4.257861e-19  1.314246e-19  2.100000e-01  2.136912e-08  8.107310e-14  4.425072e-19  7.064668e-22  7.259862e-21  2.741873e-23  1.940170e-20  1.553779e-27  2.287100e-28  6.759979e-22  2.516867e-23  1.455273e-23  5.180156e-29  3.720496e-22  1.483128e-31  5.465915e-29  2.083995e-21  6.183468e-23  6.560247e-25  1.749963e-38  1.681920e-27  4.460010e-35  4.862224e-22  1.072874e-26  8.079161e-28  3.114371e-23  0.000000e+00  4.149983e-29  7.899999e-01  2.446260e-30  1.650329e-24  1.976931e-35  4.997531e-31  7.464695e-29  1.376765e-38  3.977184e-31  1.146208e-37  1.909697e-33  3.853205e-38  4.596496e-29  2.462971e-33  4.096096e-40  1.937543e-28  2.777620e-28  2.220933e-33  1.720190e-44  2.716426e-33  2.536214e-35  1.990376e-37  6.091562e-21  5.257895e-22  3.905389e-39  6.369422e-27  1.677906e-28  6.000907e-44  2.239701e-47  4.372000e-35  4.109856e-36  2.026678e-26  7.927601e-25  1.737467e-33  1.231918e-26  4.078584e-33  2.976690e-34  1.281365e-33  2.697043e-34  1.496514e-32  3.809462e-37  5.467757e-36  1.656161e-35  5.581972e-34  2.698347e-33  1.343662e-34  4.602633e-33  7.256540e-34  2.803470e-32  1.035131e-32  2.211074e-21  5.464465e-22  1.755492e-34  4.399947e-34  3.734429e-34  2.118284e-33  5.555619e-40  2.836472e-39  7.775198e-33  4.672740e-23  5.373949e-33  5.560537e-34  9.474174e-44  6.811164e-33  2.172645e-27  1.858703e-22  2.190825e-40  1.514583e-21  6.794825e-26  2.465947e-22  1.000000e+00  
1.000000e+04  5.000000e-03  7.380696e-01  4.700460e+02  4.703443e-06  2.478915e-09  7.829231e-07  1.935252e-01  2.367427e-06  1.027558e-02  9.663152e-07  2.858471e-07  6.652112e-26  2.376664e-28  3.656164e-23  5.691301e-26  1.426279e-20  7.956287e-19  7.144174e-05  1.021071e-02  4.149886e-16  5.414811e-16  2.449470e-25  4.748884e-22  1.238373e-19  4.292860e-25  5.782366e-17  1.002379e-24  1.010928e-18  2.619914e-24  3.521614e-22  3.601224e-22  1.203546e-17  5.688886e-18  0.000000e+00  6.169509e-20  7.859080e-01  2.770324e-25  1.952244e-25  1.131099e-20  1.501639e-18  2.877482e-21  1.361146e-26  1.243792e-19  4.608011e-19  7.368375e-20  2.570265e-24  1.146824e-18  1.547876e-20  3.628463e-25  7.875711e-20  1.241405e-23  2.344125e-25  5.417723e-33  3.884680e-28  1.337198e-20  9.673061e-24  8.926968e-19  3.384518e-16  1.108860e-25  6.257746e-28  1.403893e-22  6.210774e-32  2.143671e-33  1.680278e-21  4.793553e-28  7.757498e-17  5.644622e-17  5.335665e-18  5.167229e-18  1.920484e-19  5.306900e-20  4.239678e-20  3.614799e-20  3.111641e-20  5.342226e-25  4.644826e-21  3.516127e-21  6.302178e-22  2.506072e-18  4.428850e-19  6.516248e-19  1.966282e-19  9.202253e-18  3.633419e-18  4.364414e-18  2.102904e-18  5.288685e-19  5.364738e-19  6.464826e-20  5.725289e-20  3.533649e-30  1.018334e-35  9.866752e-19  1.393050e-18  4.093623e-18  2.833048e-24  5.252927e-30  5.078657e-19  1.735815e-19  5.795714e-20  1.266468e-25  2.429584e-19  9.084875e-21  4.854369e-21  1.000000e+00  
1.000000e+04  1.500000e-02  4.281215e-01  8.100500e+02  1.398353e-05  1.820329e-07  6.456686e-06  1.605888e-01  1.560332e-05  3.081114e-02  3.103815e-06  6.844340e-07  4.250833e-31  1.806217e-26  2.846710e-21  5.573174e-24  1.187324e-19  2.391284e-18  2.147634e-04  3.062040e-02  7.778226e-14  1.987333e-15  3.581378e-23  1.383759e-21  3.446023e-19  3.018232e-23  1.652760e-16  1.068291e-22  2.761155e-18  9.120953e-23  1.038389e-22  2.696647e-20  3.684866e-17  1.706556e-17  0.000000e+00  2.163964e-19  7.777249e-01  2.326302e-23  1.686828e-23  1.249672e-19  4.445587e-18  8.278563e-21  1.536923e-24  4.807689e-19  1.307038e-18  2.355779e-19  6.667955e-22  3.598775e-18  1.422058e-19  1.008267e-22  2.392454e-19  3.902343e-23  2.033612e-23  3.777317e-29  5.799053e-26  5.338168e-20  8.423338e-22  2.697839e-18  1.014983e-15  2.061665e-24  1.524201e-25  4.266095e-22  3.886111e-31  5.362743e-31  1.208039e-21  1.456624e-27  2.338825e-16  1.683728e-16  1.761263e-17  1.802037e-17  6.937076e-19  2.544567e-19  1.077184e-19  1.167031e-19  1.196319e-19  2.251238e-22  1.575779e-20  1.076096e-20  1.832704e-21  7.599353e-18  1.289192e-18  1.913431e-18  5.887348e-19  2.789189e-17  1.075973e-17  1.296115e-17  6.305310e-18  1.595972e-18  1.618945e-18  1.853664e-19  1.631741e-19  3.641402e-29  9.022061e-33  2.896966e-18  4.115380e-18  1.241795e-17  8.510061e-24  2.146493e-30  1.532323e-18  5.230931e-19  1.716404e-19  1.503557e-26  7.248244e-19  2.739669e-20  1.394574e-20  1.000000e+00  
1.000000e+04  2.500000e-02  3.016583e-01  1.149165e+03  2.604538e-05  3.629729e-06  4.916542e-05  1.276381e-01  1.195828e-04  5.128023e-02  3.979800e-06  7.106412e-07  1.067592e-27  1.460759e-23  7.425672e-20  5.386030e-22  7.088527e-19  4.498525e-18  3.699425e-04  5.100056e-02  2.089473e-12  5.951695e-15  1.403319e-21  1.593515e-21  4.331926e-19  1.551551e-21  2.199654e-16  5.497393e-21  2.071996e-18  2.144941e-22  7.340468e-24  8.015377e-19  7.744348e-17  2.917197e-17  0.000000e+00  1.937375e-20  7.695081e-01  1.907072e-21  9.379201e-22  7.560521e-19  7.408409e-18  7.990055e-21  4.563276e-23  2.520965e-18  2.624695e-18  5.141964e-19  9.002003e-20  1.154341e-17  5.908583e-19  1.143358e-20  4.662180e-19  1.359147e-22  1.612476e-21  1.267540e-25  1.297619e-23  3.078801e-19  4.085706e-20  5.893789e-18  1.709310e-15  2.670271e-22  1.774115e-23  9.994627e-22  1.194250e-28  8.513333e-29  5.880296e-22  3.407979e-27  4.026194e-16  2.879068e-16  4.039073e-17  4.916302e-17  2.123919e-18  1.801278e-18  1.262327e-19  3.160612e-19  6.935646e-19  8.532272e-22  4.215477e-21  6.018415e-21  1.475215e-21  1.289496e-17  2.166087e-18  3.209629e-18  9.750496e-19  4.894941e-17  1.828130e-17  2.196554e-17  1.050406e-17  2.714675e-18  2.740890e-18  3.066325e-19  2.856390e-19  3.603809e-28  2.913420e-29  5.044132e-18  6.871161e-18  2.246149e-17  1.586605e-23  5.616905e-30  2.797711e-18  8.601411e-19  2.988227e-19  1.921722e-26  1.246091e-18  4.009214e-20  2.208104e-20  1.000000e+00  
1.000000e+04  3.500000e-02  2.336095e-01  1.482784e+03  9.903552e-05  3.422596e-05  2.495549e-04  9.459926e-02  7.306518e-04  7.138050e-02  3.510444e-06  5.527210e-07  4.646391e-24  4.144977e-21  1.230275e-18  2.663985e-20  7.256067e-18  2.456125e-17  6.929711e-04  7.117123e-02  2.141492e-11  2.440712e-14  3.583034e-20  8.763547e-21  1.005304e-18  6.660908e-20  3.045550e-16  2.705512e-19  2.025672e-18  1.145367e-22  2.982874e-24  1.636714e-17  2.832097e-16  6.817504e-17  0.000000e+00  1.483333e-20  7.610385e-01  2.560563e-19  6.210422e-20  4.445117e-18  1.932926e-17  5.389535e-21  4.654667e-21  3.434618e-17  1.559110e-17  5.378050e-18  6.246834e-18  6.660242e-17  5.100743e-18  3.459890e-19  1.649268e-18  1.310162e-21  2.568482e-19  2.253589e-22  3.849932e-21  6.969897e-18  2.180602e-18  2.952164e-17  3.060627e-15  7.328524e-21  2.183496e-21  8.003970e-21  2.635837e-26  1.992024e-26  8.877101e-22  3.714046e-26  6.436146e-16  5.598240e-16  5.246075e-17  9.376353e-17  4.369821e-18  2.172434e-17  1.208139e-19  3.769251e-19  9.811204e-18  4.692562e-22  1.216151e-21  1.281777e-21  5.838497e-22  2.376967e-17  6.709618e-18  1.035129e-17  3.068836e-18  9.144927e-17  4.682556e-17  5.666443e-17  1.485827e-17  5.981927e-18  6.074084e-18  1.109193e-18  1.081619e-18  2.526353e-27  2.106483e-25  1.830805e-17  2.276517e-17  5.563470e-17  6.645179e-23  1.638773e-28  8.214326e-18  1.108629e-18  6.524683e-19  4.210381e-26  4.358557e-18  4.619613e-20  4.783647e-20  1.000000e+00  
1.000000e+04  4.500000e-02  1.925317e-01  1.795230e+03  5.127415e-04  2.072415e-04  7.715491e-04  6.201250e-02  2.411358e-03  9.037185e-02  3.172849e-06  3.918826e-07  6.227170e-20  4.223122e-18  1.411730e-16  5.721705e-18  5.375154e-16  1.067040e-15  2.439659e-03  8.975613e-02  2.310939e-10  4.364525e-13  3.181850e-18  5.098440e-19  2.229305e-17  9.768587e-18  5.361467e-15  1.035962e-17  1.212914e-17  4.657016e-22  2.386544e-23  7.063027e-16  4.077979e-15  9.319624e-16  0.000000e+00  8.732071e-20  7.515134e-01  4.691662e-17  3.580936e-18  3.605126e-17  8.784691e-17  1.785116e-20  7.556816e-19  6.753875e-16  1.618871e-16  9.566358e-17  1.137143e-16  5.310750e-16  8.493939e-17  7.865491e-18  1.700926e-17  1.029417e-20  2.172417e-17  1.617981e-19  4.929153e-19  1.778268e-16  4.280450e-17  1.881056e-16  1.055734e-14  1.757534e-19  1.146200e-19  1.608755e-19  4.348639e-24  2.933372e-24  8.084579e-21  2.204322e-24  3.799763e-15  3.566677e-15  1.329040e-16  4.415060e-16  1.690301e-17  2.729510e-16  1.313987e-19  7.920913e-19  4.623046e-17  2.027097e-21  3.871231e-21  6.611333e-21  9.006630e-21  1.554379e-16  7.052831e-17  1.205255e-16  5.043485e-17  4.518957e-16  2.332874e-16  3.421128e-16  4.748069e-17  4.874632e-17  5.067515e-17  1.280854e-17  1.321827e-17  1.157722e-25  3.341580e-22  1.959076e-16  2.324338e-16  5.095915e-16  1.503384e-21  2.156294e-26  1.050265e-16  2.852053e-18  2.255555e-18  2.397115e-25  5.083885e-17  4.911659e-19  7.631694e-19  1.000000e+00  
1.000000e+04  5.500000e-02  1.673899e-01  2.052247e+03  2.035319e-03  8.313149e-04  1.424606e-03  3.266799e-02  4.806853e-03  1.071389e-01  2.516278e-06  2.860753e-07  9.285639e-16  1.073274e-14  8.137167e-14  4.591439e-15  2.144009e-13  2.131857e-13  9.763606e-03  1.022312e-01  2.184232e-09  7.493825e-12  1.142625e-15  1.602186e-16  3.254912e-15  7.651991e-15  1.176543e-12  7.807576e-16  6.661171e-16  2.892895e-20  1.264641e-20  1.555292e-13  3.199408e-13  8.534907e-14  0.000000e+00  6.019721e-18  7.390974e-01  3.089185e-14  4.717422e-16  7.784407e-16  1.191082e-15  9.542239e-19  1.218367e-16  3.324926e-14  4.144755e-15  3.699032e-15  3.870345e-15  1.227993e-14  3.884750e-15  5.216463e-16  6.084801e-16  4.015860e-19  1.112417e-15  5.349368e-17  3.688104e-17  5.384862e-15  1.418407e-15  2.749034e-15  1.372050e-13  1.216868e-17  9.116646e-18  1.213093e-17  9.655645e-22  4.353650e-22  4.149586e-19  3.049156e-22  1.049184e-13  9.677747e-14  1.747853e-15  8.635299e-15  2.834229e-16  1.045002e-14  8.161782e-19  9.365439e-18  2.832124e-16  9.153553e-20  8.232061e-20  3.353573e-19  8.088364e-19  3.617497e-15  2.167993e-15  3.278916e-15  1.532773e-15  6.846282e-15  3.308456e-15  5.685026e-15  6.788483e-16  1.295439e-15  1.417255e-15  4.380957e-16  4.911290e-16  2.530467e-23  1.008615e-19  5.634395e-15  6.539125e-15  1.452683e-14  1.329379e-19  4.628509e-24  4.763827e-15  4.323408e-17  3.768644e-17  8.118114e-24  1.809402e-15  3.249335e-17  5.460006e-17  1.000000e+00  
1.000000e+04  6.500000e-02  1.532382e-01  2.212104e+03  6.268448e-03  2.168231e-03  1.425448e-03  1.172574e-02  5.910276e-03  1.202971e-01  1.397269e-06  1.839285e-07  6.258057e-12  1.806526e-11  6.166177e-11  4.366099e-12  1.657422e-10  1.045459e-10  2.866464e-02  1.019410e-01  1.259915e-08  2.675699e-10  9.580643e-13  8.498147e-14  1.185915e-12  8.410877e-12  7.664248e-10  1.209856e-13  1.780238e-13  1.882662e-17  3.035898e-17  7.338036e-11  7.451058e-11  2.310986e-11  0.000000e+00  1.816453e-15  7.215975e-01  2.881032e-11  1.382505e-13  4.468402e-14  2.924184e-14  5.009377e-16  2.734238e-14  5.071195e-12  3.416632e-13  2.141855e-13  2.352555e-13  5.987076e-13  2.640907e-13  4.641768e-14  4.178937e-14  3.886840e-17  6.875619e-14  2.117460e-14  2.471947e-15  2.703756e-13  9.230105e-14  9.969308e-14  4.937161e-12  1.324446e-15  1.082536e-15  1.928410e-15  2.357827e-19  9.117250e-20  5.648774e-17  7.362149e-20  7.942999e-12  6.377621e-12  6.766439e-14  4.817786e-13  1.708943e-14  9.837693e-13  1.861040e-17  4.255069e-16  7.928970e-15  1.345438e-17  5.989657e-18  3.140029e-17  8.750770e-17  1.958535e-13  1.092824e-13  1.245687e-13  6.899055e-14  2.559144e-13  1.173994e-13  1.966953e-13  2.131819e-14  6.929665e-14  8.382231e-14  2.391457e-14  2.939197e-14  1.160181e-20  1.151780e-17  2.916392e-13  3.335243e-13  8.156360e-13  2.112036e-17  1.191654e-21  4.550984e-13  2.577928e-15  2.384292e-15  9.432842e-22  1.385874e-13  6.246960e-15  8.674084e-15  1.000000e+00  
1.000000e+04  7.500000e-02  1.467573e-01  2.260510e+03  1.600278e-02  3.360152e-03  5.927972e-04  2.068618e-03  4.088727e-03  1.277551e-01  3.610572e-07  7.142657e-08  1.006753e-08  9.181142e-09  2.860722e-08  2.138762e-09  1.170925e-07  6.829669e-08  6.010517e-02  8.737670e-02  4.371091e-08  7.473606e-08  4.580024e-10  2.811137e-11  4.764644e-10  4.705509e-09  5.664897e-07  4.923751e-11  1.362999e-10  6.227591e-14  1.358892e-13  2.267731e-08  2.125862e-08  7.135954e-09  0.000000e+00  6.656094e-13  6.986486e-01  1.155306e-08  6.919699e-11  3.830166e-11  7.134975e-13  6.598920e-13  6.791143e-12  1.792792e-09  6.391073e-11  1.349829e-11  1.662540e-11  4.171527e-11  1.480137e-11  3.023669e-12  3.409342e-12  3.832038e-15  1.001208e-11  1.067052e-11  1.287087e-13  2.032405e-11  7.182976e-12  6.861494e-12  2.933855e-10  1.238284e-13  1.097657e-13  3.259171e-13  4.507318e-17  2.796465e-17  8.668126e-15  3.444807e-17  9.409276e-10  5.224869e-10  3.289827e-12  3.515262e-11  2.272844e-12  1.622604e-10  6.318148e-16  3.767604e-14  6.094454e-13  1.599007e-15  6.615399e-16  3.560850e-15  6.868981e-15  1.776301e-11  5.748289e-12  5.303099e-12  3.230432e-12  1.610769e-11  4.961712e-12  7.855574e-12  9.338979e-13  4.024048e-12  6.190825e-12  9.051255e-13  1.331327e-12  5.853881e-18  5.346078e-16  1.323500e-11  1.502393e-11  5.401854e-11  3.297597e-15  2.112467e-19  5.148815e-11  2.095424e-13  1.619810e-13  1.094819e-19  1.155020e-11  2.084100e-12  1.813833e-12  1.000000e+00  
1.000000e+04  8.500000e-02  1.445156e-01  2.236555e+03  3.400930e-02  1.704646e-03  3.225281e-05  9.304791e-05  9.397771e-04  1.272308e-01  2.096446e-08  4.543983e-09  3.442188e-07  2.137107e-07  1.867144e-06  1.152578e-07  2.548365e-05  2.912541e-05  9.525737e-02  6.715782e-02  1.394402e-07  4.686452e-06  2.506996e-08  1.153331e-09  6.191384e-08  3.437312e-07  1.793115e-04  1.220441e-08  1.181611e-07  3.899004e-10  6.004753e-10  8.909677e-07  2.224664e-06  9.585784e-07  0.000000e+00  3.869208e-11  6.733274e-01  5.197952e-07  4.489489e-08  6.753005e-08  1.427605e-10  9.051265e-10  6.328350e-10  7.400510e-07  1.377964e-08  7.001922e-10  1.494323e-09  4.391666e-09  1.690617e-10  3.858315e-11  1.478841e-10  2.389702e-13  2.495043e-09  4.083975e-09  4.966961e-12  3.472054e-09  3.709792e-10  8.064307e-10  2.297057e-08  5.929909e-12  5.042052e-12  3.867179e-11  2.312162e-15  1.209278e-14  4.113785e-13  4.718373e-14  8.511757e-08  2.736294e-08  4.865328e-11  1.024785e-09  4.053481e-10  2.755070e-08  7.167785e-15  1.650510e-12  2.907427e-11  9.094306e-14  6.107752e-14  6.528960e-13  2.447917e-13  3.091709e-09  2.735655e-10  2.818367e-10  1.904686e-10  1.125634e-09  1.341804e-10  2.316026e-10  6.212765e-11  1.320173e-10  3.345888e-10  9.000927e-12  1.940638e-11  8.863157e-16  1.368230e-14  2.008085e-10  2.343082e-10  2.125508e-09  8.952881e-13  1.155347e-17  3.257820e-09  1.219465e-11  4.596234e-12  3.395057e-18  5.908806e-10  6.155193e-10  3.192705e-10  1.000000e+00  
