time          Z             rho           T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+04  0.000000e+00  1.156631e+00  3.000000e+02  7.245501e-08  2.402834e-18  2.353901e-20  2.100000e-01  2.136912e-08  8.107311e-14  4.431079e-19  7.050242e-19  3.176146e-19  3.767346e-20  2.186417e-18  8.887337e-20  1.334142e-20  2.004811e-18  2.666794e-20  1.430517e-24  2.979273e-20  3.953510e-19  1.289446e-24  4.931470e-19  6.398600e-19  1.526028e-19  1.684193e-22  8.975289e-33  7.328452e-25  7.990715e-32  5.820410e-19  6.787698e-25  5.646060e-23  1.014197e-21  2.918208e-19  4.375613e-19  2.324660e-20  1.976505e-21  1.880583e-26  7.929558e-21  1.599012e-18  1.971630e-20  1.939541e-21  7.584991e-20  9.389048e-21  2.678173e-21  4.627193e-22  1.119084e-21  2.033943e-23  3.583083e-21  6.732425e-25  7.899999e-01  0.000000e+00  3.452220e-36  1.735499e-34  9.424762e-30  4.173688e-26  1.000000e+00  
1.000000e+04  5.000000e-03  7.285305e-01  4.743747e+02  6.453059e-06  1.536996e-09  7.068842e-07  1.902228e-01  5.292287e-06  1.790129e-02  6.733287e-07  7.526157e-07  2.959326e-24  1.456987e-25  1.878034e-19  3.762382e-21  3.132410e-16  1.196548e-13  7.190772e-05  8.883793e-03  1.494248e-16  6.777977e-15  2.300187e-20  2.437296e-17  7.136432e-15  5.948392e-25  3.366777e-13  2.612235e-22  1.774845e-16  7.139033e-22  4.254414e-19  1.744624e-18  6.957381e-14  3.653572e-13  1.618034e-16  8.561498e-15  6.239799e-13  4.096369e-12  1.729743e-17  2.066571e-05  3.040200e-06  4.310576e-07  2.259979e-10  7.866760e-21  3.744231e-10  1.867364e-13  9.619712e-27  1.261132e-11  1.052689e-11  3.379170e-10  2.995170e-13  7.828822e-01  0.000000e+00  1.910079e-26  1.022044e-24  4.990715e-19  1.127892e-19  1.000000e+00  
1.000000e+04  1.500000e-02  4.165564e-01  8.230392e+02  1.913677e-05  1.160573e-07  4.489832e-06  1.511378e-01  2.393730e-05  5.327162e-02  3.415756e-06  1.532268e-06  4.437279e-28  5.773408e-23  1.169170e-17  2.170255e-19  5.020380e-15  3.576678e-13  2.151576e-04  2.643781e-02  2.998322e-14  2.747242e-14  5.884145e-19  8.949752e-17  1.996946e-14  4.218433e-20  1.007210e-12  9.662863e-20  5.353850e-16  7.268611e-21  1.691391e-19  8.602067e-17  2.193805e-13  1.087535e-12  2.833786e-15  3.939484e-13  2.387303e-12  1.244625e-11  2.616991e-14  6.308612e-05  7.464647e-06  1.282864e-06  8.246925e-10  6.021285e-17  1.114885e-09  2.603954e-15  1.830981e-24  3.753353e-11  3.132929e-11  1.006189e-09  4.155180e-12  7.688132e-01  0.000000e+00  5.148993e-26  3.190372e-24  2.579449e-17  4.810327e-19  1.000000e+00  
1.000000e+04  2.500000e-02  2.904940e-01  1.170810e+03  3.775909e-05  2.601898e-06  3.135156e-05  1.126464e-01  1.371248e-04  8.802412e-02  6.571475e-06  1.125677e-06  3.142434e-23  6.463637e-20  4.673472e-16  1.055508e-17  4.390473e-14  7.146189e-13  3.744357e-04  4.369360e-02  1.031368e-12  1.110809e-13  1.457555e-17  1.021994e-16  3.041654e-14  1.582581e-17  2.068186e-12  3.769635e-18  1.203790e-15  6.628261e-20  1.934901e-19  3.223288e-15  5.962342e-13  1.828882e-12  1.007087e-13  4.536673e-12  6.678681e-12  2.586225e-11  1.739272e-12  1.124675e-04  4.180266e-06  2.119434e-06  2.354321e-09  8.550834e-15  1.851191e-09  8.319312e-16  8.040054e-22  6.241433e-11  5.205866e-11  1.703915e-09  2.616781e-11  7.549262e-01  0.000000e+00  4.470763e-26  1.062591e-23  4.054327e-17  2.274310e-18  1.000000e+00  
1.000000e+04  3.500000e-02  2.230306e-01  1.512334e+03  1.652665e-04  3.394936e-05  1.795589e-04  7.468648e-02  8.508278e-04  1.217582e-01  5.159662e-06  3.087778e-07  1.308453e-18  1.304244e-16  4.841596e-14  1.580835e-15  9.340651e-13  4.305239e-12  7.278890e-04  6.045644e-02  1.839642e-11  1.404242e-12  1.482507e-15  9.675913e-16  1.274963e-13  4.013897e-15  1.434997e-11  2.305183e-16  9.744743e-15  8.674622e-19  3.669818e-18  3.186166e-13  4.338702e-12  3.982343e-12  1.085186e-11  8.707467e-11  2.871266e-11  6.466288e-11  3.859951e-11  1.613084e-04  6.411529e-07  2.763150e-06  4.691151e-09  4.211619e-13  3.009311e-09  1.324859e-15  6.371395e-19  9.931458e-11  8.469950e-11  2.804897e-09  1.084529e-10  7.409712e-01  0.000000e+00  2.979182e-24  1.984494e-22  1.305313e-16  3.254109e-17  1.000000e+00  
1.000000e+04  4.500000e-02  1.830850e-01  1.823364e+03  1.181027e-03  3.174899e-04  6.244920e-04  3.824504e-02  2.911760e-03  1.529168e-01  3.684394e-06  1.812778e-07  4.235983e-14  5.553307e-13  1.927969e-11  9.146659e-13  1.174801e-10  2.048023e-10  2.983347e-03  7.487382e-02  4.078249e-10  1.183212e-10  6.965210e-13  9.158537e-14  4.152478e-12  1.678861e-12  7.534978e-10  4.378720e-14  5.767702e-13  1.776001e-16  6.520449e-16  8.534843e-11  1.625940e-10  5.480917e-11  5.972804e-10  9.489027e-10  2.828521e-10  4.496913e-10  4.794883e-10  2.056642e-04  1.388845e-07  1.565837e-06  8.176577e-09  1.885587e-11  1.477717e-08  1.312498e-14  8.393116e-16  3.587501e-10  2.637268e-10  8.892546e-09  6.629489e-10  7.257350e-01  0.000000e+00  3.215718e-21  3.285914e-20  5.344582e-15  2.346816e-15  1.000000e+00  
1.000000e+04  5.500000e-02  1.617270e-01  2.027065e+03  6.823173e-03  1.705371e-03  8.570057e-04  1.016649e-02  4.652482e-03  1.768934e-01  1.986661e-06  1.237510e-07  5.247718e-10  1.279177e-09  9.689471e-09  6.446819e-10  4.415830e-08  4.431944e-08  1.489174e-02  7.855583e-02  9.713697e-09  2.628699e-08  4.197944e-10  2.314592e-11  5.471536e-10  8.854472e-10  1.823204e-07  2.309359e-11  1.574071e-10  1.946250e-13  6.096790e-13  1.998747e-08  1.711168e-08  3.946894e-09  9.510643e-09  7.264126e-09  7.918681e-09  1.387229e-08  2.889221e-09  2.417232e-04  3.754290e-08  5.904671e-07  1.529943e-08  1.170016e-09  3.476153e-07  7.792863e-13  8.784363e-13  6.009117e-09  2.467103e-09  8.391889e-08  8.388848e-09  7.052092e-01  0.000000e+00  9.092367e-18  3.134167e-17  9.645215e-13  4.971873e-13  1.000000e+00  
1.000000e+04  6.500000e-02  1.548876e-01  2.051606e+03  2.630876e-02  2.156070e-03  1.004473e-04  5.046625e-04  1.671257e-03  1.857268e-01  1.860935e-07  2.730054e-08  3.432827e-07  1.604643e-07  1.303639e-06  7.933990e-08  1.617536e-05  1.846996e-05  4.281397e-02  6.403229e-02  1.882749e-07  2.941491e-06  5.680962e-08  2.028762e-09  9.243911e-08  1.262116e-07  6.992598e-05  9.930209e-09  9.636937e-08  4.451469e-10  1.421008e-09  1.082315e-06  1.910558e-06  4.155029e-07  1.723289e-07  8.884700e-08  2.826426e-07  1.294271e-06  3.563293e-09  2.343717e-04  5.076913e-09  7.013903e-08  3.855717e-08  2.669264e-08  1.454427e-05  3.801721e-11  1.000311e-10  1.987864e-07  3.037387e-08  1.261921e-06  4.457595e-08  6.763197e-01  0.000000e+00  1.726658e-14  8.216529e-14  1.030242e-10  1.139158e-10  1.000000e+00  
1.000000e+04  7.500000e-02  1.561686e-01  1.979591e+03  4.953403e-02  3.528851e-04  5.383438e-07  5.603302e-05  1.249205e-04  1.821798e-01  7.659642e-09  8.978161e-10  2.390704e-08  3.955401e-08  2.504139e-06  1.162923e-07  2.885070e-04  2.148926e-03  5.764762e-02  5.294100e-02  1.093253e-07  1.336070e-05  9.316504e-08  2.784696e-09  1.152627e-06  4.310718e-07  3.470373e-03  2.157657e-07  2.329077e-05  1.428515e-07  1.103703e-06  1.195141e-06  1.887584e-05  8.366106e-06  2.609655e-08  4.945267e-08  6.672059e-07  3.127019e-05  5.372404e-10  1.375396e-04  5.535892e-10  9.850353e-09  2.577562e-08  9.690006e-09  7.083250e-05  3.868086e-11  3.323646e-11  8.652303e-07  6.280503e-08  5.180615e-06  1.161984e-08  6.509378e-01  0.000000e+00  8.599048e-12  1.608032e-10  2.291032e-10  1.520348e-09  1.000000e+00  
1.000000e+04  8.500000e-02  1.589621e-01  1.904273e+03  6.587563e-02  1.876795e-04  5.599544e-08  1.065171e-05  4.180822e-05  1.774779e-01  1.297540e-09  1.498054e-10  2.976421e-09  9.298904e-09  1.371627e-06  5.783680e-08  4.091302e-04  7.407375e-03  6.300376e-02  4.728699e-02  5.260222e-08  1.172968e-05  5.195815e-08  1.453848e-09  1.510537e-06  2.806094e-07  7.432027e-03  3.958432e-07  9.313952e-05  3.260462e-07  5.692253e-06  4.685352e-07  2.109102e-05  1.002853e-05  4.893206e-09  2.121384e-08  3.956327e-07  4.786424e-05  2.627947e-10  8.736340e-05  1.476905e-10  4.611985e-09  1.155416e-08  4.442247e-09  9.847768e-05  3.760279e-11  1.035007e-11  5.116151e-07  4.896101e-08  4.650025e-06  3.848920e-09  6.304814e-01  0.000000e+00  2.756415e-11  1.344377e-09  1.884417e-10  1.105191e-09  1.000000e+00  
