time          x             rho           u             mdot          T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+05  0.000000e+00  1.111172e+00  4.101871e-01  4.557885e-01  3.030000e+02  2.287217e-04  5.912635e-18  1.112394e-11  1.899561e-01  2.718766e-13  1.816602e-06  2.019495e-09  1.115757e-09  8.035384e-31  7.461091e-37  2.748659e-21  1.426886e-22  1.705210e-10  9.497734e-02  9.340254e-08  7.826622e-09  3.942035e-21  9.078786e-10  6.312851e-23  3.390302e-13  1.585568e-10  2.042497e-34  1.647327e-12  2.844291e-25  1.060791e-10  2.571019e-17  2.736104e-10  1.380110e-23  6.260164e-13  8.900494e-17  5.431222e-16  1.844480e-19  2.824461e-12  2.517156e-13  4.438226e-28  3.302332e-11  2.272042e-11  1.195010e-13  1.061383e-13  8.517996e-35  3.757824e-13  1.154309e-14  2.867656e-37  1.507292e-14  1.869800e-16  1.681257e-13  3.021215e-16  7.148359e-01  1.150842e-37  4.572898e-17  2.006329e-13  3.608555e-20  1.311464e-12  1.000000e+00  
1.000000e+05  5.000000e-05  1.111073e+00  4.102237e-01  4.557885e-01  3.030104e+02  2.878006e-04  6.888939e-18  1.799295e-11  1.899445e-01  4.429829e-13  3.376059e-06  3.968717e-09  2.200004e-09  1.328666e-30  1.176844e-36  5.144562e-21  2.670648e-22  3.225566e-10  9.497097e-02  1.837914e-07  1.775924e-08  8.958993e-21  2.072847e-09  1.439622e-22  7.731454e-13  3.657853e-10  4.470137e-34  3.625370e-12  6.292678e-25  2.383853e-10  6.025922e-17  6.443110e-10  2.474349e-23  1.557623e-12  2.214577e-16  9.170073e-16  2.925758e-19  4.514830e-12  4.775711e-13  8.770070e-28  6.523508e-11  4.882993e-11  2.725221e-13  2.092444e-13  1.678562e-34  8.650075e-13  2.670857e-14  5.141350e-37  3.428921e-14  4.253585e-16  3.824670e-13  6.855043e-16  7.147932e-01  7.549923e-37  1.255323e-16  5.523340e-13  9.003648e-20  3.281011e-12  1.000000e+00  
1.000000e+05  1.250000e-04  1.110849e+00  4.103063e-01  4.557885e-01  3.030398e+02  3.992820e-04  4.113914e-17  3.472579e-11  1.899220e-01  2.384156e-12  7.722439e-06  9.712915e-09  5.405786e-09  1.293672e-34  8.170686e-35  6.428837e-20  3.348251e-21  7.516215e-10  9.495832e-02  4.505346e-07  5.155987e-08  9.347431e-20  6.058824e-09  1.977053e-21  4.354676e-12  1.082755e-09  9.017626e-34  1.015397e-11  9.725143e-24  6.842884e-10  4.851997e-16  1.953433e-09  1.492632e-22  5.033944e-12  7.157096e-16  1.962567e-15  1.167734e-18  8.567221e-12  1.120026e-12  5.243179e-27  1.606826e-10  1.329643e-10  7.958730e-13  5.140464e-13  4.508494e-33  2.553897e-12  7.933342e-14  3.567296e-35  9.984943e-14  1.238635e-15  1.113736e-12  1.990134e-15  7.147121e-01  1.403652e-36  4.543995e-16  2.004406e-12  5.009190e-19  1.067074e-11  1.000000e+00  
1.000000e+05  1.750000e-04  1.110574e+00  4.104082e-01  4.557885e-01  3.030857e+02  5.023731e-04  1.522725e-16  5.627062e-11  1.899004e-01  7.652227e-12  1.434963e-05  1.908369e-08  1.065630e-08  1.578256e-38  1.660398e-33  3.881413e-19  2.024373e-20  1.416220e-09  9.494541e-02  8.864134e-07  1.169751e-07  5.886528e-19  1.382342e-08  1.398494e-20  1.524107e-11  2.497468e-09  6.395157e-33  2.234307e-11  7.019467e-23  1.537519e-09  2.151667e-15  4.599171e-09  6.310513e-22  1.252305e-11  1.780485e-15  3.449877e-15  3.277702e-18  1.369323e-11  2.124402e-12  1.944229e-26  3.174196e-10  2.856640e-10  1.814702e-12  1.013190e-12  3.256838e-32  5.877787e-12  1.835310e-13  7.247714e-34  2.271103e-13  2.817310e-15  2.533223e-12  4.514958e-15  7.146364e-01  2.110607e-36  1.248322e-15  5.517101e-12  1.827914e-18  2.669135e-11  1.000000e+00  
1.000000e+05  2.250000e-04  1.110120e+00  4.105760e-01  4.557885e-01  3.031724e+02  6.320464e-04  5.820373e-16  9.124999e-11  1.898717e-01  2.471557e-11  2.666122e-05  3.749020e-08  2.100237e-08  1.951169e-42  3.459757e-32  2.352417e-18  1.228354e-19  2.661290e-09  9.492735e-02  1.743833e-06  2.653544e-07  3.979447e-18  3.152490e-08  1.016902e-19  5.340349e-11  5.759939e-09  4.579803e-32  4.915907e-11  5.102376e-22  3.454245e-09  9.644477e-15  1.082692e-08  3.049763e-21  3.114992e-11  4.428793e-15  6.085448e-15  9.878965e-18  2.188483e-11  4.028967e-12  7.457409e-26  6.270773e-10  6.135663e-10  4.137312e-12  1.996766e-12  2.405311e-31  1.352605e-11  4.245299e-13  1.509414e-32  5.165112e-13  6.407335e-15  5.761243e-12  1.024202e-14  7.145401e-01  2.821924e-36  3.431970e-15  1.518390e-11  6.687497e-18  6.675625e-11  1.000000e+00  
1.000000e+05  2.750000e-04  1.109347e+00  4.108618e-01  4.557885e-01  3.033361e+02  7.951197e-04  2.259185e-15  1.481605e-10  1.898330e-01  7.862940e-11  4.952606e-05  7.363490e-08  4.137786e-08  3.719503e-43  7.109365e-31  1.398368e-17  7.310842e-19  4.979719e-09  9.490126e-02  3.430054e-06  6.018248e-07  2.758250e-17  7.184391e-08  7.367267e-19  1.859121e-10  1.328127e-08  3.251864e-31  1.081381e-10  3.658144e-21  7.758817e-09  4.317739e-14  2.548174e-08  1.713011e-20  7.746444e-11  1.101364e-14  1.075625e-14  3.227719e-17  3.497260e-11  7.639457e-12  2.913891e-25  1.238960e-09  1.317225e-09  9.430646e-12  3.934368e-12  1.771936e-30  3.111922e-11  9.817618e-13  3.098483e-31  1.174446e-12  1.456903e-14  1.309994e-11  2.322976e-14  7.144169e-01  3.539551e-36  9.449243e-15  4.177881e-11  2.455028e-17  1.669212e-10  1.000000e+00  
1.000000e+05  3.250000e-04  1.107997e+00  4.113625e-01  4.557885e-01  3.036454e+02  1.000116e-03  8.853349e-15  2.411292e-10  1.897788e-01  2.445316e-10  9.196639e-05  1.445818e-07  8.146278e-08  8.922294e-42  1.424039e-29  8.070765e-17  4.226465e-18  9.256828e-09  9.486222e-02  6.744704e-06  1.364418e-06  1.908232e-16  1.635449e-07  5.244938e-18  6.415710e-10  3.061115e-08  2.285215e-30  2.377902e-10  2.570232e-20  1.742085e-08  1.925156e-13  5.994715e-08  1.086264e-19  1.925563e-10  2.737701e-14  1.903789e-14  1.153710e-16  5.587474e-11  1.448012e-11  1.156393e-24  2.448480e-09  2.825396e-09  2.148806e-11  7.749398e-12  1.294403e-29  7.156505e-11  2.269426e-12  6.194309e-30  2.669433e-12  3.311439e-14  2.977526e-11  5.267084e-14  7.142583e-01  4.269464e-36  2.609003e-14  1.149058e-10  9.067881e-17  4.171970e-10  1.000000e+00  
1.000000e+05  3.750000e-04  1.105592e+00  4.122575e-01  4.557885e-01  3.042285e+02  1.257636e-03  3.495034e-14  3.941894e-10  1.897001e-01  7.385153e-10  1.706596e-04  2.837578e-07  1.601631e-07  4.280559e-40  2.759197e-28  4.478033e-16  2.351130e-17  1.704253e-08  9.480164e-02  1.325488e-05  3.091109e-06  1.294139e-15  3.716088e-07  3.631740e-17  2.191495e-09  7.049767e-08  1.596107e-29  5.225291e-10  1.761906e-19  3.908660e-08  8.527454e-13  1.409186e-07  7.364367e-19  4.782528e-10  6.799635e-14  3.373716e-14  4.489844e-16  8.923237e-11  2.742769e-11  4.675130e-24  4.841170e-09  6.050717e-09  4.892612e-11  1.525404e-11  9.388539e-29  1.644472e-10  5.241736e-12  1.195778e-28  6.063086e-12  7.521274e-14  6.762857e-11  1.193576e-13  7.140525e-01  5.024693e-36  7.242122e-14  3.157744e-10  3.386168e-16  1.041876e-09  1.000000e+00  
1.000000e+05  4.250000e-04  1.101256e+00  4.138808e-01  4.557885e-01  3.053256e+02  1.580725e-03  1.391163e-13  6.498991e-10  1.895806e-01  2.150159e-09  3.162905e-04  5.565739e-07  3.140847e-07  2.854380e-38  5.143103e-27  2.362295e-15  1.245788e-16  3.097189e-08  9.470439e-02  2.602108e-05  6.993625e-06  8.482646e-15  8.418341e-07  2.421262e-16  7.399398e-09  1.621141e-07  1.122052e-28  1.146751e-09  1.174464e-18  8.757852e-08  3.739985e-12  3.307830e-07  5.083224e-18  1.186021e-09  1.686242e-13  5.987939e-14  1.871912e-15  1.423946e-10  5.188797e-11  1.945956e-23  9.581656e-09  1.292021e-08  1.112503e-10  2.999190e-11  6.826006e-28  3.773152e-10  1.208872e-11  2.213471e-27  1.375266e-11  1.706021e-13  1.533992e-10  2.701967e-13  7.137826e-01  5.830863e-36  2.030115e-13  8.664678e-10  1.289031e-15  2.597948e-09  1.000000e+00  
1.000000e+05  4.750000e-04  1.093415e+00  4.168486e-01  4.557885e-01  3.073826e+02  1.985141e-03  5.613259e-13  1.088667e-09  1.893906e-01  5.989028e-09  5.848305e-04  1.090925e-06  6.129308e-07  2.016571e-36  9.225831e-26  1.172769e-14  6.233076e-16  5.545019e-08  9.454360e-02  5.098184e-05  1.578390e-05  5.307078e-14  1.897628e-06  1.537782e-15  2.465996e-08  3.717542e-07  8.168791e-28  2.510673e-09  7.610064e-18  1.957361e-07  1.617157e-11  7.744088e-07  3.459002e-17  2.932845e-09  4.169804e-13  1.065402e-13  8.205220e-15  2.269038e-10  9.793699e-11  8.531871e-23  1.900206e-08  2.744265e-08  2.523350e-10  5.884640e-11  5.095411e-27  8.633309e-10  2.780169e-11  3.919170e-26  3.111701e-11  3.860073e-13  3.470837e-10  6.105080e-13  7.134240e-01  6.737779e-36  5.790993e-13  2.370803e-09  5.071211e-15  6.459830e-09  1.000000e+00  
