time          Z             rho           T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+04  0.000000e+00  1.156631e+00  3.000000e+02  7.245501e-08  3.467217e-19  3.022375e-23  2.100000e-01  2.136912e-08  8.107310e-14  4.424975e-19  1.268541e-19  6.596446e-20  2.558685e-22  3.364121e-20  6.849827e-29  2.241586e-21  1.847537e-21  5.173723e-24  1.121125e-26  5.576803e-31  5.150334e-23  1.575585e-33  2.756085e-32  7.546578e-29  3.055065e-22  1.768271e-22  6.377131e-36  6.710465e-22  1.714285e-35  2.703857e-20  3.825712e-29  2.497462e-27  1.385465e-20  9.549090e-27  8.786040e-20  3.303836e-25  1.687907e-23  1.471303e-30  4.305394e-23  1.184448e-21  1.120620e-23  2.596829e-24  1.231130e-20  4.553005e-20  4.839619e-24  5.663309e-25  2.379957e-24  9.072767e-25  3.299356e-24  5.268279e-28  7.899999e-01  0.000000e+00  1.337818e-50  2.156146e-41  2.484121e-35  9.252805e-31  1.000000e+00  
1.000000e+04  2.500000e-03  8.954295e-01  3.867388e+02  4.099756e-07  1.606322e-11  6.259353e-08  2.000795e-01  1.057736e-06  8.972820e-03  3.733713e-08  1.787369e-07  6.455568e-25  9.713177e-28  4.682839e-24  1.980813e-27  7.983846e-22  6.637585e-20  5.322859e-06  4.481614e-03  1.118011e-19  3.717080e-19  5.008003e-27  6.526424e-24  8.200690e-21  3.066104e-27  4.524415e-18  3.440063e-29  7.929902e-22  7.375792e-24  2.264267e-20  1.946602e-24  6.146379e-19  7.297259e-17  1.932522e-19  1.455801e-17  8.463663e-15  6.672878e-14  3.221216e-20  1.032331e-05  1.074322e-06  9.809543e-08  1.403201e-11  3.867087e-25  6.812619e-13  1.236974e-17  2.209591e-28  3.725897e-14  1.076967e-13  1.741607e-12  1.378433e-16  7.864475e-01  0.000000e+00  5.499374e-37  1.962637e-35  6.620077e-26  3.575326e-24  1.000000e+00  
1.000000e+04  7.500000e-03  6.156959e-01  5.602141e+02  1.081315e-06  3.949609e-10  2.299118e-07  1.803567e-01  3.373461e-06  2.681139e-02  1.413463e-07  4.773733e-07  4.016158e-30  1.672548e-31  2.420746e-24  6.733243e-27  9.147346e-22  2.020699e-19  1.591875e-05  1.339139e-02  8.341130e-18  1.223168e-18  5.235312e-26  3.073466e-23  2.294042e-20  4.665049e-28  1.352245e-17  4.529661e-27  3.409098e-21  1.115075e-23  1.421296e-20  3.788318e-23  1.849918e-18  2.180757e-16  1.594194e-18  3.810377e-16  2.601342e-14  1.998886e-13  1.364015e-17  3.090829e-05  3.148718e-06  2.931167e-07  4.349845e-11  2.487927e-22  2.035677e-12  2.360831e-17  1.142022e-32  1.113327e-13  3.218059e-13  5.204229e-12  1.236956e-15  7.793850e-01  0.000000e+00  1.953324e-36  5.897159e-35  2.366217e-24  9.895011e-24  1.000000e+00  
1.000000e+04  1.250000e-02  4.682655e-01  7.336785e+02  1.760403e-06  3.339256e-09  6.082470e-07  1.607896e-01  6.969544e-06  4.450813e-02  3.638345e-07  6.689855e-07  1.459362e-34  1.127376e-29  2.067296e-23  5.965945e-26  3.835399e-21  3.393315e-19  2.657650e-05  2.223049e-02  1.103590e-16  2.982872e-18  2.477097e-25  5.788991e-23  3.771797e-20  6.940790e-26  2.254334e-17  7.101293e-26  4.743858e-21  1.240645e-23  7.190687e-21  2.452622e-22  3.256592e-18  3.620525e-16  8.348024e-18  2.866831e-15  4.460504e-14  3.405078e-13  4.699252e-16  5.165515e-05  4.881856e-06  4.865933e-07  7.248182e-11  1.803630e-20  3.379480e-12  1.556124e-18  4.884385e-31  1.848226e-13  5.342238e-13  8.647925e-12  7.713375e-15  7.723778e-01  0.000000e+00  2.451885e-36  1.042040e-34  1.995967e-23  1.456130e-23  1.000000e+00  
1.000000e+04  1.750000e-02  3.772439e-01  9.071084e+02  2.538500e-06  2.105878e-08  1.551239e-06  1.413758e-01  1.491918e-05  6.206290e-02  7.888607e-07  7.460908e-07  4.054725e-31  4.515895e-28  1.438342e-22  5.875020e-25  1.411136e-20  4.965512e-19  3.769305e-05  3.099929e-02  9.331680e-16  8.348803e-18  1.180915e-24  6.044892e-23  5.535245e-20  2.430504e-24  3.228618e-17  5.655683e-25  4.163133e-21  1.137621e-23  2.538871e-21  1.380664e-21  5.279544e-18  5.051525e-16  5.504471e-17  1.322395e-14  6.139045e-14  5.122092e-13  6.735842e-15  7.305224e-05  5.787320e-06  6.784795e-07  1.316020e-10  3.615911e-19  4.714437e-12  4.568451e-19  1.089881e-29  2.577748e-13  7.450534e-13  1.213287e-11  3.062286e-14  7.654242e-01  0.000000e+00  6.147960e-37  1.839203e-34  8.294153e-23  1.563842e-23  1.000000e+00  
1.000000e+04  2.250000e-02  3.154795e-01  1.080433e+03  3.854247e-06  1.057752e-07  3.969658e-06  1.221113e-01  3.778342e-05  7.947133e-02  1.287874e-06  6.079363e-07  1.791041e-28  2.148759e-26  1.262855e-21  8.085322e-24  5.380799e-20  7.659793e-19  5.046801e-05  3.969718e-02  6.003559e-15  2.506595e-17  7.556940e-24  9.113406e-23  8.803784e-20  4.828463e-23  4.616908e-17  3.367770e-24  2.254120e-21  6.135147e-24  4.719868e-22  8.268275e-21  8.755020e-18  6.493762e-16  7.342564e-16  5.281864e-14  8.801550e-14  7.455134e-13  5.750385e-14  9.577681e-05  5.189309e-06  8.676134e-07  2.637282e-10  4.413075e-18  6.057983e-12  2.860991e-19  3.242544e-28  3.305310e-13  9.553525e-13  1.587938e-11  8.451403e-14  7.585203e-01  0.000000e+00  7.442110e-37  4.442644e-34  8.914916e-23  1.001800e-23  1.000000e+00  
1.000000e+04  2.750000e-02  2.708613e-01  1.253454e+03  7.641423e-06  4.568644e-07  1.032838e-05  1.029883e-01  1.042863e-04  9.671732e-02  1.499524e-06  2.676296e-07  3.117937e-26  1.292243e-24  1.485265e-20  1.523411e-22  2.837489e-19  1.676166e-18  6.929594e-05  4.831984e-02  3.317378e-14  8.558490e-17  7.997037e-23  2.785357e-22  1.931696e-19  7.681828e-22  7.804420e-17  1.968154e-23  9.967031e-22  9.639352e-25  3.358510e-23  5.834001e-20  1.625677e-17  8.089171e-16  1.313780e-14  2.576520e-13  1.579221e-13  1.114360e-12  3.583178e-13  1.197529e-04  3.163958e-06  1.043090e-06  4.701500e-10  4.075358e-17  7.534509e-12  2.803013e-19  1.269156e-26  4.050697e-13  1.172642e-12  2.047951e-11  1.940436e-13  7.516568e-01  0.000000e+00  4.494975e-36  2.126317e-33  8.041437e-23  2.530709e-24  1.000000e+00  
1.000000e+04  3.250000e-02  2.371948e-01  1.425680e+03  2.132620e-05  1.940071e-06  2.710295e-05  8.399745e-02  2.725322e-04  1.137608e-01  1.488877e-06  1.445876e-07  2.957852e-24  7.772552e-23  1.919788e-19  3.078934e-21  2.292093e-18  7.545983e-18  1.111749e-04  5.684890e-02  1.923959e-13  5.144758e-16  1.424973e-21  1.669448e-21  6.601802e-19  1.236507e-20  1.983863e-16  1.568884e-22  2.634664e-21  5.185440e-26  8.225181e-25  6.118023e-19  4.668465e-17  1.073857e-15  2.455931e-13  1.847969e-12  3.815378e-13  1.999712e-12  1.983767e-12  1.433492e-04  1.338297e-06  1.146408e-06  7.898622e-10  3.064745e-16  9.888251e-12  4.281081e-19  4.713158e-25  4.908007e-13  1.430446e-12  2.773276e-11  4.296968e-13  7.448113e-01  0.000000e+00  1.065720e-34  2.687165e-32  1.637360e-22  2.849009e-24  1.000000e+00  
1.000000e+04  3.750000e-02  2.110342e-01  1.595867e+03  7.196917e-05  8.646944e-06  7.030680e-05  6.514568e-02  6.474134e-04  1.305086e-01  1.520357e-06  1.098168e-07  2.255950e-22  5.699094e-21  3.220972e-18  7.888281e-20  3.321960e-17  8.365353e-17  2.393800e-04  6.521529e-02  1.425657e-12  4.949539e-15  4.499832e-20  2.096409e-20  4.190361e-18  3.107602e-19  1.117954e-15  2.506408e-21  3.083324e-20  2.189613e-25  1.339578e-25  1.451788e-17  3.356103e-16  2.058859e-15  4.299542e-12  1.234958e-11  1.472189e-12  5.334143e-12  1.077451e-11  1.657232e-04  5.343996e-07  1.046109e-06  1.349048e-09  2.407321e-15  1.712528e-11  1.201423e-18  1.953955e-23  6.327532e-13  1.893837e-12  4.447723e-11  1.077546e-12  7.379238e-01  0.000000e+00  9.603450e-33  9.887313e-31  1.163080e-21  5.268030e-23  1.000000e+00  
1.000000e+04  4.250000e-02  1.904393e-01  1.760602e+03  2.609520e-04  3.998873e-05  1.729052e-04  4.654584e-02  1.384684e-03  1.467314e-01  1.662460e-06  1.029244e-07  2.395235e-20  1.081475e-18  1.428100e-16  5.116387e-18  1.299514e-15  2.407080e-15  6.900004e-04  7.316275e-02  1.395371e-11  6.177575e-14  3.604868e-18  7.896277e-19  7.764549e-17  1.822216e-17  1.976105e-14  1.146023e-19  9.782476e-19  1.180767e-23  1.384251e-23  9.700782e-16  6.778908e-15  9.940781e-15  6.118518e-11  6.664404e-11  7.568809e-12  1.926403e-11  5.780424e-11  1.872876e-04  2.497596e-07  8.221809e-07  2.385719e-09  2.786433e-14  5.477865e-11  8.003369e-18  2.041334e-21  1.081010e-12  3.583820e-12  1.034654e-10  3.816932e-12  7.308214e-01  0.000000e+00  3.171217e-30  1.095045e-28  3.229993e-20  2.321681e-21  1.000000e+00  
