int_time      x             rho           u             G             T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2*          CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         AR            C2H3O         N2            C2O           C3H2          C3H3          PC3H4         AC3H4         C4H           C4H2          H2C4O         N-C4H3        I-C4H3        C4H4          N-C4H5        I-C4H5        C4H6          C4H612        C5H2          C5H3          C6H           C6H2          C6H3          L-C6H4        C-C6H4        N-C6H5        I-C6H5        L-C6H6        N-C6H7        I-C6H7        C-C6H7        C6H8          A1            A1-           C6H5O         C6H5OH        C5H6          C5H5          C5H5O         C5H4OH        C5H4O         N-A1C2H2      I-A1C2H2      A1C2H3        A1C2H3*       A1C2H         A1C2H*        A1C2H-        A1C2H)2       A2            A2-1          A2-2          NAPHTHYNE     A2C2HA        A2C2HB        A2C2HA*       A2C2HB*       A2C2H2        A2C2H)2       A3-1          A3-4          A3            A3C2H         A3C2H2        A4            P2            P2-           P2-H          A4-           A2R5          A2R5-         sumfracs      
1.000000e+04  0.000000e+00  1.124367e+00  1.000000e+00  1.000000e+00  3.000000e+02  2.781420e-08  9.558175e-27  1.032291e-36  3.367672e-24  9.143625e-36  1.844179e-13  2.305860e-24  8.261109e-25  1.056763e-21  1.627776e-29  2.732513e-24  4.247886e-31  1.199911e-18  1.097848e-14  1.302735e-13  1.431938e-15  7.745280e-25  7.714836e-20  4.734053e-25  1.800979e-28  2.219212e-21  1.242393e-43  2.488164e-14  5.564643e-22  8.000000e-01  8.271769e-18  3.623828e-17  6.080623e-22  1.943117e-18  9.910296e-20  1.761267e-39  3.235756e-23  2.000000e-01  2.855793e-19  2.223255e-17  6.087326e-19  3.181865e-20  4.382503e-19  1.345129e-37  2.619374e-17  1.553005e-20  8.902550e-24  7.402188e-20  1.592640e-17  5.527788e-24  1.789923e-21  1.738705e-17  1.763428e-20  1.420925e-20  5.266876e-20  7.890353e-37  1.122836e-18  2.391396e-23  7.826780e-20  3.111591e-20  2.465349e-27  3.078554e-24  1.220307e-19  2.906453e-39  3.283694e-24  2.330517e-27  1.351935e-19  3.293123e-19  3.306262e-30  2.713118e-25  7.890647e-23  2.289330e-20  1.607201e-20  1.482216e-26  3.351167e-26  4.581762e-24  5.084684e-28  2.058883e-25  4.713046e-21  1.060431e-27  2.064804e-20  4.852026e-28  2.547056e-26  5.453207e-23  9.062340e-22  1.373220e-27  7.843023e-28  1.236869e-22  4.255135e-23  5.131469e-23  5.026152e-31  3.695087e-31  4.898330e-43  4.148858e-31  1.860631e-30  2.500419e-30  1.777130e-23  1.219751e-25  2.637185e-34  1.451568e-23  6.182736e-24  1.837297e-30  6.069672e-33  1.992483e-29  6.690872e-22  7.661008e-27  1.000000e+00  
1.000000e+04  2.600000e-04  1.123977e+00  9.802566e-01  1.116788e+01  3.001040e+02  1.383066e-07  3.541814e-26  1.117669e-35  5.492117e-23  1.004926e-34  2.930524e-12  3.785923e-23  1.365126e-23  1.188720e-20  1.655287e-28  4.102310e-23  6.377333e-30  1.840300e-17  1.688836e-13  2.131290e-12  3.148019e-14  1.759725e-23  1.766805e-18  1.073426e-23  4.083641e-27  5.163648e-20  2.536943e-42  5.130986e-13  1.158223e-20  7.999999e-01  1.911089e-16  8.439157e-16  8.535079e-21  5.086355e-17  2.594145e-18  3.035171e-38  8.508439e-22  2.000000e-01  6.201468e-18  4.992588e-16  1.664329e-17  8.743917e-19  1.204332e-17  4.552542e-36  8.896861e-16  5.513162e-19  3.034260e-22  2.522891e-18  5.446371e-16  1.896474e-22  6.140867e-20  5.983894e-16  6.068978e-19  4.998003e-19  1.857078e-18  2.840869e-35  4.050134e-17  8.641400e-22  3.038810e-18  1.228640e-18  9.588372e-26  1.197328e-22  4.754065e-18  1.134155e-37  1.281362e-22  9.248775e-26  5.283999e-18  1.304747e-17  1.307754e-28  1.097971e-23  3.197133e-21  8.127879e-19  5.693352e-19  5.900590e-25  1.334074e-24  1.821096e-22  2.503405e-26  1.013675e-23  2.322787e-19  5.220951e-26  9.555038e-19  2.242958e-26  1.177434e-24  2.941024e-21  4.894377e-20  7.411295e-26  4.232896e-26  6.670680e-21  2.524021e-21  3.043836e-21  2.979847e-29  2.190700e-29  2.907009e-41  2.799851e-29  1.256128e-28  1.688054e-28  1.200213e-21  8.911327e-24  1.927265e-32  1.060495e-21  3.539024e-22  1.051154e-28  3.476013e-31  1.455242e-27  3.968828e-20  4.541969e-25  1.000000e+00  
1.000000e+04  6.600000e-04  1.123019e+00  8.982094e-01  1.182001e+01  3.003600e+02  9.685951e-07  1.025333e-24  9.848470e-36  1.348335e-21  4.549150e-33  6.874831e-11  9.395734e-22  3.415478e-22  1.971065e-19  2.462603e-27  9.089869e-22  1.431255e-28  4.169867e-16  3.826111e-12  5.165131e-11  1.034536e-12  5.952732e-22  6.032250e-17  3.624523e-22  1.404565e-25  1.787691e-18  9.370954e-40  1.568037e-11  3.314186e-19  7.999992e-01  6.562988e-15  2.916337e-14  1.770080e-19  1.981976e-15  1.010699e-16  1.527217e-36  3.331207e-20  1.999998e-01  1.999428e-16  1.663412e-14  6.776188e-16  3.575346e-17  4.926295e-16  2.310531e-34  4.504905e-14  2.921468e-17  1.545710e-20  1.283268e-16  2.778871e-14  9.727250e-21  3.149464e-18  3.075774e-14  3.119949e-17  2.627605e-17  9.771239e-17  1.535003e-33  2.179456e-15  4.668866e-20  1.760543e-16  7.243655e-17  5.574967e-24  6.975682e-21  2.768129e-16  1.518833e-34  7.497564e-21  5.479209e-24  3.090256e-16  7.717284e-16  1.780327e-26  6.636905e-22  1.934923e-19  4.279068e-17  2.993349e-17  3.527796e-23  7.905611e-23  1.075942e-20  1.846520e-24  7.467221e-22  1.711255e-17  3.853622e-24  6.601630e-17  1.553069e-24  8.154156e-23  2.370900e-19  3.948749e-18  5.994599e-24  3.423572e-24  5.377795e-19  2.237939e-19  2.697871e-19  2.649188e-27  1.947220e-27  7.072335e-38  2.827052e-27  1.271164e-26  1.707733e-26  1.210749e-19  9.728235e-22  2.108922e-30  1.148278e-19  3.025356e-20  9.010354e-27  2.979652e-29  1.583199e-25  3.515809e-18  4.034846e-23  1.000000e+00  
1.000000e+04  9.000000e-04  1.121000e+00  8.479133e-01  1.201831e+01  3.009000e+02  4.191633e-06  1.772717e-23  3.371775e-33  1.866987e-20  1.029135e-30  9.181745e-10  1.312474e-20  4.805616e-21  1.883824e-18  2.131258e-26  1.148799e-20  1.857968e-27  5.383413e-15  4.945518e-11  7.111233e-10  1.910022e-11  1.132476e-20  1.157423e-15  6.883010e-21  2.694165e-24  3.480335e-17  1.140179e-37  2.706241e-10  5.589538e-18  7.999966e-01  1.268191e-13  5.674395e-13  2.097087e-18  4.332741e-14  2.209281e-15  3.303633e-35  7.315751e-19  1.999992e-01  3.633615e-15  3.122665e-13  1.546469e-14  8.197279e-16  1.129699e-14  6.551131e-33  1.273890e-12  8.636105e-16  4.391976e-19  3.643346e-15  7.914660e-13  2.782371e-19  9.008220e-17  8.820374e-13  8.948014e-16  7.701679e-16  2.868508e-15  4.628074e-32  6.542425e-14  1.405699e-18  5.684402e-15  2.378872e-15  1.804900e-22  2.260824e-19  8.975706e-15  6.670386e-32  2.439255e-19  1.808303e-22  1.005863e-14  2.542797e-14  1.037129e-24  2.233893e-20  6.520573e-18  1.260487e-15  8.802272e-16  1.171690e-21  2.613226e-21  3.548254e-19  7.558166e-23  3.054400e-20  7.003424e-16  1.577952e-22  2.536626e-15  5.971635e-23  3.135499e-21  1.060890e-17  1.768831e-16  2.688065e-22  1.535115e-22  2.406406e-17  1.100569e-17  1.326478e-17  1.304375e-25  9.586335e-26  5.607341e-35  1.581050e-25  7.118842e-25  9.562257e-25  6.770237e-18  5.882723e-20  1.277117e-28  6.912666e-18  1.435504e-18  4.280565e-25  1.416227e-27  9.554042e-24  1.728131e-16  1.985770e-21  1.000000e+00  
1.000000e+04  1.200000e-03  1.113581e+00  7.868701e-01  1.271978e+01  3.029000e+02  2.063137e-05  3.904041e-22  1.250526e-30  2.995561e-19  2.183996e-28  1.423600e-08  2.123349e-19  7.829807e-20  2.080992e-17  2.140871e-25  1.685068e-19  3.006112e-26  8.067640e-14  7.424025e-10  1.137188e-08  4.102414e-10  2.507957e-19  2.584837e-14  1.521577e-19  5.999425e-23  7.889926e-16  1.898290e-35  5.437083e-09  1.115343e-16  7.999834e-01  2.854439e-12  1.286457e-11  2.880334e-17  1.103978e-12  5.628889e-14  7.479225e-34  1.872633e-17  1.999959e-01  7.689125e-14  6.828471e-12  4.115705e-13  2.191986e-14  3.021330e-13  2.185051e-31  4.205842e-11  2.980889e-14  1.456491e-17  1.207530e-13  2.631701e-11  9.288780e-18  3.007217e-15  2.952643e-11  2.995643e-14  2.635158e-14  9.832675e-14  1.641540e-30  2.293574e-12  4.941021e-17  2.144134e-13  9.126091e-14  6.824589e-21  8.555161e-18  3.399258e-13  2.633117e-29  9.264425e-18  6.971929e-21  3.823392e-13  9.787676e-13  6.382918e-23  8.784100e-19  2.567136e-16  4.339732e-14  3.024849e-14  4.542198e-20  1.009580e-19  1.367886e-17  3.615969e-21  1.460571e-18  3.351180e-14  7.551247e-21  1.139510e-13  2.683109e-21  1.408847e-19  5.552017e-16  9.267837e-15  1.409198e-20  8.047441e-21  1.259369e-15  6.332559e-16  7.631215e-16  7.510620e-24  5.519330e-24  4.830964e-32  1.034789e-23  4.664351e-23  6.264628e-23  4.431587e-16  4.164846e-18  9.051988e-27  4.878054e-16  7.969619e-17  2.378230e-23  7.873345e-26  6.753270e-22  9.939819e-15  1.143046e-19  1.000000e+00  
1.000000e+04  1.550000e-03  1.091334e+00  7.194229e-01  1.319991e+01  3.090500e+02  1.070412e-04  1.236507e-20  4.594150e-28  5.129533e-18  7.543593e-26  2.334872e-07  3.671355e-18  1.364314e-18  2.440066e-16  2.448718e-24  2.618717e-18  6.252146e-25  1.281329e-12  1.179786e-08  1.929522e-07  9.360564e-09  5.885496e-18  6.120115e-13  3.565581e-18  1.425766e-21  1.894904e-14  3.819088e-33  1.156872e-07  2.353346e-15  7.999133e-01  6.808544e-11  3.088898e-10  4.194242e-16  2.979669e-11  1.519076e-12  2.190476e-32  5.078108e-16  1.999791e-01  1.724085e-12  1.581506e-10  1.160962e-11  6.210857e-13  8.563394e-12  8.674131e-30  1.470975e-09  1.090484e-12  5.121715e-16  4.241406e-12  9.273042e-10  3.288628e-16  1.064604e-13  1.047795e-09  1.063267e-12  9.559178e-13  3.571439e-12  6.870856e-29  8.518462e-11  1.841555e-15  8.566389e-12  3.708412e-12  2.735225e-19  3.434111e-16  1.364458e-11  2.031902e-26  3.733916e-16  2.847243e-19  1.541014e-11  3.990510e-11  6.132128e-21  3.659531e-17  1.070811e-14  1.579366e-12  1.099153e-12  1.869532e-18  4.127061e-18  5.576595e-16  1.834228e-19  7.401419e-17  1.698763e-12  3.832371e-19  5.421011e-12  1.278267e-19  6.712158e-18  3.076559e-14  5.140537e-13  7.830549e-19  4.471404e-19  6.978677e-14  3.858019e-14  4.647682e-14  4.584746e-22  3.368559e-22  4.687079e-29  7.170981e-22  3.238255e-21  4.348323e-21  3.069342e-14  3.119822e-16  6.794414e-25  3.629562e-14  4.683594e-15  1.400417e-21  4.637501e-24  5.043662e-20  6.051095e-13  6.972961e-18  1.000000e+00  
1.000000e+04  1.900000e-03  1.035801e+00  6.685317e-01  1.437675e+01  3.255000e+02  4.996640e-04  8.081508e-19  1.198366e-25  7.676345e-17  1.989695e-23  3.341465e-06  5.542538e-17  2.074941e-17  2.520448e-15  3.367726e-23  3.568051e-17  1.742327e-23  1.783399e-11  1.643951e-07  2.869884e-06  1.859743e-07  1.200590e-16  1.259245e-11  7.267199e-17  2.934551e-20  3.956339e-13  7.845670e-31  2.148694e-06  4.383855e-14  7.995844e-01  1.415207e-09  6.464985e-09  5.355437e-15  6.989529e-10  3.563035e-11  4.927644e-31  1.196737e-14  1.999071e-01  3.370566e-11  3.195196e-09  2.850696e-10  1.532085e-11  2.112910e-10  4.555762e-28  4.468854e-08  3.463932e-11  1.563662e-14  1.293796e-10  2.837720e-08  1.010657e-14  3.271949e-12  3.228565e-08  3.276819e-11  3.010245e-11  1.126471e-10  3.453232e-27  2.747275e-09  5.957388e-14  2.969543e-10  1.306752e-10  9.508417e-18  1.195139e-14  4.750553e-10  1.117844e-23  1.304490e-14  1.008350e-17  5.386056e-10  1.410886e-09  5.063621e-19  1.321920e-15  3.872826e-13  4.997187e-11  3.471866e-11  6.664994e-17  1.463844e-16  1.973182e-14  8.058729e-18  3.248798e-15  7.460367e-11  1.684084e-17  2.235043e-10  5.274499e-18  2.769586e-16  1.476054e-12  2.468944e-11  3.765418e-17  2.149972e-17  3.348197e-12  2.034360e-12  2.450108e-12  2.420862e-20  1.778453e-20  2.767197e-26  4.299642e-20  1.944477e-19  2.610627e-19  1.839928e-12  2.021676e-14  4.409995e-23  2.339869e-12  2.382832e-13  7.134436e-20  2.363692e-22  3.260503e-18  3.188897e-11  3.679942e-16  1.000000e+00  
1.000000e+04  2.300000e-03  9.247362e-01  6.290010e-01  1.528891e+01  3.640000e+02  2.239814e-03  1.025645e-16  2.439827e-23  1.087867e-15  8.826244e-21  4.445831e-05  7.903538e-16  2.981473e-16  2.469380e-14  1.778385e-21  4.590036e-16  8.900806e-22  2.334851e-10  2.152677e-06  4.022614e-05  3.453371e-06  2.274925e-15  2.406393e-10  1.377316e-15  5.569791e-19  7.671579e-12  1.112948e-27  3.731754e-05  7.763506e-13  7.979756e-01  2.744525e-08  1.262102e-07  6.449269e-14  1.522559e-08  7.760595e-10  1.092061e-29  2.619156e-13  1.996535e-01  6.154528e-10  6.033052e-08  6.525849e-09  3.522865e-10  4.859929e-09  1.230512e-25  1.260586e-06  1.021780e-09  4.434866e-13  3.665102e-09  8.064339e-07  2.878645e-13  9.341330e-11  9.239585e-07  9.379702e-10  8.803292e-10  3.298952e-09  5.385110e-25  8.224996e-08  1.789700e-12  9.545495e-09  4.267110e-09  3.066422e-16  3.859427e-13  1.534174e-08  6.916961e-21  4.229418e-13  3.308899e-16  1.746456e-08  4.622700e-08  6.618339e-17  4.425647e-14  1.298205e-11  1.466444e-09  1.017265e-09  2.200328e-15  4.803078e-15  6.465713e-13  3.284087e-16  1.319306e-13  3.030673e-09  6.849026e-16  8.524170e-09  2.014820e-16  1.057773e-14  6.544504e-11  1.095747e-09  1.674228e-15  9.557930e-16  1.484511e-10  9.906738e-11  1.192695e-10  1.181477e-18  8.680570e-19  9.872268e-24  2.379553e-18  1.078193e-17  1.447157e-17  1.017725e-10  1.208287e-12  2.641175e-21  1.388789e-10  1.119691e-11  3.358983e-18  1.113176e-20  1.942582e-16  1.551656e-09  1.794209e-14  1.000000e+00  
1.000000e+04  2.800000e-03  6.894225e-01  6.562349e-01  1.793556e+01  4.850500e+02  9.142902e-03  1.982013e-14  2.739693e-21  1.415176e-14  1.153383e-17  4.980214e-04  9.823162e-15  3.730234e-15  2.139628e-13  3.959973e-19  5.541410e-15  1.847719e-19  2.674770e-09  2.447110e-05  4.926226e-04  5.471736e-05  3.641737e-14  3.859249e-09  2.200256e-14  8.062159e-18  1.249127e-10  2.920785e-23  5.556511e-04  1.315441e-11  7.897079e-01  4.537103e-07  2.100476e-06  6.985664e-13  2.788193e-07  1.421000e-08  1.951942e-28  4.818692e-12  1.994427e-01  9.603768e-09  9.755875e-07  1.272289e-07  6.894140e-09  9.513591e-08  2.877292e-22  2.995902e-05  2.538551e-08  1.062453e-11  8.746904e-08  1.930709e-05  6.744955e-12  2.246506e-09  2.227421e-05  2.260742e-08  2.168108e-08  8.137206e-08  3.641846e-22  2.073645e-06  4.527250e-11  2.574921e-07  1.165586e-07  8.216092e-15  1.045686e-11  4.157449e-07  2.167498e-18  1.150443e-11  9.057357e-15  4.751520e-07  1.266944e-06  1.484821e-14  1.239326e-12  3.639979e-10  3.625383e-08  2.510972e-08  5.821039e-14  1.276961e-13  1.772745e-11  1.151904e-14  4.462499e-12  1.025511e-07  2.322027e-14  2.709673e-07  6.440550e-15  3.373041e-13  2.409778e-09  4.038745e-08  6.194442e-14  3.530356e-14  5.466090e-09  3.998648e-09  4.812277e-09  4.802922e-17  3.546151e-17  9.460323e-22  1.089530e-16  4.956363e-16  6.640317e-16  4.657446e-09  5.968799e-11  1.306705e-19  6.814242e-09  4.363528e-10  1.312311e-16  4.304513e-19  9.570313e-15  6.257970e-08  7.250542e-13  1.000000e+00  
1.000000e+04  3.450000e-03  4.465154e-01  6.118168e-01  2.211821e+01  7.336500e+02  3.064472e-02  4.107793e-11  2.620502e-19  2.593536e-13  5.604892e-14  4.021600e-03  9.477081e-14  3.551027e-14  1.444631e-12  6.897222e-16  1.636776e-13  8.142013e-17  2.751158e-08  2.101890e-04  4.592063e-03  6.372017e-04  5.342307e-13  4.428448e-08  2.531567e-13  6.456041e-17  1.455958e-09  7.632818e-18  6.118082e-03  5.050061e-10  7.463661e-01  5.489295e-06  2.559958e-05  1.222938e-11  3.654744e-06  1.862373e-07  2.574218e-27  6.345260e-11  2.060288e-01  1.102396e-07  1.164089e-05  1.834194e-06  9.842897e-08  1.358781e-06  6.901845e-18  5.106440e-04  4.520586e-07  2.373256e-10  1.497541e-06  3.315226e-04  1.234410e-10  3.878794e-08  3.851368e-04  3.891675e-07  3.827543e-07  1.438536e-06  1.846436e-18  3.744812e-05  8.296808e-10  4.942397e-06  2.255497e-06  2.254034e-14  2.020963e-10  8.018542e-06  2.091757e-16  2.235127e-10  1.677050e-13  9.201750e-06  2.458302e-05  3.099019e-12  2.458285e-11  7.229389e-09  6.416512e-07  4.437962e-07  1.020730e-12  2.290660e-12  3.441219e-10  7.319859e-13  1.065283e-10  2.436778e-06  6.175416e-13  6.056000e-06  1.998929e-13  8.191378e-12  6.189713e-08  1.038322e-06  2.019278e-12  9.749370e-13  1.403962e-07  1.120644e-07  1.347996e-07  2.070524e-15  1.839434e-15  3.326107e-19  3.460660e-15  1.942792e-14  2.313423e-14  1.472593e-07  2.030646e-09  2.858530e-18  2.298117e-07  1.182175e-08  3.882148e-15  3.205532e-18  3.417930e-13  1.752011e-06  2.070910e-11  1.000000e+00  
