int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  0.000000e+00  8.993686e-02  1.000000e+00  1.000000e+00  3.000000e+02  9.897379e-01  3.310600e-10  3.926462e-03  5.163637e-10  5.890036e-15  1.302112e-14  2.503447e-12  1.104586e-13  6.335639e-03  1.000000e+00  
1.000000e+04  2.600000e-04  1.014489e-01  7.294510e-01  1.374976e+00  3.000001e+02  9.768918e-01  7.361137e-10  8.608884e-03  8.893298e-10  1.216341e-14  2.691727e-14  5.568055e-12  2.457451e-13  1.449929e-02  1.000000e+00  
1.000000e+04  6.600000e-04  1.300418e-01  3.798584e-01  2.110684e+00  3.000155e+02  9.450797e-01  1.718720e-09  1.997777e-02  1.169369e-08  1.363099e-13  4.951140e-12  1.297854e-11  5.740752e-13  3.494253e-02  1.000000e+00  
1.000000e+04  9.000000e-04  1.533279e-01  2.253692e-01  3.070290e+00  3.178817e+02  9.092020e-01  2.790082e-09  3.238848e-02  6.780644e-07  6.144237e-12  3.874687e-10  2.070522e-11  9.333210e-13  5.840884e-02  1.000000e+00  
1.000000e+04  1.200000e-03  8.811142e-02  1.811819e-01  4.076074e+00  6.868525e+02  8.655390e-01  3.554823e-09  4.687298e-02  4.049737e-04  8.637616e-10  2.694549e-08  9.748282e-12  1.352182e-12  8.718302e-02  1.000000e+00  
1.000000e+04  1.550000e-03  2.889931e-02  -1.936029e-01  4.294925e+00  2.321197e+03  8.398464e-01  4.779331e-09  5.476491e-02  2.006642e-03  3.528526e-08  2.167579e-05  9.360828e-12  1.665681e-12  1.033603e-01  1.000000e+00  
1.000000e+04  1.900000e-03  3.203037e-02  -8.451939e-01  4.062062e+00  2.372381e+03  8.051619e-01  1.188886e-08  6.558921e-02  3.950933e-03  1.883753e-07  5.702357e-05  3.181640e-11  8.854327e-12  1.252407e-01  1.000000e+00  
1.000000e+04  2.300000e-03  3.678694e-02  -1.403185e+00  3.481513e+00  2.393317e+03  7.585961e-01  4.164070e-08  8.035702e-02  6.172347e-03  6.490400e-07  1.189713e-04  9.644834e-11  3.482351e-11  1.547549e-01  1.000000e+00  
1.000000e+04  2.800000e-03  4.416281e-02  -1.863502e+00  2.677009e+00  2.405532e+03  6.887245e-01  1.723762e-07  1.028255e-01  9.053327e-03  2.195808e-06  2.497380e-04  3.100766e-10  1.444749e-10  1.991445e-01  1.000000e+00  
1.000000e+04  3.450000e-03  5.605419e-02  -2.179462e+00  1.938589e+00  2.415101e+03  5.772848e-01  1.061814e-06  1.390132e-01  1.307405e-02  8.902620e-06  5.886520e-04  1.296966e-09  7.653539e-10  2.700293e-01  1.000000e+00  
1.000000e+04  4.100000e-03  7.110304e-02  -2.278851e+00  1.572280e+00  2.413571e+03  4.389103e-01  8.184391e-06  1.838830e-01  1.777125e-02  3.761829e-05  1.389567e-03  5.937296e-09  4.270626e-09  3.580001e-01  1.000000e+00  
1.000000e+04  4.700000e-03  8.819842e-02  -2.254456e+00  1.389082e+00  2.390896e+03  2.888546e-01  8.539458e-05  2.314116e-01  2.291061e-02  1.782103e-04  3.331484e-03  3.307496e-08  2.692730e-08  4.532281e-01  1.000000e+00  
1.000000e+04  5.300000e-03  1.094534e-01  -2.153076e+00  1.261492e+00  2.308552e+03  1.311755e-01  1.677050e-03  2.744481e-01  2.731772e-02  1.353002e-03  9.355157e-03  3.716310e-07  2.989408e-07  5.546728e-01  1.000000e+00  
1.000000e+04  5.950000e-03  1.492589e-01  -1.846353e+00  1.154126e+00  1.978724e+03  2.048132e-02  3.946242e-02  2.494245e-01  1.255847e-02  6.970964e-03  1.503012e-02  6.566122e-06  3.621616e-06  6.560620e-01  1.000000e+00  
1.000000e+04  6.450000e-03  3.173196e-01  -9.655862e-01  1.081241e+00  1.019254e+03  5.685800e-03  1.283059e-01  1.440156e-01  9.727227e-04  7.860481e-04  9.663681e-04  7.496619e-05  6.297240e-05  7.191295e-01  1.000000e+00  
1.000000e+04  6.750000e-03  9.542254e-01  -3.407332e-01  1.039249e+00  3.517953e+02  4.179984e-03  1.739536e-01  6.913676e-02  1.177928e-06  2.090151e-08  1.619926e-05  1.424672e-04  6.260040e-04  7.519438e-01  1.000000e+00  
