int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  0.000000e+00  9.004385e-02  1.000000e+00  3.584020e+00  3.000000e+02  9.895980e-01  1.385813e-10  4.022656e-03  2.290439e-07  2.329976e-14  5.902689e-15  9.998190e-13  1.204361e-12  6.379101e-03  1.000000e+00  
1.000000e+04  2.600000e-04  8.332593e-02  9.094018e-01  4.229890e+00  3.634946e+02  9.774044e-01  2.974327e-10  8.490560e-03  3.823166e-07  4.648406e-14  1.178813e-14  2.146510e-12  2.586360e-12  1.410466e-02  1.000000e+00  
1.000000e+04  6.600000e-04  6.724708e-02  7.924792e-01  6.121293e+00  5.456778e+02  9.536472e-01  6.017548e-10  1.689531e-02  3.420087e-05  1.230025e-13  3.569740e-12  2.997896e-12  5.220562e-12  2.942329e-02  1.000000e+00  
1.000000e+04  9.000000e-04  5.827287e-02  6.796601e-01  7.592280e+00  7.185385e+02  9.344031e-01  8.597300e-10  2.335797e-02  2.313332e-04  1.336488e-12  6.716437e-10  1.895095e-12  7.314040e-12  4.200761e-02  1.000000e+00  
1.000000e+04  1.200000e-03  5.110081e-02  4.374683e-01  9.017722e+00  9.552459e+02  9.084071e-01  1.256950e-09  3.189646e-02  7.211706e-04  4.386258e-11  3.927157e-08  1.210718e-12  1.045832e-11  5.897525e-02  1.000000e+00  
1.000000e+04  1.550000e-03  4.705706e-02  4.771996e-02  9.394305e+00  1.225867e+03  8.749253e-01  2.018239e-09  4.274186e-02  1.623067e-03  1.378170e-09  7.261331e-07  1.030897e-12  1.841912e-11  8.070908e-02  1.000000e+00  
1.000000e+04  1.900000e-03  4.600714e-02  -3.829778e-01  8.526385e+00  1.468313e+03  8.376024e-01  3.672723e-09  5.482479e-02  2.698749e-03  1.287681e-08  4.522688e-06  1.262524e-12  3.543364e-11  1.048695e-01  1.000000e+00  
1.000000e+04  2.300000e-03  4.713243e-02  -8.453859e-01  6.814845e+00  1.701484e+03  7.896704e-01  1.057543e-08  7.039244e-02  4.149460e-03  8.083525e-08  1.917885e-05  2.800671e-12  6.876743e-11  1.357684e-01  1.000000e+00  
1.000000e+04  2.800000e-03  5.096124e-02  -1.312847e+00  4.805538e+00  1.929054e+03  7.208827e-01  4.550404e-08  9.283325e-02  6.277537e-03  4.569698e-07  7.036475e-05  1.378119e-11  1.583933e-10  1.799357e-01  1.000000e+00  
1.000000e+04  3.450000e-03  5.900919e-02  -1.715559e+00  3.188245e+00  2.136023e+03  6.152420e-01  3.330857e-07  1.273595e-01  9.717318e-03  2.834087e-06  2.536863e-04  1.598771e-10  5.657450e-10  2.474244e-01  1.000000e+00  
1.000000e+04  4.100000e-03  7.014075e-02  -1.925758e+00  2.453430e+00  2.272277e+03  4.878638e-01  2.783424e-06  1.687885e-01  1.416255e-02  1.513083e-05  7.587070e-04  1.527110e-09  2.457212e-09  3.284085e-01  1.000000e+00  
1.000000e+04  4.700000e-03  8.300363e-02  -2.002576e+00  2.107653e+00  2.349321e+03  3.513332e-01  2.496692e-05  2.124752e-01  1.921893e-02  7.411617e-05  1.998941e-03  1.126861e-08  1.173408e-08  4.148746e-01  1.000000e+00  
