time          Z             SDR           rho           T             Radiation     H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+03  0.000000e+00  0.000000e+00  1.156631e+00  3.000000e+02  0.000000e+00  1.815539e-10  2.100000e-01  1.462785e-10  3.645713e-08  9.399911e-11  1.955001e-10  1.622262e-11  3.126848e-13  7.900000e-01  1.000000e+00  
1.000000e+03  5.000000e-03  1.672723e-01  5.098301e-01  6.602697e+02  3.377381e+04  2.737767e-06  1.679917e-01  6.941007e-02  3.718190e-08  2.726071e-06  1.944019e-05  1.128515e-06  9.773216e-08  7.625721e-01  1.000000e+00  
1.000000e+03  1.050000e-02  6.187660e-01  3.084818e-01  1.056517e+03  1.958501e+05  5.626728e-06  1.245863e-01  1.411186e-01  1.808324e-07  5.647812e-06  5.129787e-05  1.112779e-06  1.485652e-07  7.342311e-01  1.000000e+00  
1.000000e+03  1.150000e-02  7.248859e-01  2.871220e-01  1.128580e+03  2.440114e+05  7.039099e-06  1.169849e-01  1.536590e-01  2.671227e-07  6.825417e-06  7.367659e-05  1.019742e-06  1.639107e-07  7.292671e-01  1.000000e+00  
1.000000e+03  1.250000e-02  8.376776e-01  2.683345e-01  1.200680e+03  2.983879e+05  9.962437e-06  1.094652e-01  1.660444e-01  4.782776e-07  9.679479e-06  1.136036e-04  1.009465e-06  1.900030e-07  7.243555e-01  1.000000e+00  
1.000000e+03  1.350000e-02  9.569091e-01  2.516840e-01  1.272809e+03  3.590126e+05  1.568550e-05  1.020242e-01  1.782715e-01  9.372262e-07  1.490570e-05  1.781581e-04  1.071279e-06  2.272208e-07  7.194934e-01  1.000000e+00  
1.000000e+03  1.450000e-02  1.082367e+00  2.368337e-01  1.344925e+03  4.258144e+05  2.687844e-05  9.465755e-02  1.903322e-01  1.949857e-06  2.410241e-05  2.799487e-04  1.199510e-06  2.747495e-07  7.146759e-01  1.000000e+00  
1.000000e+03  1.550000e-02  1.213855e+00  2.235231e-01  1.416919e+03  4.985716e+05  4.931670e-05  8.735942e-02  2.022095e-01  4.306687e-06  4.061026e-05  4.400650e-04  1.412903e-06  3.344614e-07  7.098950e-01  1.000000e+00  
1.000000e+03  1.650000e-02  1.351189e+00  2.115570e-01  1.488538e+03  5.768091e+05  9.620306e-05  8.012201e-02  2.138684e-01  1.019555e-05  7.143029e-05  6.939804e-04  1.753566e-06  4.147908e-07  7.051356e-01  1.000000e+00  
1.000000e+03  1.750000e-02  1.494197e+00  2.008066e-01  1.559208e+03  6.595511e+05  1.996075e-04  7.293655e-02  2.252340e-01  2.620882e-05  1.318885e-04  1.102252e-03  2.294486e-06  5.344254e-07  7.003667e-01  1.000000e+00  
1.000000e+03  1.850000e-02  1.642718e+00  1.912360e-01  1.627561e+03  7.446784e+05  4.430399e-04  6.580032e-02  2.361346e-01  7.425875e-05  2.573403e-04  1.768659e-03  3.152497e-06  7.298771e-07  6.955179e-01  1.000000e+00  
1.000000e+03  1.950000e-02  1.796601e+00  1.829953e-01  1.690080e+03  8.270593e+05  1.066799e-03  5.875759e-02  2.461362e-01  2.361453e-04  5.315431e-04  2.858245e-03  4.495659e-06  1.069817e-06  6.904079e-01  1.000000e+00  
