time          x             rho           u             mdot          T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
1.000000e+004  0.000000e+000  3.117691e-002  1.485074e+000  4.630000e-002  3.737000e+002  2.669684e-001  9.112750e-002  1.146816e-003  3.085149e-004  2.027929e-008  3.391431e-005  1.712982e-005  6.854042e-007  6.403970e-001  1.000000e+000  
1.000000e+004  5.000000e-005  3.081831e-002  1.502354e+000  4.630000e-002  3.781320e+002  2.667573e-001  9.112446e-002  1.211670e-003  3.121050e-004  2.112843e-008  3.536242e-005  1.827091e-005  7.314032e-007  6.405401e-001  1.000000e+000  
1.000000e+004  1.250000e-004  3.029572e-002  1.528268e+000  4.630000e-002  3.847800e+002  2.664254e-001  9.111905e-002  1.311838e-003  3.352311e-004  2.835375e-008  3.754616e-005  1.924462e-005  7.913002e-007  6.407509e-001  1.000000e+000  
1.000000e+004  1.750000e-004  2.995724e-002  1.545536e+000  4.630000e-002  3.892120e+002  2.661971e-001  9.111388e-002  1.382804e-003  3.557605e-004  3.524322e-008  3.905424e-005  1.972814e-005  8.304705e-007  6.408909e-001  1.000000e+000  
1.000000e+004  2.250000e-004  2.962635e-002  1.562798e+000  4.630000e-002  3.936440e+002  2.659634e-001  9.110771e-002  1.456413e-003  3.809666e-004  4.432485e-008  4.058366e-005  2.004896e-005  8.676563e-007  6.410300e-001  1.000000e+000  
1.000000e+004  2.750000e-004  2.930280e-002  1.580054e+000  4.630000e-002  3.980760e+002  2.657246e-001  9.110053e-002  1.532705e-003  4.105932e-004  5.599176e-008  4.212825e-005  2.022587e-005  9.028147e-007  6.411683e-001  1.000000e+000  
1.000000e+004  3.250000e-004  2.898635e-002  1.597303e+000  4.630000e-002  4.025080e+002  2.654807e-001  9.109230e-002  1.611721e-003  4.444692e-004  7.079432e-008  4.368046e-005  2.027581e-005  9.359242e-007  6.413059e-001  1.000000e+000  
1.000000e+004  3.750000e-004  2.867677e-002  1.614547e+000  4.630000e-002  4.069400e+002  2.652318e-001  9.108300e-002  1.693510e-003  4.824816e-004  8.943872e-008  4.523159e-005  2.021447e-005  9.669827e-007  6.414427e-001  1.000000e+000  
1.000000e+004  4.250000e-004  2.837384e-002  1.631785e+000  4.630000e-002  4.113720e+002  2.649780e-001  9.107259e-002  1.778116e-003  5.245577e-004  1.127995e-007  4.677223e-005  2.005657e-005  9.960047e-007  6.415788e-001  1.000000e+000  
1.000000e+004  4.750000e-004  2.807735e-002  1.649016e+000  4.630000e-002  4.158040e+002  2.647192e-001  9.106104e-002  1.865589e-003  5.706527e-004  1.419404e-007  4.829249e-005  1.981602e-005  1.023019e-006  6.417142e-001  1.000000e+000  
1.000000e+004  5.250000e-004  2.778709e-002  1.666241e+000  4.630000e-002  4.202360e+002  2.644555e-001  9.104834e-002  1.955973e-003  6.207411e-004  1.781388e-007  4.978233e-005  1.950601e-005  1.048066e-006  6.418489e-001  1.000000e+000  
1.000000e+004  5.750000e-004  2.750287e-002  1.683461e+000  4.630000e-002  4.246680e+002  2.641869e-001  9.103443e-002  2.049315e-003  6.748064e-004  2.229148e-007  5.123179e-005  1.913893e-005  1.071197e-006  6.419829e-001  1.000000e+000  
1.000000e+004  6.100000e-004  2.730740e-002  1.695511e+000  4.630000e-002  4.277704e+002  2.639952e-001  9.102384e-002  2.116852e-003  7.154741e-004  2.615624e-007  5.221255e-005  1.884984e-005  1.086103e-006  6.420762e-001  1.000000e+000  
1.000000e+004  6.300000e-004  2.719698e-002  1.702395e+000  4.630000e-002  4.295432e+002  2.638844e-001  9.101736e-002  2.156465e-003  7.393948e-004  2.858079e-007  5.276968e-005  1.867560e-005  1.094469e-006  6.421295e-001  1.000000e+000  
1.000000e+004  6.600000e-004  2.703303e-002  1.712719e+000  4.630000e-002  4.322024e+002  2.637172e-001  9.100734e-002  2.216591e-003  7.762021e-004  3.252779e-007  5.359034e-005  1.840601e-005  1.106577e-006  6.422092e-001  1.000000e+000  
1.000000e+004  6.900000e-004  2.687108e-002  1.723042e+000  4.630000e-002  4.348616e+002  2.635479e-001  9.099692e-002  2.277746e-003  8.148936e-004  3.714119e-007  5.437503e-005  1.812544e-005  1.117721e-006  6.422885e-001  1.000000e+000  
1.000000e+004  7.100000e-004  2.676421e-002  1.729922e+000  4.630000e-002  4.366344e+002  2.634340e-001  9.098960e-002  2.319393e-003  8.413575e-004  4.049680e-007  5.489055e-005  1.793253e-005  1.124956e-006  6.423413e-001  1.000000e+000  
1.000000e+004  7.300000e-004  2.665819e-002  1.736802e+000  4.630000e-002  4.384072e+002  2.633193e-001  9.098207e-002  2.361559e-003  8.684572e-004  4.413099e-007  5.539446e-005  1.773636e-005  1.131920e-006  6.423939e-001  1.000000e+000  
1.000000e+004  7.500000e-004  2.655303e-002  1.743681e+000  4.630000e-002  4.401800e+002  2.632037e-001  9.097432e-002  2.404249e-003  8.961926e-004  4.806415e-007  5.588632e-005  1.753745e-005  1.138618e-006  6.424464e-001  1.000000e+000  
1.000000e+004  7.700000e-004  2.644871e-002  1.750558e+000  4.630000e-002  4.419528e+002  2.630874e-001  9.096635e-002  2.447465e-003  9.245636e-004  5.231784e-007  5.636572e-005  1.733630e-005  1.145055e-006  6.424988e-001  1.000000e+000  
1.000000e+004  7.900000e-004  2.634521e-002  1.757435e+000  4.630000e-002  4.437256e+002  2.629703e-001  9.095815e-002  2.491212e-003  9.535701e-004  5.691492e-007  5.683227e-005  1.713335e-005  1.151235e-006  6.425511e-001  1.000000e+000  
1.000000e+004  8.100000e-004  2.624254e-002  1.764311e+000  4.630000e-002  4.454984e+002  2.628524e-001  9.094973e-002  2.535492e-003  9.832117e-004  6.187955e-007  5.728561e-005  1.692905e-005  1.157163e-006  6.426032e-001  1.000000e+000  
1.000000e+004  8.300000e-004  2.614068e-002  1.771186e+000  4.630000e-002  4.472712e+002  2.627336e-001  9.094109e-002  2.580310e-003  1.013488e-003  6.723725e-007  5.772539e-005  1.672379e-005  1.162845e-006  6.426552e-001  1.000000e+000  
1.000000e+004  8.500000e-004  2.603961e-002  1.778060e+000  4.630000e-002  4.490440e+002  2.626141e-001  9.093221e-002  2.625667e-003  1.044399e-003  7.301499e-007  5.815129e-005  1.651796e-005  1.168284e-006  6.427070e-001  1.000000e+000  
1.000000e+004  8.700000e-004  2.593934e-002  1.784933e+000  4.630000e-002  4.508168e+002  2.624938e-001  9.092310e-002  2.671564e-003  1.075943e-003  7.924119e-007  5.856301e-005  1.631191e-005  1.173485e-006  6.427588e-001  1.000000e+000  
1.000000e+004  8.900000e-004  2.583985e-002  1.791806e+000  4.630000e-002  4.525896e+002  2.623726e-001  9.091376e-002  2.718007e-003  1.108121e-003  8.594578e-007  5.896027e-005  1.610596e-005  1.178454e-006  6.428104e-001  1.000000e+000  
