time          x             rho           u             mdot          T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
1.000000e+004  0.000000e+000  3.106256e-002  1.490540e+000  4.630000e-002  3.737000e+002  2.702994e-001  9.094970e-002  5.905078e-004  1.601390e-004  9.377095e-009  1.797477e-005  1.531271e-005  5.034341e-007  6.379665e-001  1.000000e+000  
1.000000e+004  5.000000e-005  3.085708e-002  1.500466e+000  4.630000e-002  3.762541e+002  2.701436e-001  9.095354e-002  6.239930e-004  1.620033e-004  9.770506e-009  1.874378e-005  1.633497e-005  5.372941e-007  6.380812e-001  1.000000e+000  
1.000000e+004  1.250000e-004  3.055732e-002  1.515185e+000  4.630000e-002  3.800443e+002  2.699037e-001  9.095903e-002  6.760098e-004  1.701279e-004  1.164474e-008  1.996323e-005  1.744436e-005  5.849469e-007  6.382532e-001  1.000000e+000  
1.000000e+004  1.750000e-004  3.035494e-002  1.525287e+000  4.630000e-002  3.826453e+002  2.697395e-001  9.096196e-002  7.130882e-004  1.772388e-004  1.332919e-008  2.082868e-005  1.810187e-005  6.174464e-007  6.383687e-001  1.000000e+000  
1.000000e+004  2.250000e-004  3.015260e-002  1.535523e+000  4.630000e-002  3.852811e+002  2.695722e-001  9.096442e-002  7.517413e-004  1.859674e-004  1.543578e-008  2.173039e-005  1.866188e-005  6.496021e-007  6.384846e-001  1.000000e+000  
1.000000e+004  2.750000e-004  2.995022e-002  1.545899e+000  4.630000e-002  3.879532e+002  2.694020e-001  9.096639e-002  7.920164e-004  1.962843e-004  1.800312e-008  2.266718e-005  1.913010e-005  6.813042e-007  6.386009e-001  1.000000e+000  
1.000000e+004  3.250000e-004  2.974778e-002  1.556419e+000  4.630000e-002  3.906627e+002  2.692286e-001  9.096785e-002  8.339610e-004  2.081781e-004  2.109265e-008  2.363736e-005  1.951164e-005  7.124525e-007  6.387175e-001  1.000000e+000  
1.000000e+004  3.750000e-004  2.954529e-002  1.567085e+000  4.630000e-002  3.934104e+002  2.690523e-001  9.096876e-002  8.776194e-004  2.216513e-004  2.478705e-008  2.463868e-005  1.981119e-005  7.429570e-007  6.388345e-001  1.000000e+000  
1.000000e+004  4.250000e-004  2.934279e-002  1.577901e+000  4.630000e-002  3.961964e+002  2.688729e-001  9.096910e-002  9.230339e-004  2.367177e-004  2.919084e-008  2.566838e-005  2.003324e-005  7.727380e-007  6.389518e-001  1.000000e+000  
1.000000e+004  4.750000e-004  2.914031e-002  1.588864e+000  4.630000e-002  3.990211e+002  2.686904e-001  9.096885e-002  9.702491e-004  2.533999e-004  3.443251e-008  2.672321e-005  2.018219e-005  8.017265e-007  6.390694e-001  1.000000e+000  
1.000000e+004  5.250000e-004  2.893793e-002  1.599976e+000  4.630000e-002  4.018842e+002  2.685048e-001  9.096798e-002  1.019310e-003  2.717276e-004  4.066783e-008  2.779946e-005  2.026239e-005  8.298637e-007  6.391873e-001  1.000000e+000  
1.000000e+004  5.750000e-004  2.873572e-002  1.611235e+000  4.630000e-002  4.047854e+002  2.683160e-001  9.096646e-002  1.070263e-003  2.917359e-004  4.808418e-008  2.889305e-005  2.027824e-005  8.571012e-007  6.393054e-001  1.000000e+000  
1.000000e+004  6.100000e-004  2.859395e-002  1.619224e+000  4.630000e-002  4.068441e+002  2.681816e-001  9.096493e-002  1.107322e-003  3.069576e-004  5.426412e-008  2.966819e-005  2.024738e-005  8.755248e-007  6.393884e-001  1.000000e+000  
1.000000e+004  6.300000e-004  2.851237e-002  1.623857e+000  4.630000e-002  4.080379e+002  2.681039e-001  9.096381e-002  1.129130e-003  3.159581e-004  5.809408e-008  3.011766e-005  2.022012e-005  8.860866e-007  6.394359e-001  1.000000e+000  
1.000000e+004  6.600000e-004  2.839032e-002  1.630838e+000  4.630000e-002  4.098369e+002  2.679867e-001  9.096197e-002  1.162314e-003  3.298769e-004  6.425431e-008  3.079350e-005  2.016576e-005  9.016906e-007  6.395072e-001  1.000000e+000  
1.000000e+004  6.900000e-004  2.826883e-002  1.637846e+000  4.630000e-002  4.116433e+002  2.678682e-001  9.095990e-002  1.196186e-003  3.446422e-004  7.129090e-008  3.146727e-005  2.008675e-005  9.166545e-007  6.395785e-001  1.000000e+000  
1.000000e+004  7.100000e-004  2.818752e-002  1.642571e+000  4.630000e-002  4.128610e+002  2.677885e-001  9.095831e-002  1.219320e-003  3.547938e-004  7.635991e-008  3.192014e-005  2.002533e-005  9.265895e-007  6.396261e-001  1.000000e+000  
1.000000e+004  7.300000e-004  2.810628e-002  1.647319e+000  4.630000e-002  4.140847e+002  2.677082e-001  9.095660e-002  1.242796e-003  3.652404e-004  8.179807e-008  3.237312e-005  1.995610e-005  9.363666e-007  6.396738e-001  1.000000e+000  
1.000000e+004  7.500000e-004  2.802513e-002  1.652089e+000  4.630000e-002  4.153141e+002  2.676274e-001  9.095475e-002  1.266615e-003  3.759849e-004  8.763217e-008  3.282589e-005  1.987933e-005  9.459854e-007  6.397215e-001  1.000000e+000  
1.000000e+004  7.700000e-004  2.794407e-002  1.656881e+000  4.630000e-002  4.165494e+002  2.675461e-001  9.095278e-002  1.290781e-003  3.870302e-004  9.389087e-008  3.327815e-005  1.979533e-005  9.554454e-007  6.397692e-001  1.000000e+000  
1.000000e+004  7.900000e-004  2.786311e-002  1.661695e+000  4.630000e-002  4.177904e+002  2.674642e-001  9.095068e-002  1.315297e-003  3.983791e-004  1.006049e-007  3.372961e-005  1.970437e-005  9.647466e-007  6.398169e-001  1.000000e+000  
1.000000e+004  8.100000e-004  2.778226e-002  1.666531e+000  4.630000e-002  4.190371e+002  2.673818e-001  9.094845e-002  1.340166e-003  4.100347e-004  1.078070e-007  3.417996e-005  1.960674e-005  9.738892e-007  6.398647e-001  1.000000e+000  
1.000000e+004  8.300000e-004  2.770152e-002  1.671389e+000  4.630000e-002  4.202894e+002  2.672989e-001  9.094608e-002  1.365392e-003  4.219998e-004  1.155320e-007  3.462891e-005  1.950271e-005  9.828734e-007  6.399124e-001  1.000000e+000  
1.000000e+004  8.500000e-004  2.762089e-002  1.676268e+000  4.630000e-002  4.215473e+002  2.672154e-001  9.094358e-002  1.390977e-003  4.342773e-004  1.238176e-007  3.507616e-005  1.939256e-005  9.916997e-007  6.399602e-001  1.000000e+000  
1.000000e+004  8.700000e-004  2.754038e-002  1.681168e+000  4.630000e-002  4.228108e+002  2.671314e-001  9.094094e-002  1.416925e-003  4.468698e-004  1.327037e-007  3.552145e-005  1.927654e-005  1.000369e-006  6.400080e-001  1.000000e+000  
1.000000e+004  8.900000e-004  2.746000e-002  1.686089e+000  4.630000e-002  4.240797e+002  2.670468e-001  9.093816e-002  1.443239e-003  4.597798e-004  1.422330e-007  3.596449e-005  1.915492e-005  1.008881e-006  6.400558e-001  1.000000e+000  
