x             rho           u             mdot          tau           T             O2            NO            NO2           N2            O             sumfracs      
5.132424e-010  3.267356e-001  1.000000e-001  3.267356e-002  5.132424e-009  1.073150e+003  1.965805e-009  3.687428e-009  9.999999e-002  9.000000e-001  3.501724e-013  1.000000e+000  
1.568293e-006  3.267394e-001  9.999882e-002  3.267356e-002  1.568311e-005  1.073131e+003  6.005733e-006  1.126331e-005  9.998273e-002  9.000000e-001  1.308109e-011  1.000000e+000  
1.236114e-005  3.267660e-001  9.999069e-002  3.267356e-002  1.236216e-004  1.073004e+003  4.718575e-005  8.849444e-005  9.986432e-002  9.000000e-001  1.302392e-011  1.000000e+000  
2.315398e-005  3.267924e-001  9.998259e-002  3.267356e-002  2.315686e-004  1.072877e+003  8.821565e-005  1.654440e-004  9.974634e-002  9.000000e-001  1.297709e-011  1.000000e+000  
7.867676e-005  3.269270e-001  9.994144e-002  3.267356e-002  7.870452e-004  1.072232e+003  2.966970e-004  5.564407e-004  9.914686e-002  9.000000e-001  1.274213e-011  1.000000e+000  
1.341995e-004  3.270596e-001  9.990092e-002  3.267356e-002  1.342719e-003  1.071597e+003  5.017982e-004  9.410980e-004  9.855710e-002  9.000000e-001  1.251524e-011  1.000000e+000  
1.897223e-004  3.271901e-001  9.986108e-002  3.267356e-002  1.898610e-003  1.070973e+003  7.033354e-004  1.319071e-003  9.797759e-002  9.000000e-001  1.229561e-011  1.000000e+000  
2.452451e-004  3.273185e-001  9.982191e-002  3.267356e-002  2.454719e-003  1.070360e+003  9.013229e-004  1.690387e-003  9.740829e-002  9.000000e-001  1.208350e-011  1.000000e+000  
4.254634e-004  3.277216e-001  9.969914e-002  3.267356e-002  4.261216e-003  1.068441e+003  1.521102e-003  2.852753e-003  9.562614e-002  9.000000e-001  1.144222e-011  1.000000e+000  
6.056816e-004  3.281048e-001  9.958268e-002  3.267356e-002  6.069872e-003  1.066623e+003  2.107777e-003  3.953034e-003  9.393919e-002  9.000000e-001  1.086533e-011  1.000000e+000  
7.858999e-004  3.284698e-001  9.947203e-002  3.267356e-002  7.880629e-003  1.064899e+003  2.664123e-003  4.996433e-003  9.233944e-002  9.000000e-001  1.034314e-011  1.000000e+000  
9.535194e-004  3.287939e-001  9.937398e-002  3.267356e-002  9.566570e-003  1.063374e+003  3.156171e-003  5.919246e-003  9.092458e-002  9.000000e-001  9.903402e-012  1.000000e+000  
1.121139e-003  3.291044e-001  9.928023e-002  3.267356e-002  1.125414e-002  1.061918e+003  3.625918e-003  6.800234e-003  8.957385e-002  9.000000e-001  9.499941e-012  1.000000e+000  
1.288758e-003  3.294024e-001  9.919041e-002  3.267356e-002  1.294326e-002  1.060524e+003  4.075254e-003  7.642942e-003  8.828180e-002  9.000000e-001  9.128170e-012  1.000000e+000  
1.456378e-003  3.296889e-001  9.910422e-002  3.267356e-002  1.463387e-002  1.059189e+003  4.505763e-003  8.450341e-003  8.704390e-002  9.000000e-001  8.785830e-012  1.000000e+000  
1.725298e-003  3.301263e-001  9.897291e-002  3.267356e-002  1.734919e-002  1.057157e+003  5.160422e-003  9.678121e-003  8.516146e-002  9.000000e-001  8.289098e-012  1.000000e+000  
1.994219e-003  3.305388e-001  9.884939e-002  3.267356e-002  2.006801e-002  1.055250e+003  5.774903e-003  1.083055e-002  8.339454e-002  9.000000e-001  7.847471e-012  1.000000e+000  
2.263139e-003  3.309288e-001  9.873288e-002  3.267356e-002  2.279013e-002  1.053454e+003  6.353361e-003  1.191542e-002  8.173122e-002  9.000000e-001  7.453451e-012  1.000000e+000  
2.532059e-003  3.312985e-001  9.862270e-002  3.267356e-002  2.551538e-002  1.051758e+003  6.899309e-003  1.293932e-002  8.016137e-002  9.000000e-001  7.099951e-012  1.000000e+000  
2.986155e-003  3.318816e-001  9.844945e-002  3.267356e-002  3.012386e-002  1.049097e+003  7.755813e-003  1.454565e-002  7.769853e-002  9.000000e-001  6.577091e-012  1.000000e+000  
3.440251e-003  3.324190e-001  9.829028e-002  3.267356e-002  3.474015e-002  1.046658e+003  8.540481e-003  1.601726e-002  7.544226e-002  9.000000e-001  6.129303e-012  1.000000e+000  
3.894347e-003  3.329167e-001  9.814334e-002  3.267356e-002  3.936366e-002  1.044411e+003  9.263051e-003  1.737240e-002  7.336454e-002  9.000000e-001  5.747506e-012  1.000000e+000  
4.348443e-003  3.333796e-001  9.800707e-002  3.267356e-002  4.399384e-002  1.042331e+003  9.931558e-003  1.862616e-002  7.144229e-002  9.000000e-001  5.422070e-012  1.000000e+000  
4.802539e-003  3.338118e-001  9.788018e-002  3.267356e-002  4.863021e-002  1.040398e+003  1.055270e-002  1.979108e-002  6.965621e-002  9.000000e-001  5.131717e-012  1.000000e+000  
5.256635e-003  3.342167e-001  9.776159e-002  3.267356e-002  5.327238e-002  1.038595e+003  1.113205e-002  2.087762e-002  6.799033e-002  9.000000e-001  4.863038e-012  1.000000e+000  
5.710731e-003  3.345973e-001  9.765039e-002  3.267356e-002  5.791998e-002  1.036906e+003  1.167424e-002  2.189447e-002  6.643129e-002  9.000000e-001  4.633181e-012  1.000000e+000  
6.575919e-003  3.352637e-001  9.745628e-002  3.267356e-002  6.678901e-002  1.033965e+003  1.261829e-002  2.366500e-002  6.371671e-002  9.000000e-001  4.298685e-012  1.000000e+000  
7.441107e-003  3.358644e-001  9.728198e-002  3.267356e-002  7.567476e-002  1.031331e+003  1.346348e-002  2.525010e-002  6.128643e-002  9.000000e-001  4.012112e-012  1.000000e+000  
8.306294e-003  3.364095e-001  9.712436e-002  3.267356e-002  8.457581e-002  1.028954e+003  1.422581e-002  2.667982e-002  5.909437e-002  9.000000e-001  3.816380e-012  1.000000e+000  
9.171482e-003  3.369071e-001  9.698092e-002  3.267356e-002  9.349081e-002  1.026795e+003  1.491794e-002  2.797788e-002  5.710418e-002  9.000000e-001  3.826345e-012  1.000000e+000  
1.003667e-002  3.373643e-001  9.684947e-002  3.267356e-002  1.024183e-001  1.024820e+003  1.555073e-002  2.916465e-002  5.528462e-002  9.000000e-001  3.677755e-012  1.000000e+000  
1.090186e-002  3.377871e-001  9.672826e-002  3.267356e-002  1.113572e-001  1.023003e+003  1.613293e-002  3.025653e-002  5.361054e-002  9.000000e-001  2.648790e-012  1.000000e+000  
1.176704e-002  3.381794e-001  9.661606e-002  3.267356e-002  1.203068e-001  1.021323e+003  1.667084e-002  3.126536e-002  5.206380e-002  9.000000e-001  1.565702e-012  1.000000e+000  
1.320607e-002  3.387737e-001  9.644654e-002  3.267356e-002  1.352140e-001  1.018790e+003  1.748165e-002  3.278599e-002  4.973235e-002  9.000000e-001  5.218070e-012  1.000000e+000  
1.426006e-002  3.391690e-001  9.633413e-002  3.267356e-002  1.461486e-001  1.017113e+003  1.801818e-002  3.379222e-002  4.818961e-002  9.000000e-001  9.193351e-012  1.000000e+000  
1.531406e-002  3.395352e-001  9.623026e-002  3.267356e-002  1.570957e-001  1.015565e+003  1.851318e-002  3.472057e-002  4.676626e-002  9.000000e-001  6.057838e-012  1.000000e+000  
1.636805e-002  3.398760e-001  9.613376e-002  3.267356e-002  1.680541e-001  1.014130e+003  1.897224e-002  3.558151e-002  4.544625e-002  9.000000e-001  4.161091e-011  1.000000e+000  
1.742205e-002  3.401946e-001  9.604373e-002  3.267356e-002  1.790231e-001  1.012792e+003  1.939979e-002  3.638338e-002  4.421684e-002  9.000000e-001  2.285775e-011  1.000000e+000  
1.847604e-002  3.404929e-001  9.595959e-002  3.267356e-002  1.900019e-001  1.011544e+003  1.979901e-002  3.713209e-002  4.306891e-002  9.000000e-001  1.401913e-010  1.000000e+000  
1.953004e-002  3.407726e-001  9.588082e-002  3.267356e-002  2.009903e-001  1.010375e+003  2.017258e-002  3.783267e-002  4.199472e-002  9.000000e-001  2.719683e-010  1.000000e+000  
2.058403e-002  3.410361e-001  9.580674e-002  3.267356e-002  2.119875e-001  1.009278e+003  2.052338e-002  3.849057e-002  4.098600e-002  9.000000e-001  1.948582e-010  1.000000e+000  
2.163803e-002  3.412862e-001  9.573652e-002  3.267356e-002  2.229928e-001  1.008240e+003  2.085418e-002  3.911104e-002  4.003484e-002  9.000000e-001  1.335881e-009  1.000000e+000  
2.269202e-002  3.415241e-001  9.566985e-002  3.267356e-002  2.340058e-001  1.007256e+003  2.116685e-002  3.969754e-002  3.913588e-002  9.000000e-001  1.071264e-009  1.000000e+000  
