x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
1.477215e-10  3.069702e-02  1.508290e+00  4.630000e-02  9.793972e-11  3.737000e+02  2.800000e-01  9.000000e-02  5.923133e-39  4.052104e-37  3.474087e-49  1.027902e-32  3.992873e-37  5.987610e-54  6.300000e-01  1.000000e+00  
1.477362e-06  3.068627e-02  1.508818e+00  4.630000e-02  9.791521e-07  3.737000e+02  2.800000e-01  9.000000e-02  6.028432e-31  6.063203e-31  5.198477e-39  1.044668e-28  4.716516e-33  7.126499e-46  6.300000e-01  1.000000e+00  
1.624951e-05  3.057916e-02  1.514103e+00  4.630000e-02  1.074691e-05  3.737000e+02  2.800000e-01  9.000000e-02  5.232691e-29  5.202818e-29  3.225689e-36  1.273511e-27  4.047131e-31  4.497385e-43  6.300000e-01  1.000000e+00  
3.102166e-05  3.047279e-02  1.519388e+00  4.630000e-02  2.048445e-05  3.737000e+02  2.800000e-01  9.000000e-02  1.740116e-28  1.725117e-28  1.545292e-35  2.639178e-27  1.729212e-30  2.565023e-42  6.300000e-01  1.000000e+00  
5.344555e-05  3.031274e-02  1.527410e+00  4.630000e-02  3.520288e-05  3.737000e+02  2.800000e-01  9.000000e-02  5.486138e-28  5.413762e-28  7.903953e-35  5.251985e-27  7.727672e-30  1.828535e-41  6.300000e-01  1.000000e+00  
9.126704e-05  3.004657e-02  1.540941e+00  4.630000e-02  5.985527e-05  3.737000e+02  2.800000e-01  9.000000e-02  1.988470e-27  1.947564e-27  5.126451e-34  1.190172e-26  4.216785e-29  1.832828e-40  6.300000e-01  1.000000e+00  
1.686525e-04  2.951626e-02  1.568627e+00  4.630000e-02  1.096346e-04  3.737000e+02  2.800000e-01  9.000000e-02  1.282041e-26  1.236702e-26  6.914021e-33  4.475473e-26  4.596681e-28  4.360652e-39  6.300000e-01  1.000000e+00  
2.460379e-04  2.900435e-02  1.596312e+00  4.630000e-02  1.585462e-04  3.737000e+02  2.800000e-01  9.000000e-02  5.023762e-26  4.827389e-26  5.008056e-32  1.332226e-25  1.987276e-27  4.900579e-38  6.300000e-01  1.000000e+00  
3.234233e-04  2.850990e-02  1.623998e+00  4.630000e-02  2.066175e-04  3.737000e+02  2.800000e-01  9.000000e-02  1.567776e-25  1.499953e-25  2.063224e-31  3.718510e-25  6.862090e-27  2.238900e-37  6.300000e-01  1.000000e+00  
4.543581e-04  2.771060e-02  1.670841e+00  4.630000e-02  2.861189e-04  3.737000e+02  2.800000e-01  9.000000e-02  1.063527e-24  1.017577e-24  2.875182e-30  1.904013e-24  4.654737e-26  4.595616e-36  6.300000e-01  1.000000e+00  
5.852929e-04  2.695490e-02  1.717684e+00  4.630000e-02  3.634137e-04  3.737000e+02  2.800000e-01  9.000000e-02  5.146867e-24  4.899013e-24  1.879122e-29  9.093495e-24  2.515726e-25  3.088214e-35  6.300000e-01  1.000000e+00  
7.162276e-04  2.623932e-02  1.764527e+00  4.630000e-02  4.386214e-04  3.737000e+02  2.800000e-01  9.000000e-02  2.422985e-23  2.305438e-23  1.260083e-28  3.820950e-23  1.196296e-24  2.659139e-34  6.300000e-01  1.000000e+00  
8.471624e-04  2.556076e-02  1.811370e+00  4.630000e-02  5.118554e-04  3.737000e+02  2.800000e-01  9.000000e-02  1.060549e-22  1.010959e-22  8.848040e-28  1.481767e-22  5.065813e-24  2.155689e-33  6.300000e-01  1.000000e+00  
1.063701e-03  2.451241e-02  1.888839e+00  4.630000e-02  6.289017e-04  3.737000e+02  2.800000e-01  9.000000e-02  1.518009e-21  1.448192e-21  3.787742e-26  1.112501e-21  7.145835e-23  1.556873e-31  6.300000e-01  1.000000e+00  
1.280239e-03  2.356024e-02  1.965175e+00  4.630000e-02  7.412739e-04  3.737000e+02  2.800000e-01  9.000000e-02  9.548835e-21  8.986711e-21  3.567890e-25  9.771741e-21  5.787418e-22  1.336601e-30  6.300000e-01  1.000000e+00  
1.496777e-03  2.275706e-02  2.034533e+00  4.630000e-02  8.495557e-04  3.737000e+02  2.800000e-01  9.000000e-02  6.864415e-20  6.580924e-20  5.930084e-24  3.713321e-20  2.950393e-21  3.575888e-29  6.300000e-01  1.000000e+00  
1.713315e-03  2.200684e-02  2.103891e+00  4.630000e-02  9.541707e-04  3.737000e+02  2.800000e-01  9.000000e-02  2.939557e-19  2.801288e-19  4.016327e-23  2.074709e-19  1.452785e-20  1.859556e-28  6.300000e-01  1.000000e+00  
1.929853e-03  2.130450e-02  2.173250e+00  4.630000e-02  1.055404e-03  3.737000e+02  2.800000e-01  9.000000e-02  1.465846e-18  1.381785e-18  2.251002e-22  6.753904e-19  8.785516e-20  1.396384e-27  6.300000e-01  1.000000e+00  
2.146392e-03  2.064561e-02  2.242608e+00  4.630000e-02  1.153472e-03  3.737000e+02  2.800000e-01  9.000000e-02  5.505197e-18  5.224913e-18  1.644338e-21  2.853657e-18  2.982831e-19  1.442670e-26  6.300000e-01  1.000000e+00  
2.362930e-03  2.002625e-02  2.311966e+00  4.630000e-02  1.248560e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.271695e-17  2.150867e-17  8.658976e-21  7.380711e-18  1.287008e-18  7.532587e-26  6.300000e-01  1.000000e+00  
2.579468e-03  1.946541e-02  2.378579e+00  4.630000e-02  1.340896e-03  3.737000e+02  2.800000e-01  9.000000e-02  6.919559e-17  6.621668e-17  5.025600e-20  2.896619e-17  3.273781e-18  5.352226e-25  6.300000e-01  1.000000e+00  
2.796006e-03  1.897187e-02  2.440456e+00  4.630000e-02  1.430764e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.492591e-16  2.370580e-16  1.993272e-19  3.626106e-17  1.318932e-17  1.916744e-24  6.300000e-01  1.000000e+00  
3.012544e-03  1.850273e-02  2.502333e+00  4.630000e-02  1.518365e-03  3.737000e+02  2.800000e-01  9.000000e-02  4.833202e-16  4.723222e-16  9.586368e-19  2.857436e-16  1.378549e-17  1.206622e-23  6.300000e-01  1.000000e+00  
3.229083e-03  1.805624e-02  2.564210e+00  4.630000e-02  1.603833e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.381240e-15  2.242826e-15  2.206006e-18  4.245616e-16  1.473032e-16  1.399977e-23  6.300000e-01  1.000000e+00  
3.445621e-03  1.763080e-02  2.626087e+00  4.630000e-02  1.687271e-03  3.737000e+02  2.800000e-01  9.000000e-02  6.669350e-16  3.497818e-16  1.544471e-17  5.427504e-15  3.014334e-16  2.863690e-22  6.300000e-01  1.000000e+00  
3.662159e-03  1.722493e-02  2.687964e+00  4.630000e-02  1.768769e-03  3.737000e+02  2.800000e-01  9.000000e-02  3.897159e-14  3.576112e-14  1.280743e-17  2.792398e-14  3.306737e-15  9.246970e-22  6.300000e-01  1.000000e+00  
3.878697e-03  1.685568e-02  2.746849e+00  4.630000e-02  1.848460e-03  3.737000e+02  2.800000e-01  9.000000e-02  1.757945e-13  1.574262e-13  4.220020e-16  2.006041e-13  1.858061e-14  1.235871e-20  6.300000e-01  1.000000e+00  
4.095235e-03  1.651394e-02  2.803692e+00  4.630000e-02  1.926482e-03  3.737000e+02  2.800000e-01  9.000000e-02  1.418905e-12  1.286161e-12  2.476750e-15  1.369802e-12  1.357150e-13  9.176200e-20  6.300000e-01  1.000000e+00  
4.471567e-03  1.595186e-02  2.902482e+00  4.630000e-02  2.058350e-03  3.737000e+02  2.800000e-01  9.000000e-02  8.835558e-11  7.405046e-11  2.746419e-13  8.838971e-11  1.458186e-11  1.819047e-17  6.300000e-01  1.000000e+00  
4.847899e-03  1.542679e-02  3.001272e+00  4.630000e-02  2.185809e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.291853e-09  1.910529e-09  9.249315e-12  2.298393e-09  3.905803e-10  5.795528e-16  6.300000e-01  1.000000e+00  
5.224231e-03  1.496087e-02  3.094740e+00  4.630000e-02  2.309273e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.251484e-08  1.950562e-08  9.986370e-11  2.259133e-08  3.109109e-09  9.409658e-15  6.300000e-01  1.000000e+00  
5.600562e-03  1.453872e-02  3.184599e+00  4.630000e-02  2.429124e-03  3.737000e+02  2.800000e-01  9.000000e-02  5.211916e-09  7.473615e-11  1.173398e-10  5.400271e-09  5.403941e-09  3.364676e-14  6.300000e-01  1.000000e+00  
5.976894e-03  1.413974e-02  3.274458e+00  4.630000e-02  2.545633e-03  3.737000e+02  2.800000e-01  9.000001e-02  2.002068e-09  8.018897e-09  1.586795e-10  1.495878e-09  6.174844e-09  1.417641e-13  6.300000e-01  1.000000e+00  
6.353226e-03  1.376208e-02  3.364317e+00  4.630000e-02  2.658999e-03  3.737000e+02  2.800000e-01  9.000001e-02  5.043048e-09  1.121339e-08  6.341593e-11  4.564100e-09  6.103283e-09  3.046450e-13  6.300000e-01  1.000000e+00  
6.729558e-03  1.340407e-02  3.454176e+00  4.630000e-02  2.769385e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.110023e-10  5.924370e-09  2.007476e-10  4.715761e-10  5.908396e-09  5.186212e-13  6.300000e-01  1.000000e+00  
7.105889e-03  1.306421e-02  3.544035e+00  4.630000e-02  2.876939e-03  3.737000e+02  2.800000e-01  9.000000e-02  3.222256e-09  9.029946e-09  9.304157e-11  2.026304e-09  5.705820e-09  8.071216e-13  6.300000e-01  1.000000e+00  
7.482221e-03  1.274116e-02  3.633893e+00  4.630000e-02  2.981800e-03  3.737000e+02  2.800000e-01  9.000000e-02  2.242258e-09  2.497902e-09  9.722165e-10  4.581997e-09  5.700989e-09  1.156332e-12  6.300000e-01  1.000000e+00  
7.858553e-03  1.247695e-02  3.710844e+00  4.630000e-02  3.084291e-03  3.737000e+02  2.800000e-01  9.000000e-02  1.056382e-08  1.698539e-08  8.890162e-10  6.416280e-09  5.513359e-09  1.606008e-12  6.300000e-01  1.000000e+00  
8.234885e-03  1.222554e-02  3.787154e+00  4.630000e-02  3.184650e-03  3.737000e+02  2.800000e-01  9.000000e-02  7.486869e-09  5.750049e-09  4.011121e-09  1.288253e-08  5.721115e-09  2.085597e-12  6.300000e-01  1.000000e+00  
8.611216e-03  1.198406e-02  3.863464e+00  4.630000e-02  3.283011e-03  3.737000e+02  2.800000e-01  9.000000e-02  3.676206e-08  5.001142e-08  8.128826e-09  2.500789e-08  5.068748e-09  2.769096e-12  6.300000e-01  1.000000e+00  
8.987548e-03  1.175194e-02  3.939774e+00  4.630000e-02  3.379460e-03  3.737000e+02  2.800001e-01  8.999999e-02  4.832809e-08  6.782214e-08  2.583538e-08  5.223979e-08  6.275213e-09  3.274320e-12  6.300000e-01  1.000000e+00  
9.203843e-03  1.162256e-02  3.983633e+00  4.630000e-02  3.434056e-03  3.737000e+02  2.800000e-01  8.999999e-02  3.555416e-09  2.194755e-08  2.544919e-08  1.898035e-08  6.973024e-09  3.712785e-12  6.300000e-01  1.000000e+00  
9.341230e-03  1.154184e-02  4.011491e+00  4.630000e-02  3.468424e-03  3.737000e+02  2.800000e-01  8.999998e-02  3.044060e-08  2.381962e-08  1.375393e-08  1.156175e-09  7.027851e-09  4.114427e-12  6.300000e-01  1.000000e+00  
9.478616e-03  1.146224e-02  4.039350e+00  4.630000e-02  3.502554e-03  3.737000e+02  2.799999e-01  8.999998e-02  4.143715e-08  4.262660e-08  5.892585e-09  1.142104e-09  6.949354e-09  4.566060e-12  6.300000e-01  1.000000e+00  
9.616003e-03  1.138373e-02  4.067208e+00  4.630000e-02  3.536449e-03  3.737000e+02  2.799999e-01  8.999998e-02  4.692120e-08  5.090295e-08  3.014256e-09  1.201681e-09  6.830076e-09  5.039429e-12  6.300000e-01  1.000000e+00  
9.753390e-03  1.130629e-02  4.095066e+00  4.630000e-02  3.570113e-03  3.737000e+02  2.799999e-01  8.999998e-02  5.304792e-08  5.695010e-08  3.008228e-09  1.754714e-09  6.705474e-09  5.525116e-12  6.300000e-01  1.000000e+00  
9.890776e-03  1.122989e-02  4.122925e+00  4.630000e-02  3.603549e-03  3.737000e+02  2.799999e-01  8.999997e-02  6.045157e-08  6.341033e-08  3.870479e-09  1.555654e-09  6.578386e-09  6.025104e-12  6.300000e-01  1.000000e+00  
1.018354e-02  1.109612e-02  4.172630e+00  4.630000e-02  3.674165e-03  3.737000e+02  2.799999e-01  8.999996e-02  8.052249e-08  8.176151e-08  5.396897e-09  1.834959e-09  6.259892e-09  7.129412e-12  6.300000e-01  1.000000e+00  
1.047631e-02  1.098045e-02  4.216587e+00  4.630000e-02  3.743992e-03  3.737000e+02  2.799998e-01  8.999995e-02  1.083844e-07  1.076809e-07  7.109192e-09  2.482882e-09  5.863733e-09  8.264152e-12  6.300000e-01  1.000000e+00  
1.076907e-02  1.086716e-02  4.260543e+00  4.630000e-02  3.813078e-03  3.737000e+02  2.799998e-01  8.999992e-02  1.469228e-07  1.434570e-07  9.583179e-09  3.384504e-09  5.359316e-09  9.399891e-12  6.300000e-01  1.000000e+00  
1.106184e-02  1.075619e-02  4.304500e+00  4.630000e-02  3.881449e-03  3.737000e+02  2.799997e-01  8.999989e-02  2.008183e-07  1.934947e-07  1.306933e-08  4.723164e-09  4.709179e-09  1.049283e-11  6.300000e-01  1.000000e+00  
1.135461e-02  1.064746e-02  4.348457e+00  4.630000e-02  3.949124e-03  3.737000e+02  2.799996e-01  8.999985e-02  2.770867e-07  2.641989e-07  1.814440e-08  6.632838e-09  3.863652e-09  1.148057e-11  6.300000e-01  1.000000e+00  
1.164737e-02  1.054090e-02  4.392413e+00  4.630000e-02  4.016117e-03  3.737000e+02  2.799994e-01  8.999979e-02  3.863338e-07  3.654386e-07  2.549489e-08  9.457785e-09  2.753081e-09  1.227242e-11  6.300000e-01  1.000000e+00  
1.194014e-02  1.043646e-02  4.436370e+00  4.630000e-02  4.082443e-03  3.737000e+02  2.799992e-01  8.999970e-02  5.447703e-07  5.121474e-07  3.632241e-08  1.363368e-08  1.279688e-09  1.273610e-11  6.300000e-01  1.000000e+00  
1.241487e-02  1.027143e-02  4.507647e+00  4.630000e-02  4.188609e-03  3.737000e+02  2.799985e-01  8.999946e-02  9.852546e-07  9.195571e-07  6.709604e-08  2.583720e-08  2.269362e-09  1.219420e-11  6.300000e-01  1.000000e+00  
1.288960e-02  1.015199e-02  4.560684e+00  4.630000e-02  4.293331e-03  3.737000e+02  2.799973e-01  8.999899e-02  1.827308e-06  1.698007e-06  1.264874e-07  4.941230e-08  8.105567e-09  8.900464e-12  6.300000e-01  1.000000e+00  
1.336433e-02  1.004396e-02  4.609735e+00  4.630000e-02  4.396843e-03  3.737000e+02  2.799949e-01  8.999810e-02  3.436633e-06  3.186351e-06  2.392981e-07  9.408563e-08  1.818172e-08  7.102883e-13  6.300000e-01  1.000000e+00  
1.366168e-02  9.977461e-03  4.640459e+00  4.630000e-02  4.461127e-03  3.737000e+02  2.799924e-01  8.999715e-02  5.138364e-06  4.757138e-06  3.619334e-07  1.453630e-07  2.762677e-08  8.685284e-12  6.300000e-01  1.000000e+00  
1.395903e-02  9.911836e-03  4.671183e+00  4.630000e-02  4.524992e-03  3.737000e+02  2.799885e-01  8.999569e-02  7.765313e-06  7.182870e-06  5.506064e-07  2.227459e-07  4.091822e-08  2.319643e-11  6.300000e-01  1.000000e+00  
1.425639e-02  9.847069e-03  4.701907e+00  4.630000e-02  4.588441e-03  3.737000e+02  2.799824e-01  8.999341e-02  1.187702e-05  1.097499e-05  8.509576e-07  3.496635e-07  5.968589e-08  4.544698e-11  6.300000e-01  1.000000e+00  
1.455374e-02  9.783143e-03  4.732630e+00  4.630000e-02  4.651477e-03  3.737000e+02  2.799728e-01  8.998979e-02  1.838579e-05  1.697284e-05  1.331727e-06  5.532488e-07  8.634883e-08  7.909742e-11  6.300001e-01  1.000000e+00  
1.472565e-02  9.746562e-03  4.750393e+00  4.630000e-02  4.687734e-03  3.737000e+02  2.799649e-01  8.998681e-02  2.373559e-05  2.190240e-05  1.727250e-06  7.223679e-07  1.064816e-07  1.055361e-10  6.300001e-01  1.000000e+00  
1.489757e-02  9.710254e-03  4.768155e+00  4.630000e-02  4.723855e-03  3.737000e+02  2.799546e-01  8.998291e-02  3.074083e-05  2.835607e-05  2.246231e-06  9.450371e-07  1.310288e-07  1.387223e-10  6.300001e-01  1.000000e+00  
1.506948e-02  9.680114e-03  4.783001e+00  4.630000e-02  4.759854e-03  3.737000e+02  2.799410e-01  8.997780e-02  3.994515e-05  3.683428e-05  2.928927e-06  1.240366e-06  1.607786e-07  1.802872e-10  6.300001e-01  1.000000e+00  
1.524139e-02  9.658817e-03  4.793548e+00  4.630000e-02  4.795757e-03  3.737000e+02  2.799231e-01  8.997106e-02  5.206079e-05  4.799099e-05  3.829421e-06  1.629857e-06  1.964161e-07  2.319709e-10  6.300001e-01  1.000000e+00  
1.541330e-02  9.637613e-03  4.804094e+00  4.630000e-02  4.831578e-03  3.737000e+02  2.798995e-01  8.996220e-02  6.800975e-05  6.267575e-05  5.014139e-06  2.141733e-06  2.387117e-07  2.958029e-10  6.300002e-01  1.000000e+00  
1.558521e-02  9.616503e-03  4.814640e+00  4.630000e-02  4.867321e-03  3.737000e+02  2.798685e-01  8.995053e-02  8.903337e-05  8.202299e-05  6.581556e-06  2.822181e-06  2.878056e-07  3.742119e-10  6.300002e-01  1.000000e+00  
1.569220e-02  9.603412e-03  4.821203e+00  4.630000e-02  4.889527e-03  3.737000e+02  2.798444e-01  8.994145e-02  1.053728e-04  9.705423e-05  7.802548e-06  3.357166e-06  3.214726e-07  4.313653e-10  6.300003e-01  1.000000e+00  
1.579919e-02  9.590356e-03  4.827766e+00  4.630000e-02  4.911703e-03  3.737000e+02  2.798157e-01  8.993065e-02  1.248241e-04  1.149451e-04  9.256423e-06  3.993318e-06  3.571673e-07  4.955752e-10  6.300003e-01  1.000000e+00  
1.590617e-02  9.577336e-03  4.834330e+00  4.630000e-02  4.933848e-03  3.737000e+02  2.797815e-01  8.991779e-02  1.479959e-04  1.362518e-04  1.099102e-05  4.756065e-06  3.943624e-07  5.673668e-10  6.300004e-01  1.000000e+00  
1.601316e-02  9.564352e-03  4.840893e+00  4.630000e-02  4.955964e-03  3.737000e+02  2.797407e-01  8.990245e-02  1.756282e-04  1.616546e-04  1.306063e-05  5.665897e-06  4.323509e-07  6.471274e-10  6.300004e-01  1.000000e+00  
1.612015e-02  9.551403e-03  4.847455e+00  4.630000e-02  4.978050e-03  3.737000e+02  2.796920e-01  8.988415e-02  2.086067e-04  1.919626e-04  1.553524e-05  6.759257e-06  4.701011e-07  7.350810e-10  6.300005e-01  1.000000e+00  
