x             rho           u             mdot          tau           T             O2            NO            NO2           N2            O             sumfracs      
1.821243e-09  3.267356e-01  1.000000e-01  3.267356e-02  1.821243e-08  1.073150e+03  6.975822e-09  1.308500e-08  9.999998e-02  9.000000e-01  1.163209e-12  1.000000e+00  
6.858845e-09  3.267356e-01  9.999999e-02  3.267356e-02  6.858846e-08  1.073150e+03  2.627243e-08  4.927961e-08  9.999992e-02  9.000000e-01  3.696540e-12  1.000000e+00  
3.047765e-08  3.267357e-01  9.999996e-02  3.267356e-02  3.047766e-07  1.073149e+03  1.167571e-07  2.189890e-07  9.999966e-02  9.000000e-01  8.937808e-12  1.000000e+00  
9.978612e-08  3.267359e-01  9.999989e-02  3.267356e-02  9.978620e-07  1.073148e+03  3.822984e-07  7.170051e-07  9.999890e-02  9.000000e-01  1.219933e-11  1.000000e+00  
2.912707e-07  3.267364e-01  9.999973e-02  3.267356e-02  2.912713e-06  1.073146e+03  1.115900e-06  2.092840e-06  9.999679e-02  9.000000e-01  1.299850e-11  1.000000e+00  
7.463149e-07  3.267377e-01  9.999936e-02  3.267356e-02  7.463184e-06  1.073140e+03  2.858959e-06  5.361864e-06  9.999178e-02  9.000000e-01  1.307117e-11  1.000000e+00  
1.723189e-06  3.267402e-01  9.999858e-02  3.267356e-02  1.723207e-05  1.073128e+03  6.599646e-06  1.237734e-05  9.998102e-02  9.000000e-01  1.306964e-11  1.000000e+00  
3.616662e-06  3.267450e-01  9.999710e-02  3.267356e-02  3.616734e-05  1.073105e+03  1.384550e-05  2.596660e-05  9.996019e-02  9.000000e-01  1.306119e-11  1.000000e+00  
6.923678e-06  3.267533e-01  9.999456e-02  3.267356e-02  6.923930e-05  1.073066e+03  2.648637e-05  4.967394e-05  9.992384e-02  9.000000e-01  1.304656e-11  1.000000e+00  
1.207069e-05  3.267661e-01  9.999066e-02  3.267356e-02  1.207143e-04  1.073005e+03  4.612614e-05  8.650736e-05  9.986737e-02  9.000000e-01  1.302401e-11  1.000000e+00  
1.721771e-05  3.267787e-01  9.998679e-02  3.267356e-02  1.721912e-04  1.072944e+03  6.573168e-05  1.232766e-04  9.981099e-02  9.000000e-01  1.300167e-11  1.000000e+00  
2.236473e-05  3.267913e-01  9.998295e-02  3.267356e-02  2.236702e-04  1.072884e+03  8.530314e-05  1.599819e-04  9.975471e-02  9.000000e-01  1.297950e-11  1.000000e+00  
3.606362e-05  3.268245e-01  9.997280e-02  3.267356e-02  3.606917e-04  1.072724e+03  1.372331e-04  2.573741e-04  9.960539e-02  9.000000e-01  1.292101e-11  1.000000e+00  
4.976250e-05  3.268572e-01  9.996277e-02  3.267356e-02  4.977255e-04  1.072566e+03  1.889514e-04  3.543691e-04  9.945668e-02  9.000000e-01  1.286327e-11  1.000000e+00  
6.346139e-05  3.268895e-01  9.995289e-02  3.267356e-02  6.347724e-04  1.072410e+03  2.404423e-04  4.509378e-04  9.930862e-02  9.000000e-01  1.280648e-11  1.000000e+00  
8.874288e-05  3.269479e-01  9.993505e-02  3.267356e-02  8.877290e-04  1.072126e+03  3.348625e-04  6.280184e-04  9.903712e-02  9.000000e-01  1.270405e-11  1.000000e+00  
1.508886e-04  3.270853e-01  9.989308e-02  3.267356e-02  1.509719e-03  1.071452e+03  5.637071e-04  1.057205e-03  9.837909e-02  9.000000e-01  1.246397e-11  1.000000e+00  
1.840595e-04  3.271567e-01  9.987128e-02  3.267356e-02  1.841819e-03  1.071101e+03  6.839806e-04  1.282772e-03  9.803325e-02  9.000000e-01  1.234059e-11  1.000000e+00  
2.172303e-04  3.272268e-01  9.984987e-02  3.267356e-02  2.173990e-03  1.070756e+03  8.029877e-04  1.505964e-03  9.769105e-02  9.000000e-01  1.222029e-11  1.000000e+00  
2.504012e-04  3.272956e-01  9.982888e-02  3.267356e-02  2.506231e-03  1.070416e+03  9.207547e-04  1.726831e-03  9.735241e-02  9.000000e-01  1.210311e-11  1.000000e+00  
3.154750e-04  3.274268e-01  9.978889e-02  3.267356e-02  3.158214e-03  1.069765e+03  1.148310e-03  2.153601e-03  9.669809e-02  9.000000e-01  1.188188e-11  1.000000e+00  
4.142777e-04  3.276170e-01  9.973096e-02  3.267356e-02  4.148613e-03  1.068816e+03  1.485357e-03  2.785716e-03  9.572893e-02  9.000000e-01  1.156624e-11  1.000000e+00  
5.130804e-04  3.277970e-01  9.967619e-02  3.267356e-02  5.139570e-03  1.067911e+03  1.812635e-03  3.399509e-03  9.478786e-02  9.000000e-01  1.127284e-11  1.000000e+00  
6.118830e-04  3.279676e-01  9.962435e-02  3.267356e-02  6.131058e-03  1.067047e+03  2.130657e-03  3.995944e-03  9.387340e-02  9.000000e-01  1.099955e-11  1.000000e+00  
7.952067e-04  3.282614e-01  9.953517e-02  3.267356e-02  7.972023e-03  1.065542e+03  2.697929e-03  5.059836e-03  9.224223e-02  9.000000e-01  1.053928e-11  1.000000e+00  
9.785303e-04  3.285283e-01  9.945431e-02  3.267356e-02  9.814570e-03  1.064155e+03  3.237624e-03  6.072007e-03  9.069037e-02  9.000000e-01  1.013181e-11  1.000000e+00  
1.161854e-03  3.287711e-01  9.938087e-02  3.267356e-02  1.165856e-02  1.062872e+03  3.752194e-03  7.037057e-03  8.921075e-02  9.000000e-01  9.769370e-12  1.000000e+00  
1.345178e-03  3.289922e-01  9.931408e-02  3.267356e-02  1.350385e-02  1.061684e+03  4.243872e-03  7.959176e-03  8.779695e-02  9.000000e-01  9.445598e-12  1.000000e+00  
1.528501e-03  3.291936e-01  9.925330e-02  3.267356e-02  1.535032e-02  1.060581e+03  4.714583e-03  8.841972e-03  8.644345e-02  9.000000e-01  9.155015e-12  1.000000e+00  
