int_time      x             tau           rho           u             mdot          T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+05  0.000000e+00  0.000000e+00  1.111193e+00  4.166692e-01  4.630000e-01  3.030000e+02  2.083483e-04  4.358665e-18  1.039722e-11  1.899601e-01  2.030090e-13  1.470378e-06  1.647260e-09  9.030632e-10  3.513489e-37  3.501593e-37  1.722731e-21  8.943630e-23  1.422447e-10  9.497944e-02  7.412829e-08  5.997485e-09  2.480285e-21  6.804603e-10  3.861371e-23  2.460372e-13  1.224528e-10  4.888432e-36  1.142688e-12  1.498693e-25  7.439005e-11  1.884030e-17  1.999018e-10  8.890467e-24  3.964453e-13  6.310607e-17  5.422430e-16  1.438921e-19  2.340026e-12  1.923410e-13  3.253464e-28  2.618346e-11  1.733458e-11  9.155167e-14  8.589312e-14  1.070308e-34  2.887196e-13  9.911800e-15  1.344317e-37  1.107316e-14  1.471636e-16  1.256294e-13  2.302080e-16  7.148506e-01  0.000000e+00  3.189625e-17  1.348354e-13  2.378325e-20  9.118238e-13  1.000000e+00  
1.000000e+05  5.000000e-05  1.199899e-04  1.111106e+00  4.167018e-01  4.630000e-01  3.030083e+02  2.630175e-04  5.089780e-18  1.691912e-11  1.899493e-01  3.327958e-13  2.752600e-06  3.262365e-09  1.794512e-09  5.845967e-37  5.555092e-37  3.248138e-21  1.686284e-22  2.710765e-10  9.497363e-02  1.470002e-07  1.372924e-08  5.686860e-21  1.567431e-09  8.883962e-23  5.660647e-13  2.850276e-10  1.079061e-35  2.536497e-12  3.344449e-25  1.686408e-10  4.455832e-17  4.750247e-10  1.605098e-23  9.957528e-13  1.585037e-16  9.214313e-16  2.295803e-19  3.762643e-12  3.676533e-13  6.479203e-28  5.212768e-11  3.757016e-11  2.106391e-13  1.706530e-13  2.125598e-34  6.705481e-13  2.314017e-14  2.427066e-37  2.541363e-14  3.377501e-16  2.883277e-13  5.269583e-16  7.148111e-01  0.000000e+00  8.844046e-17  3.749366e-13  5.990396e-20  2.302866e-12  1.000000e+00  
1.000000e+05  1.250000e-04  2.999223e-04  1.110912e+00  4.167746e-01  4.630000e-01  3.030320e+02  3.665152e-04  3.026395e-17  3.289865e-11  1.899286e-01  1.813443e-12  6.352479e-06  8.058994e-09  4.450911e-09  8.550926e-40  3.968577e-35  4.148345e-20  2.160447e-21  6.375470e-10  9.496208e-02  3.637264e-07  4.027361e-08  5.766501e-20  4.629370e-09  1.210193e-21  3.243275e-12  8.525551e-10  4.844443e-34  7.176597e-12  5.286297e-24  4.890824e-10  3.604097e-16  1.455478e-09  9.596940e-23  3.253288e-12  5.178575e-16  1.987066e-15  9.249414e-19  7.193385e-12  8.700800e-13  3.855995e-27  1.296027e-10  1.033318e-10  6.215575e-13  4.231794e-13  2.716802e-33  2.000503e-12  6.945633e-14  1.732823e-35  7.477361e-14  9.937501e-16  8.483362e-13  1.545728e-15  7.147360e-01  0.000000e+00  3.237617e-16  1.376247e-12  3.392278e-19  7.571706e-12  1.000000e+00  
1.000000e+05  1.750000e-04  4.198017e-04  1.110675e+00  4.168635e-01  4.630000e-01  3.030692e+02  4.626495e-04  1.122926e-16  5.362540e-11  1.899087e-01  5.882762e-12  1.189051e-05  1.595736e-08  8.842707e-09  1.052970e-43  8.270662e-34  2.551305e-19  1.330508e-20  1.210652e-09  9.495035e-02  7.212010e-07  9.218003e-08  3.610684e-19  1.065644e-08  8.639106e-21  1.149585e-11  1.984161e-09  3.499667e-33  1.592820e-11  3.889627e-23  1.108585e-09  1.606338e-15  3.458051e-09  3.969966e-22  8.170039e-12  1.300505e-15  3.514029e-15  2.606801e-18  1.156563e-11  1.662702e-12  1.432835e-26  2.580206e-10  2.238896e-10  1.429857e-12  8.406105e-13  1.988029e-32  4.645455e-12  1.621284e-13  3.610717e-34  1.715861e-13  2.280400e-15  1.946712e-12  3.537833e-15  7.146656e-01  0.000000e+00  8.982527e-16  3.826346e-12  1.255866e-18  1.911986e-11  1.000000e+00  
1.000000e+05  2.250000e-04  5.395569e-04  1.110288e+00  4.170088e-01  4.630000e-01  3.031401e+02  5.839708e-04  4.309526e-16  8.746606e-11  1.898823e-01  1.923128e-11  2.225453e-05  3.159273e-08  1.756507e-08  1.540804e-44  1.771259e-32  1.577749e-18  8.236918e-20  2.293268e-09  9.493399e-02  1.429897e-06  2.109663e-07  2.452704e-18  2.452032e-08  6.379491e-20  4.079696e-11  4.617304e-09  2.555130e-32  3.534895e-11  2.885983e-22  2.512554e-09  7.237286e-15  8.215047e-09  1.848509e-21  2.051543e-11  3.265641e-15  6.235358e-15  7.862761e-18  1.859439e-11  3.177061e-12  5.514491e-26  5.137043e-10  4.849943e-10  3.289000e-12  1.669628e-12  1.492986e-31  1.078631e-11  3.784085e-13  7.729533e-33  3.937093e-13  5.232444e-15  4.466788e-12  8.096707e-15  7.145757e-01  0.000000e+00  2.493709e-15  1.063723e-11  4.660123e-18  4.827593e-11  1.000000e+00  
1.000000e+05  2.750000e-04  6.590686e-04  1.109632e+00  4.172555e-01  4.630000e-01  3.032752e+02  7.370487e-04  1.682624e-15  1.428155e-10  1.898467e-01  6.200292e-11  4.164517e-05  6.253566e-08  3.488011e-08  2.260136e-43  3.747874e-31  9.584917e-18  5.009522e-19  4.326941e-09  9.491046e-02  2.834606e-06  4.827415e-07  1.722919e-17  5.638444e-08  4.713114e-19  1.438603e-10  1.074286e-08  1.849938e-31  7.843591e-11  2.114226e-21  5.693596e-09  3.258377e-14  1.951207e-08  9.990039e-21  5.150539e-11  8.198613e-15  1.108558e-14  2.564863e-17  2.989167e-11  6.069632e-12  2.164887e-25  1.022853e-09  1.050175e-09  7.564151e-12  3.315649e-12  1.120466e-30  2.504004e-11  8.830361e-13  1.634148e-31  9.032221e-13  1.200393e-14  1.024741e-11  1.852758e-14  7.144606e-01  0.000000e+00  6.931550e-15  2.956586e-11  1.734269e-17  1.218686e-10  1.000000e+00  
1.000000e+05  3.250000e-04  7.780945e-04  1.108485e+00  4.176871e-01  4.630000e-01  3.035323e+02  9.301312e-04  6.642822e-15  2.336578e-10  1.897971e-01  1.956751e-10  7.790719e-05  1.237475e-07  6.922205e-08  4.679268e-42  7.743847e-30  5.663766e-17  2.964404e-18  8.113981e-09  9.487541e-02  5.617818e-06  1.104274e-06  1.214985e-16  1.295204e-07  3.431628e-18  5.029251e-10  2.498618e-08  1.324750e-30  1.739880e-10  1.519306e-20  1.289782e-08  1.462148e-13  4.632757e-08  6.188253e-20  1.292605e-10  2.057564e-14  1.973362e-14  9.153504e-17  4.804375e-11  1.159217e-11  8.636690e-25  2.037046e-09  2.272274e-09  1.739066e-11  6.582404e-12  8.341490e-30  5.810877e-11  2.059863e-12  3.371015e-30  2.071445e-12  2.752975e-14  2.350136e-11  4.238539e-14  7.143123e-01  0.000000e+00  1.931344e-14  8.214789e-11  6.487894e-17  3.075347e-10  1.000000e+00  
1.000000e+05  3.750000e-04  8.961434e-04  1.106438e+00  4.184598e-01  4.630000e-01  3.040210e+02  1.173529e-03  2.644330e-14  3.837526e-10  1.897255e-01  6.006148e-10  1.456604e-04  2.447663e-07  1.372172e-07  1.953248e-40  1.550167e-28  3.223951e-16  1.691174e-17  1.507651e-08  9.482122e-02  1.112838e-05  2.524508e-06  8.432449e-16  2.970149e-07  2.436148e-17  1.740490e-09  5.807503e-08  9.409739e-30  3.857195e-10  1.066091e-19  2.919980e-08  6.525318e-13  1.099224e-07  4.180292e-19  3.241746e-10  5.160199e-14  3.516718e-14  3.565656e-16  7.719170e-11  2.212683e-11  3.507347e-24  4.058572e-09  4.909759e-09  3.995843e-11  1.306061e-11  6.158256e-29  1.347584e-10  4.801777e-12  6.727321e-29  4.747765e-12  6.309836e-14  5.386527e-11  9.691809e-14  7.141195e-01  0.000000e+00  5.406143e-14  2.280902e-10  2.450102e-16  7.755277e-10  1.000000e+00  
1.000000e+05  4.250000e-04  1.012226e-03  1.102731e+00  4.198666e-01  4.630000e-01  3.049483e+02  1.480022e-03  1.061554e-13  6.349283e-10  1.896174e-01  1.780213e-09  2.720441e-04  4.838405e-07  2.713994e-07  1.283614e-38  2.987998e-27  1.748405e-15  9.206321e-17  2.766003e-08  9.473441e-02  2.202424e-05  5.764796e-06  5.673887e-15  6.792191e-07  1.669223e-16  5.954377e-09  1.348114e-07  6.696864e-29  8.541797e-10  7.277476e-19  6.603003e-08  2.887701e-12  2.604935e-07  2.918675e-18  8.119457e-10  1.292451e-13  6.275877e-14  1.493192e-15  1.239418e-10  4.219029e-11  1.462291e-23  8.093297e-09  1.058172e-08  9.170748e-11  2.588891e-11  4.540793e-28  3.121181e-10  1.117915e-11  1.289134e-27  1.086951e-11  1.444571e-13  1.233189e-10  2.214154e-13  7.138664e-01  0.000000e+00  1.526346e-13  6.324959e-10  9.408927e-16  1.953164e-09  1.000000e+00  
1.000000e+05  4.750000e-04  1.124384e-03  1.095978e+00  4.224536e-01  4.630000e-01  3.067027e+02  1.865191e-03  4.315709e-13  1.065308e-09  1.894463e-01  5.056099e-09  5.070675e-04  9.557255e-07  5.345235e-07  9.345725e-37  5.537779e-26  8.935365e-15  4.736519e-16  4.997121e-08  9.459087e-02  4.351418e-05  1.313612e-05  3.653481e-14  1.546157e-06  1.092235e-15  2.010818e-08  3.121932e-07  4.891671e-28  1.887711e-09  4.826474e-18  1.489912e-07  1.262226e-11  6.159083e-07  2.026905e-17  2.028678e-09  3.229232e-13  1.122444e-13  6.591975e-15  1.987602e-10  8.028734e-11  6.382770e-23  1.616756e-08  2.269986e-08  2.100245e-10  5.122496e-11  3.411284e-27  7.211866e-10  2.596404e-11  2.362860e-26  2.483145e-11  3.300129e-13  2.817226e-10  5.050125e-13  7.135297e-01  0.000000e+00  4.376993e-13  1.749657e-09  3.719768e-15  4.907155e-09  1.000000e+00  
