int_time      x             tau           rho           u             mdot          T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
1.000000e+07  0.000000e+00  0.000000e+00  3.121605e-02  1.483211e+00  4.630000e-02  3.737000e+02  2.659434e-01  9.123674e-02  1.198510e-03  3.181936e-04  2.119369e-08  3.488993e-05  1.718355e-05  7.004791e-07  6.412504e-01  1.000000e+00  
1.000000e+07  5.000000e-05  3.329525e-05  3.083140e-02  1.501716e+00  4.630000e-02  3.784530e+02  2.657156e-01  9.123466e-02  1.266256e-03  3.218979e-04  2.208084e-08  3.637921e-05  1.832773e-05  7.474700e-07  6.414061e-01  1.000000e+00  
1.000000e+07  1.250000e-04  8.180582e-05  3.030088e-02  1.528009e+00  4.630000e-02  3.852155e+02  2.653581e-01  9.123066e-02  1.370852e-03  3.460172e-04  2.977438e-08  3.861829e-05  1.928894e-05  8.084669e-07  6.416357e-01  1.000000e+00  
1.000000e+07  1.750000e-04  1.132187e-04  2.995442e-02  1.545682e+00  4.630000e-02  3.897627e+02  2.651123e-01  9.122637e-02  1.444938e-03  3.674254e-04  3.712630e-08  4.016211e-05  1.975973e-05  8.482948e-07  6.417881e-01  1.000000e+00  
1.000000e+07  2.250000e-04  1.439290e-04  2.961739e-02  1.563271e+00  4.630000e-02  3.942905e+02  2.648610e-01  9.122107e-02  1.521767e-03  3.936906e-04  4.682036e-08  4.172538e-05  2.006498e-05  8.860537e-07  6.419397e-01  1.000000e+00  
1.000000e+07  2.750000e-04  1.739621e-04  2.928889e-02  1.580804e+00  4.630000e-02  3.988060e+02  2.646043e-01  9.121472e-02  1.601380e-03  4.245350e-04  5.927066e-08  4.330178e-05  2.022447e-05  9.217111e-07  6.420905e-01  1.000000e+00  
1.000000e+07  3.250000e-04  2.033410e-04  2.896828e-02  1.598300e+00  4.630000e-02  4.033136e+02  2.643423e-01  9.120729e-02  1.683824e-03  4.597729e-04  7.505744e-08  4.488358e-05  2.025595e-05  9.552552e-07  6.422406e-01  1.000000e+00  
1.000000e+07  3.750000e-04  2.320876e-04  2.865508e-02  1.615769e+00  4.630000e-02  4.078163e+02  2.640751e-01  9.119876e-02  1.769147e-03  4.992804e-04  9.492239e-08  4.646192e-05  2.017578e-05  9.866925e-07  6.423900e-01  1.000000e+00  
1.000000e+07  4.250000e-04  2.602225e-04  2.834895e-02  1.633218e+00  4.630000e-02  4.123155e+02  2.638027e-01  9.118908e-02  1.857399e-03  5.429761e-04  1.197789e-07  4.802722e-05  1.999926e-05  1.016046e-06  6.425386e-01  1.000000e+00  
1.000000e+07  4.750000e-04  2.877660e-04  2.804961e-02  1.650647e+00  4.630000e-02  4.168116e+02  2.635252e-01  9.117824e-02  1.948628e-03  5.908080e-04  1.507307e-07  4.956954e-05  1.974077e-05  1.043351e-06  6.426866e-01  1.000000e+00  
