int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  0.000000e+00  2.204307e-01  1.500000e+00  1.016259e+00  1.200000e+03  2.056058e-01  5.205604e-01  2.718022e-01  7.370030e-04  4.180547e-04  7.212847e-04  1.403178e-04  1.498775e-05  2.280952e-28  1.000000e+00  
1.000000e+04  2.600000e-04  2.244531e-01  1.510145e+00  1.321484e+00  1.200000e+03  4.164148e-02  3.617492e-01  5.928157e-01  9.530595e-04  8.782594e-04  1.530408e-03  3.900049e-04  4.184431e-05  6.362778e-28  1.000000e+00  
1.000000e+04  6.600000e-04  2.262604e-01  1.528102e+00  1.331512e+00  1.200000e+03  1.708492e-02  3.455480e-01  6.359613e-01  1.777707e-04  2.329870e-04  6.566428e-04  2.858555e-04  5.247373e-05  2.103092e-27  1.000000e+00  
1.000000e+04  9.000000e-04  2.265874e-01  1.543256e+00  1.335091e+00  1.200000e+03  1.211658e-02  3.420384e-01  6.450689e-01  6.097075e-05  8.546815e-05  3.199899e-04  2.394956e-04  7.025349e-05  5.005660e-27  1.000000e+00  
1.000000e+04  1.200000e-03  2.267822e-01  1.562930e+00  1.351153e+00  1.200000e+03  9.444846e-03  3.402900e-01  6.498128e-01  1.567585e-05  2.186935e-05  1.058599e-04  1.988203e-04  1.101090e-04  1.370952e-26  1.000000e+00  
1.000000e+04  1.550000e-03  2.268855e-01  1.585797e+00  1.359314e+00  1.200000e+03  8.361883e-03  3.397633e-01  6.515040e-01  5.833772e-06  8.080172e-06  4.413486e-05  1.695405e-04  1.431516e-04  4.185865e-26  1.000000e+00  
1.000000e+04  1.900000e-03  2.269575e-01  1.608022e+00  1.374200e+00  1.200000e+03  7.630923e-03  3.394326e-01  6.525936e-01  2.830140e-06  3.915952e-06  2.316064e-05  1.442733e-04  1.687381e-04  1.290744e-25  1.000000e+00  
1.000000e+04  2.300000e-03  2.270218e-01  1.632483e+00  1.384766e+00  1.200000e+03  7.018458e-03  3.391909e-01  6.534582e-01  1.965865e-06  2.736961e-06  1.734910e-05  1.284794e-04  1.818866e-04  4.409102e-25  1.000000e+00  
1.000000e+04  2.800000e-03  2.270901e-01  1.661687e+00  1.402253e+00  1.200000e+03  6.342583e-03  3.389106e-01  6.544236e-01  1.585425e-06  2.234973e-06  1.538039e-05  1.170086e-04  1.869744e-04  1.793434e-24  1.000000e+00  
1.000000e+04  3.450000e-03  2.271609e-01  1.696615e+00  1.432288e+00  1.200000e+03  5.657309e-03  3.386452e-01  6.553885e-01  1.337316e-06  1.914452e-06  1.445940e-05  1.080398e-04  1.832185e-04  1.790272e-24  1.000000e+00  
1.000000e+04  4.100000e-03  2.272186e-01  1.728262e+00  1.453148e+00  1.200000e+03  5.115009e-03  3.384524e-01  6.561394e-01  1.162383e-06  1.686022e-06  1.383225e-05  1.011145e-04  1.754362e-04  1.782744e-24  1.000000e+00  
1.000000e+04  4.700000e-03  2.272655e-01  1.754593e+00  1.480238e+00  1.200000e+03  4.662842e-03  3.382873e-01  6.567734e-01  1.023624e-06  1.501927e-06  1.330106e-05  9.501792e-05  1.656871e-04  1.753747e-24  1.000000e+00  
1.000000e+04  5.300000e-03  2.273058e-01  1.778368e+00  1.495869e+00  1.200000e+03  4.270446e-03  3.381436e-01  6.573264e-01  9.075666e-07  1.345656e-06  1.282027e-05  8.945505e-05  1.550289e-04  1.618373e-24  1.000000e+00  
1.000000e+04  5.950000e-03  2.273425e-01  1.800475e+00  1.536562e+00  1.200000e+03  3.903569e-03  3.380054e-01  6.578495e-01  8.025623e-07  1.202201e-06  1.234617e-05  8.394466e-05  1.432112e-04  8.844926e-25  1.000000e+00  
1.000000e+04  6.450000e-03  2.273664e-01  1.814781e+00  1.550078e+00  1.200000e+03  3.696925e-03  3.379492e-01  6.581219e-01  7.457456e-07  1.123893e-06  1.208322e-05  8.097725e-05  1.370693e-04  8.882662e-25  1.000000e+00  
