int_time      x             rho           u             G             T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2(S)        CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         N             NH            NH2           NH3           NNH           NO            NO2           N2O           HNO           CN            HCN           H2CN          HCNN          HCNO          HOCN          HNCO          NCO           N2            AR            C3H7          C3H8          CH2CHO        CH3CHO        sumfracs      
1.000000e+04  0.000000e+00  8.831188e-01  1.000000e+00  1.000000e+00  3.000000e+02  2.502205e-08  5.074053e-14  6.754720e-21  6.595655e-15  3.921683e-24  2.501907e-12  1.468318e-19  4.971560e-20  1.105185e-24  5.920869e-35  4.179575e-23  7.651067e-31  7.198355e-16  5.000000e-01  3.253486e-13  1.433487e-14  2.586023e-21  1.325147e-17  7.209372e-23  2.868460e-21  2.307798e-18  7.093512e-31  1.829254e-14  9.803895e-22  3.698868e-15  2.907233e-19  6.433421e-16  1.311535e-20  9.005195e-18  1.098217e-18  1.477327e-22  2.703066e-19  2.947458e-19  7.285481e-16  1.081853e-24  5.221491e-16  2.284651e-20  1.198950e-20  7.617049e-21  3.523903e-27  1.071862e-16  4.435414e-20  3.847837e-27  1.670172e-18  2.388086e-20  8.586217e-18  2.150586e-24  5.000000e-01  0.000000e+00  1.945682e-21  1.109648e-19  1.173114e-20  1.053007e-20  1.000000e+00  
1.000000e+04  2.600000e-04  8.828127e-01  9.780418e-01  7.041191e+00  3.001040e+02  1.096860e-07  1.623590e-13  5.933277e-20  8.457646e-14  3.497658e-23  2.991309e-11  1.893616e-18  6.446568e-19  1.026422e-23  4.927127e-34  5.030486e-22  9.208731e-30  8.828838e-15  4.999999e-01  4.221228e-12  2.379708e-13  4.377776e-20  2.258514e-16  1.223245e-21  4.867040e-20  3.992814e-17  1.122263e-29  2.918592e-13  1.576722e-20  6.117501e-14  5.144466e-18  1.146160e-14  1.412523e-19  1.746006e-16  2.129318e-17  1.431690e-21  2.272383e-18  2.519145e-18  9.060911e-15  1.410314e-23  6.811616e-15  3.450397e-19  2.006064e-19  9.901938e-20  4.583773e-26  1.859436e-15  7.752751e-19  4.144165e-26  2.784589e-17  3.981529e-19  1.431534e-16  3.572075e-23  4.999999e-01  0.000000e+00  4.360634e-20  2.496087e-18  2.283183e-19  2.056921e-19  1.000000e+00  
1.000000e+04  6.600000e-04  8.820598e-01  8.946342e-01  7.429468e+00  3.003600e+02  6.696224e-07  7.029642e-13  7.818879e-19  1.615322e-12  4.656135e-22  5.237563e-10  3.636470e-17  1.246395e-17  1.340816e-22  3.793100e-32  8.943975e-21  1.713467e-28  1.560832e-13  4.999997e-01  8.070411e-11  5.860588e-12  1.093938e-18  5.733435e-15  3.025262e-20  1.240569e-18  1.024884e-15  2.619750e-28  6.810348e-12  5.727638e-19  1.493463e-12  1.343717e-16  3.018524e-13  2.225514e-18  5.032723e-15  6.071374e-16  2.020360e-20  2.765596e-17  3.133742e-17  1.654404e-13  6.172234e-23  1.308479e-13  7.841991e-18  5.009257e-18  1.894032e-18  8.622724e-25  4.797764e-14  2.014587e-17  6.452542e-25  6.901046e-16  9.886219e-18  3.546297e-15  8.821190e-22  4.999997e-01  0.000000e+00  1.450120e-18  8.331572e-17  6.607052e-18  6.038500e-18  1.000000e+00  
1.000000e+04  9.000000e-04  8.804753e-01  8.443361e-01  7.589751e+00  3.009000e+02  2.564129e-06  2.006168e-12  5.957339e-18  1.757103e-11  3.657562e-21  5.275624e-09  3.976031e-16  1.371289e-16  1.037439e-21  1.103440e-30  9.115919e-20  1.916412e-27  1.606777e-12  4.999987e-01  8.827478e-10  8.170017e-11  1.548171e-17  8.216732e-14  4.267359e-19  1.778199e-17  1.487332e-14  3.482450e-27  9.063405e-11  1.012565e-17  2.068598e-11  1.987876e-15  4.498809e-12  2.026498e-17  8.169996e-14  9.799430e-15  1.658797e-19  1.977408e-16  2.282922e-16  1.733236e-12  1.801772e-22  1.438340e-12  1.005051e-16  7.060070e-17  2.073743e-17  9.362774e-24  6.989808e-13  2.954587e-16  5.834555e-24  9.670623e-15  1.386927e-16  4.968632e-14  1.231702e-20  4.999987e-01  0.000000e+00  2.710405e-17  1.562905e-15  1.076137e-16  9.932295e-17  1.000000e+00  
1.000000e+04  1.200000e-03  8.746550e-01  7.830901e-01  8.007051e+00  3.029000e+02  1.111879e-05  6.399698e-12  5.210321e-17  2.209971e-10  3.692647e-20  6.147230e-08  5.025219e-15  1.744465e-15  9.300260e-21  4.150513e-29  1.074439e-18  2.951985e-26  1.919684e-11  4.999942e-01  1.118273e-08  1.321980e-09  2.541847e-16  1.366055e-12  7.004903e-18  2.952923e-16  2.505979e-13  5.403512e-26  1.402286e-09  1.965470e-16  3.327662e-10  3.418464e-14  7.793192e-11  2.132147e-16  1.541265e-12  1.840996e-13  1.571401e-18  1.627677e-15  1.914005e-15  2.101488e-11  6.245244e-22  1.831539e-11  1.490294e-15  1.154075e-15  2.629496e-16  1.181014e-22  1.181706e-11  5.025073e-15  6.100615e-23  1.572568e-13  2.257235e-15  8.078736e-13  1.995549e-19  4.999946e-01  0.000000e+00  5.898919e-16  3.413958e-14  2.035448e-15  1.895584e-15  1.000000e+00  
1.000000e+04  1.550000e-03  8.572197e-01  7.175336e-01  8.333400e+00  3.090500e+02  5.074795e-05  2.139865e-11  4.910662e-16  2.960932e-09  7.316354e-19  7.572266e-07  6.740034e-14  2.364774e-14  8.735152e-20  1.742746e-27  1.347420e-17  6.772899e-25  2.429535e-10  4.999719e-01  1.503331e-07  2.270713e-08  4.371766e-15  2.411844e-11  1.211966e-16  5.221529e-15  4.477588e-12  9.477378e-25  2.291912e-08  4.773606e-15  5.670581e-09  6.224758e-13  1.430633e-09  2.375467e-15  3.083614e-11  3.654273e-12  1.573426e-17  1.417421e-14  1.700533e-14  2.695745e-10  2.676142e-21  2.474661e-10  2.358993e-14  2.006870e-14  3.526770e-15  1.574078e-21  2.119663e-10  8.994355e-14  6.665667e-22  2.716023e-12  3.904988e-14  1.395046e-11  3.433981e-18  4.999764e-01  0.000000e+00  1.361236e-14  7.906894e-13  4.054816e-14  3.851432e-14  1.000000e+00  
1.000000e+04  1.900000e-03  8.137883e-01  6.683772e-01  9.052500e+00  3.255000e+02  2.098159e-04  6.553009e-11  4.124219e-15  3.493519e-08  3.062747e-17  8.197617e-06  7.905658e-13  2.822177e-13  7.336777e-19  5.936644e-26  1.493006e-16  2.016004e-23  2.715289e-09  4.998683e-01  1.783317e-06  3.421118e-07  6.482249e-14  3.722305e-10  1.840940e-15  8.051410e-14  6.997809e-11  1.768686e-23  3.297186e-07  9.388812e-14  8.480325e-08  9.940261e-12  2.303780e-08  2.339200e-14  5.392567e-10  6.353327e-11  1.394015e-16  1.098318e-13  1.342626e-13  3.037909e-09  1.514517e-20  2.950793e-09  3.271078e-13  3.057895e-13  4.151253e-14  1.864257e-20  3.322580e-09  1.383958e-12  6.315761e-21  4.113687e-11  5.922214e-13  2.112724e-10  5.182335e-17  4.999111e-01  0.000000e+00  2.749973e-13  1.603098e-11  6.967885e-13  6.825446e-13  1.000000e+00  
1.000000e+04  2.300000e-03  7.273658e-01  6.369522e-01  9.567098e+00  3.640000e+02  8.393309e-04  1.971126e-10  3.458844e-14  3.927635e-07  1.448398e-15  8.336259e-05  8.574994e-12  3.209410e-12  5.988333e-18  1.929108e-24  1.596339e-15  9.869346e-22  2.890771e-08  4.993255e-01  2.014410e-05  4.867286e-06  8.385132e-13  5.393157e-09  2.620441e-14  1.147974e-12  1.026479e-09  7.432945e-22  4.477954e-06  1.788548e-12  1.195188e-06  1.491757e-10  3.497153e-07  2.194213e-13  8.852275e-09  1.035389e-09  1.168473e-15  8.162354e-13  1.014117e-12  3.219284e-08  1.519884e-19  3.350561e-08  4.300987e-12  4.403533e-12  4.521640e-13  2.135276e-19  4.882615e-08  1.829205e-11  5.108226e-20  5.887341e-10  8.489951e-12  3.023377e-09  7.397623e-16  4.997202e-01  0.000000e+00  5.229626e-12  3.058190e-10  1.058721e-11  1.136984e-11  1.000000e+00  
1.000000e+04  2.800000e-03  5.451419e-01  6.755527e-01  1.117587e+01  4.850500e+02  3.126428e-03  6.259380e-10  2.245955e-13  3.966497e-06  3.000983e-14  7.392002e-04  7.995825e-11  3.277776e-11  5.404973e-17  6.268601e-23  1.581954e-14  2.008075e-19  2.826308e-07  4.962413e-01  2.047994e-04  6.117720e-05  7.857856e-12  6.788183e-08  3.312798e-13  1.246244e-11  1.309108e-08  1.180295e-19  5.395489e-05  2.582091e-11  1.483762e-05  1.959991e-09  4.678959e-06  1.882358e-12  1.264488e-07  1.469270e-08  9.004318e-15  5.652351e-12  6.964946e-12  2.982912e-07  5.645557e-18  3.424482e-07  4.995890e-11  5.590481e-11  4.163605e-12  2.479757e-18  6.214638e-07  1.561232e-10  2.922580e-19  7.448018e-09  1.075783e-10  3.824678e-08  9.430860e-15  4.995479e-01  0.000000e+00  8.742740e-11  5.116271e-09  1.238406e-10  1.646563e-10  1.000000e+00  
1.000000e+04  3.450000e-03  3.601514e-01  7.229329e-01  1.267020e+01  7.336500e+02  9.958583e-03  4.495168e-09  8.788746e-13  3.203393e-05  7.358035e-13  5.048266e-03  6.082812e-10  2.676149e-10  1.234938e-15  7.859285e-21  2.615444e-13  1.583369e-16  2.646718e-06  4.798253e-01  1.665387e-03  5.994085e-04  1.800452e-11  6.516785e-07  4.170562e-12  1.756948e-11  1.273335e-07  1.372049e-16  5.083556e-04  3.820265e-10  1.429549e-04  1.918415e-08  4.828595e-05  1.790816e-11  1.377513e-06  1.588648e-07  7.589438e-14  3.754720e-11  4.055029e-11  2.136353e-06  4.258097e-16  2.798865e-06  4.425605e-10  5.471740e-10  2.630570e-11  1.133367e-16  6.003806e-06  3.759965e-12  1.587728e-18  7.350996e-08  1.063811e-09  3.774792e-07  1.045776e-13  5.021550e-01  0.000000e+00  1.005726e-09  6.470930e-08  7.798187e-10  1.817588e-09  1.000000e+00  
