int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  0.000000e+00  8.200267e-02  1.000000e+00  3.755636e+00  3.000000e+02  9.986465e-01  8.557133e-12  5.562213e-04  1.805476e-09  1.341735e-15  2.246889e-18  6.220974e-14  7.618922e-14  7.972858e-04  1.000000e+00  
1.000000e+04  2.600000e-04  8.176451e-02  9.920217e-01  5.610970e+00  3.102827e+02  9.957554e-01  2.685012e-11  1.676071e-03  3.550863e-09  3.637037e-15  6.100989e-18  1.952920e-13  2.392852e-13  2.568492e-03  1.000000e+00  
1.000000e+04  6.600000e-04  7.935334e-02  9.170105e-01  6.363621e+00  3.490671e+02  9.870495e-01  8.136288e-11  4.941007e-03  8.681740e-08  1.322143e-14  2.800686e-16  5.885188e-13  7.255896e-13  8.009424e-03  1.000000e+00  
1.000000e+04  9.000000e-04  7.414433e-02  9.013109e-01  7.219734e+00  4.117806e+02  9.765441e-01  1.458429e-10  8.706281e-03  1.612935e-06  2.665228e-14  1.701855e-14  1.008889e-12  1.300775e-12  1.474805e-02  1.000000e+00  
1.000000e+04  1.200000e-03  6.427821e-02  8.910534e-01  9.890615e+00  5.432776e+02  9.603184e-01  2.439607e-10  1.432737e-02  2.555371e-05  6.873485e-14  2.685051e-12  1.230810e-12  2.170630e-12  2.532871e-02  1.000000e+00  
1.000000e+04  1.550000e-03  5.341482e-02  7.669392e-01  1.524953e+01  7.660873e+02  9.380485e-01  3.857898e-10  2.173191e-02  2.516120e-04  1.289318e-12  1.266602e-09  6.922554e-13  3.349183e-12  3.996801e-02  1.000000e+00  
1.000000e+04  1.900000e-03  4.626716e-02  4.210569e-01  2.036669e+01  1.031887e+03  9.125732e-01  5.796360e-10  2.992787e-02  7.379683e-04  6.818279e-11  6.825267e-08  4.468605e-13  4.974575e-12  5.676093e-02  1.000000e+00  
1.000000e+04  2.300000e-03  4.231538e-02  -1.687346e-01  2.204580e+01  1.328141e+03  8.808592e-01  9.395576e-10  4.003718e-02  1.483641e-03  1.605227e-09  9.986303e-07  3.898654e-13  8.930457e-12  7.761902e-02  1.000000e+00  
1.000000e+04  2.800000e-03  4.134647e-02  -8.739527e-01  1.876697e+01  1.635284e+03  8.379742e-01  2.074915e-09  5.380418e-02  2.531906e-03  1.749050e-08  7.046138e-06  5.742143e-13  1.715687e-11  1.056826e-01  1.000000e+00  
1.000000e+04  3.450000e-03  4.367684e-02  -1.423241e+00  1.294902e+01  1.919351e+03  7.768788e-01  8.669245e-09  7.359716e-02  4.076625e-03  1.292621e-07  3.296464e-05  3.217401e-12  3.740144e-11  1.454143e-01  1.000000e+00  
1.000000e+04  4.100000e-03  4.827698e-02  -1.611052e+00  9.407361e+00  2.114077e+03  7.080531e-01  4.175343e-08  9.598981e-02  5.889886e-03  5.742800e-07  9.716555e-05  2.944507e-11  9.453017e-11  1.899694e-01  1.000000e+00  
1.000000e+04  4.700000e-03  5.396344e-02  -1.625933e+00  7.798816e+00  2.242356e+03  6.364291e-01  1.669504e-07  1.193253e-01  7.826923e-03  1.848495e-06  2.176885e-04  1.665721e-10  2.367301e-10  2.361990e-01  1.000000e+00  
1.000000e+04  5.300000e-03  6.079853e-02  -1.587364e+00  6.835401e+00  2.335349e+03  5.570300e-01  6.420790e-07  1.451869e-01  1.000072e-02  5.352653e-06  4.399696e-04  7.235874e-10  6.131141e-10  2.873364e-01  1.000000e+00  
1.000000e+04  5.950000e-03  6.929032e-02  -1.530289e+00  6.086792e+00  2.407311e+03  4.630914e-01  2.640842e-06  1.757020e-01  1.254321e-02  1.595375e-05  8.811945e-04  2.933246e-09  1.769721e-09  3.477636e-01  1.000000e+00  
1.000000e+04  6.450000e-03  7.669432e-02  -1.481202e+00  5.559166e+00  2.449088e+03  3.835030e-01  8.759080e-06  2.013421e-01  1.466647e-02  3.808339e-05  1.500580e-03  8.504158e-09  4.275536e-09  3.989410e-01  1.000000e+00  
1.000000e+04  6.750000e-03  8.155646e-02  -1.450341e+00  5.306745e+00  2.469554e+03  3.321435e-01  1.881899e-05  2.176931e-01  1.600161e-02  6.670496e-05  2.094161e-03  1.645443e-08  7.624188e-09  4.319821e-01  1.000000e+00  
1.000000e+04  6.950000e-03  8.498258e-02  -1.429764e+00  5.134987e+00  2.480429e+03  2.966319e-01  3.401816e-05  2.288374e-01  1.693110e-02  9.960298e-05  2.642083e-03  2.634632e-08  1.158872e-08  4.548238e-01  1.000000e+00  
1.000000e+04  7.100000e-03  8.763270e-02  -1.414681e+00  5.019590e+00  2.487278e+03  2.695108e-01  5.190598e-05  2.372352e-01  1.761929e-02  1.362899e-04  3.161865e-03  3.749206e-08  1.610370e-08  4.722846e-01  1.000000e+00  
1.000000e+04  7.250000e-03  9.036150e-02  -1.399789e+00  4.899194e+00  2.491988e+03  2.422367e-01  8.567701e-05  2.455155e-01  1.832084e-02  1.899068e-04  3.807287e-03  5.490609e-08  2.287672e-08  4.898440e-01  1.000000e+00  
1.000000e+04  7.400000e-03  9.315144e-02  -1.385349e+00  4.787394e+00  2.495048e+03  2.149130e-01  1.392015e-04  2.536104e-01  1.899028e-02  2.684828e-04  4.610691e-03  8.058034e-08  3.305293e-08  5.074679e-01  1.000000e+00  
1.000000e+04  7.600000e-03  9.700057e-02  -1.366308e+00  4.636453e+00  2.494589e+03  1.789036e-01  2.881494e-04  2.637549e-01  1.984154e-02  4.401704e-04  6.016735e-03  1.396367e-07  5.619219e-08  5.307547e-01  1.000000e+00  
1.000000e+04  7.800000e-03  1.010970e-01  -1.346203e+00  4.489269e+00  2.487642e+03  1.433209e-01  6.402052e-04  2.727781e-01  2.056302e-02  7.574528e-04  7.987745e-03  2.537708e-07  1.013295e-07  5.539522e-01  1.000000e+00  
1.000000e+04  7.950000e-03  1.045079e-01  -1.328403e+00  4.378603e+00  2.474859e+03  1.170408e-01  1.292839e-03  2.781455e-01  2.094058e-02  1.190809e-03  1.001840e-02  4.229632e-07  1.670631e-07  5.713704e-01  1.000000e+00  
1.000000e+04  8.050000e-03  1.069780e-01  -1.315076e+00  4.308148e+00  2.462396e+03  9.995780e-02  2.095776e-03  2.806419e-01  2.098324e-02  1.636036e-03  1.169418e-02  6.046912e-07  2.383614e-07  5.829902e-01  1.000000e+00  
1.000000e+04  8.150000e-03  1.096743e-01  -1.299994e+00  4.238333e+00  2.445156e+03  8.369891e-02  3.472492e-03  2.817334e-01  2.075868e-02  2.259223e-03  1.360316e-02  8.776435e-07  3.442624e-07  5.944729e-01  1.000000e+00  
1.000000e+04  8.250000e-03  1.126810e-01  -1.282491e+00  4.169049e+00  2.421861e+03  6.862118e-02  5.779492e-03  2.809172e-01  2.015996e-02  3.095999e-03  1.564223e-02  1.276983e-06  4.980470e-07  6.057821e-01  1.000000e+00  
1.000000e+04  8.350000e-03  1.161105e-01  -1.261771e+00  4.100142e+00  2.391069e+03  5.514058e-02  9.524628e-03  2.776493e-01  1.908645e-02  4.134140e-03  1.757491e-02  1.839643e-06  7.105821e-07  6.168874e-01  1.000000e+00  
1.000000e+04  8.500000e-03  1.219763e-01  -1.226720e+00  3.999646e+00  2.333739e+03  3.837843e-02  1.796673e-02  2.685678e-01  1.657244e-02  5.819826e-03  1.967666e-02  2.910991e-06  1.127341e-06  6.330140e-01  1.000000e+00  
1.000000e+04  8.700000e-03  1.325607e-01  -1.162939e+00  3.860567e+00  2.218456e+03  2.261490e-02  3.622300e-02  2.480873e-01  1.232363e-02  7.495124e-03  1.957000e-02  4.782510e-06  1.859777e-06  6.536794e-01  1.000000e+00  
1.000000e+04  8.900000e-03  1.477480e-01  -1.078245e+00  3.718983e+00  2.055028e+03  1.238098e-02  6.136389e-02  2.204234e-01  8.066178e-03  7.694998e-03  1.609066e-02  7.216917e-06  2.786117e-06  6.739699e-01  1.000000e+00  
1.000000e+04  9.150000e-03  1.752929e-01  -9.533679e-01  3.538596e+00  1.797024e+03  4.950134e-03  9.682137e-02  1.808892e-01  3.730299e-03  5.651148e-03  9.305396e-03  1.133893e-05  3.755243e-06  6.986374e-01  1.000000e+00  
1.000000e+04  9.400000e-03  2.255417e-01  -7.869424e-01  3.332167e+00  1.441947e+03  1.788063e-03  1.333594e-01  1.353332e-01  1.358477e-03  2.779002e-03  3.189711e-03  2.052966e-05  3.338432e-06  7.221683e-01  1.000000e+00  
