int_time      x             tau           rho           u             mdot          T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2*          CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         AR            C2H3O         N2            C2O           C3H2          C3H3          PC3H4         AC3H4         C4H           C4H2          H2C4O         N-C4H3        I-C4H3        C4H4          N-C4H5        I-C4H5        C4H6          C4H612        C5H2          C5H3          C6H           C6H2          C6H3          L-C6H4        C-C6H4        N-C6H5        I-C6H5        L-C6H6        N-C6H7        I-C6H7        C-C6H7        C6H8          A1            A1-           C6H5O         C6H5OH        C5H6          C5H5          C5H5O         C5H4OH        C5H4O         N-A1C2H2      I-A1C2H2      A1C2H3        A1C2H3*       A1C2H         A1C2H*        A1C2H-        A1C2H)2       A2            A2-1          A2-2          NAPHTHYNE     A2C2HA        A2C2HB        A2C2HA*       A2C2HB*       A2C2H2        A2C2H)2       A3-1          A3-4          A3            A3C2H         A3C2H2        A4            P2            P2-           P2-H          A4-           A2R5          A2R5-         sumfracs      M$0           M$1           M$2           M$3           M$4           M$5           
1.000000e+05  0.000000e+00  0.000000e+00  6.285197e-02  8.543885e-01  5.370000e-02  3.000000e+02  3.554365e-01  1.307904e-07  7.179673e-09  2.921140e-01  4.508235e-06  3.218047e-02  6.612325e-05  1.977933e-05  6.536976e-22  2.819072e-16  3.333969e-10  7.828750e-11  2.478114e-05  3.619062e-03  1.472225e-02  8.997691e-04  1.319190e-08  3.106705e-04  2.996370e-10  7.944588e-05  1.315635e-04  3.613275e-12  6.664648e-03  4.923267e-09  2.920426e-01  1.440283e-04  1.021637e-03  6.710374e-09  4.007378e-04  1.283224e-06  3.356602e-130  3.038996e-05  1.486760e-126  3.687746e-12  4.679086e-12  6.571803e-07  2.579287e-06  1.863165e-05  1.463383e-20  2.157165e-05  9.621428e-06  2.357358e-07  7.104703e-12  1.552176e-05  8.656802e-08  2.254166e-11  7.331522e-06  5.355272e-06  1.225140e-14  1.352305e-13  3.094135e-21  2.842919e-07  1.303432e-13  2.370714e-08  5.564269e-08  3.990373e-11  2.019536e-14  2.272747e-08  1.614221e-14  7.491666e-15  2.319675e-08  8.431849e-09  2.078945e-06  9.626181e-09  1.317657e-09  1.650535e-08  8.000154e-08  7.484593e-09  5.414106e-07  7.839622e-07  9.269500e-10  1.988339e-13  2.402785e-10  1.986804e-08  4.580026e-11  5.809960e-08  1.335961e-10  1.566244e-10  4.148677e-11  1.082885e-09  7.542249e-12  2.941359e-12  1.290699e-10  9.493478e-12  8.673999e-12  2.043858e-14  1.800952e-14  2.651281e-18  6.579800e-22  2.251377e-14  2.326476e-14  9.486982e-12  2.278145e-14  4.859945e-17  4.559744e-13  2.944767e-11  8.449234e-14  1.394912e-13  1.175127e-15  7.673847e-11  2.476556e-13  1.000000e+00  1.500000e+01  1.846574e+01  2.193147e+01  2.539721e+01  2.886294e+01  3.232868e+01  
1.000000e+05  5.000000e-05  5.723386e-05  6.146916e-02  8.736088e-01  5.370000e-02  3.028000e+02  3.624781e-01  1.326019e-07  7.727427e-09  2.847309e-01  4.859248e-06  3.590331e-02  7.442890e-05  2.228110e-05  7.074016e-22  3.019157e-16  3.719229e-10  8.733408e-11  2.771121e-05  4.046839e-03  1.658560e-02  1.055294e-03  1.553301e-08  3.662587e-04  3.531359e-10  9.363033e-05  1.555270e-04  4.197904e-12  7.752525e-03  5.735900e-09  2.846883e-01  1.706902e-04  1.212280e-03  7.390651e-09  4.841787e-04  1.550403e-06  3.798389e-130  3.674717e-05  1.672387e-126  4.318011e-12  5.515063e-12  8.038391e-07  3.157894e-06  2.281126e-05  1.873155e-20  2.763392e-05  1.244922e-05  3.022165e-07  9.108324e-12  1.991394e-05  1.111446e-07  2.894121e-11  9.419558e-06  6.880466e-06  1.581860e-14  1.747020e-13  4.016637e-21  3.692108e-07  1.693483e-13  3.136371e-08  7.388620e-08  5.281368e-11  2.672911e-14  3.009296e-08  2.138228e-14  9.923601e-15  3.084121e-08  1.117345e-08  2.762919e-06  1.278781e-08  1.760589e-09  2.206047e-08  1.035165e-07  9.679563e-09  7.203958e-07  1.043133e-06  1.232902e-09  2.814905e-13  3.401639e-10  2.813578e-08  6.483975e-11  8.065981e-08  1.854168e-10  2.173775e-10  6.045263e-11  1.578633e-09  1.099268e-11  4.286974e-12  1.880748e-10  1.429487e-11  1.306094e-11  3.077023e-14  2.711329e-14  3.992867e-18  1.039994e-21  3.559002e-14  3.677720e-14  1.499924e-11  3.717063e-14  7.930498e-17  7.439761e-13  4.377598e-11  1.255830e-13  2.073969e-13  1.917133e-15  1.155495e-10  3.728449e-13  1.000000e+00  2.540347e+01  2.887204e+01  3.234343e+01  3.582049e+01  3.930876e+01  4.281891e+01  
1.000000e+05  1.250000e-04  1.383340e-04  5.942829e-02  9.036101e-01  5.370000e-02  3.070000e+02  3.729013e-01  2.303738e-07  1.076742e-08  2.730698e-01  6.538292e-06  4.205184e-02  8.644557e-05  2.569422e-05  4.884161e-21  1.146072e-15  8.199124e-10  1.605766e-10  3.839531e-05  4.758077e-03  1.970905e-02  1.326311e-03  2.575587e-08  4.612748e-04  6.208617e-10  1.179006e-04  1.969816e-04  8.039418e-12  9.635974e-03  8.362444e-09  2.730073e-01  2.226772e-04  1.546990e-03  1.444210e-08  6.342158e-04  2.031186e-06  4.483494e-130  4.815983e-05  1.966941e-126  8.881141e-12  1.117246e-11  1.160104e-06  4.206546e-06  3.043152e-05  4.644158e-20  3.949382e-05  1.763209e-05  4.304811e-07  1.953127e-11  2.832422e-05  1.617896e-07  6.081878e-11  1.342526e-05  9.758751e-06  3.508847e-14  4.860375e-13  1.039146e-20  5.376584e-07  3.836575e-13  4.649769e-08  1.100722e-07  7.977012e-11  5.931868e-14  4.466420e-08  4.714315e-14  2.204621e-14  4.602170e-08  1.660160e-08  4.120307e-06  1.903184e-08  2.539613e-09  3.325854e-08  1.494101e-07  1.620702e-08  9.518324e-07  1.354573e-06  1.840825e-09  1.132216e-12  5.518748e-10  4.559540e-08  1.039383e-10  1.275103e-07  2.896940e-10  3.402226e-10  1.018530e-10  2.661494e-09  1.848060e-11  7.149151e-12  3.168886e-10  2.513973e-11  2.296963e-11  5.333586e-14  4.699993e-14  7.575489e-18  2.092705e-21  6.572446e-14  6.794038e-14  2.809622e-11  7.248815e-14  1.546810e-16  1.450933e-12  7.568236e-11  2.145574e-13  3.527612e-13  3.688349e-15  2.032051e-10  6.495844e-13  1.000000e+00  2.830221e+01  3.203695e+01  3.606618e+01  4.051298e+01  4.533268e+01  5.042293e+01  
1.000000e+05  1.750000e-04  1.892417e-04  5.807017e-02  9.247433e-01  5.370000e-02  3.098000e+02  3.798218e-01  3.710760e-07  1.419392e-08  2.645187e-01  8.339372e-06  4.682666e-02  9.542372e-05  2.808170e-05  2.466088e-20  3.438364e-15  1.534105e-09  2.641883e-10  4.991636e-05  5.314848e-03  2.218196e-02  1.552742e-03  3.824395e-08  5.404054e-04  9.554357e-10  1.377065e-04  2.316435e-04  1.313725e-11  1.119395e-02  1.131827e-08  2.643794e-01  2.687265e-04  1.830312e-03  2.426354e-08  7.648291e-04  2.449948e-06  5.003589e-130  5.810475e-05  2.191677e-126  1.543888e-11  1.937957e-11  1.527761e-06  5.133583e-06  3.719181e-05  8.962230e-20  5.084212e-05  2.242245e-05  5.522789e-07  3.464188e-11  3.627501e-05  2.113796e-07  1.061373e-10  1.722019e-05  1.245641e-05  6.476510e-14  1.076627e-12  2.126491e-20  7.017525e-07  7.295191e-13  6.139805e-08  1.458656e-07  1.069328e-10  1.076852e-13  5.902633e-08  8.488995e-14  4.005273e-14  6.106056e-08  2.195744e-08  5.464163e-06  2.518741e-08  3.252330e-09  4.449405e-08  1.935630e-07  2.373730e-08  1.124178e-06  1.571146e-06  2.443469e-09  3.398790e-12  7.796393e-10  6.435024e-08  1.451363e-10  1.766338e-07  3.967640e-10  4.667896e-10  1.480645e-10  3.871045e-09  2.681315e-11  1.029107e-11  4.606844e-10  3.776575e-11  3.450570e-11  7.902673e-14  6.963928e-14  1.205381e-17  3.269514e-21  1.022996e-13  1.057854e-13  4.431644e-11  1.179827e-13  2.517929e-16  2.361669e-12  1.122012e-10  3.144814e-13  5.146545e-13  5.928664e-15  3.052527e-10  9.673273e-13  1.000000e+00  2.918355e+01  3.364909e+01  3.919602e+01  4.543057e+01  5.202373e+01  5.888194e+01  
1.000000e+05  2.250000e-04  2.376526e-04  5.671976e-02  9.467600e-01  5.370000e-02  3.126000e+02  3.866714e-01  6.665423e-07  1.994477e-08  2.554013e-01  1.105729e-05  5.210748e-02  1.051852e-04  3.040200e-05  1.701364e-19  1.252054e-14  3.120281e-09  4.711594e-10  6.749278e-05  5.934732e-03  2.495819e-02  1.816802e-03  5.960126e-08  6.323825e-04  1.531719e-09  1.597797e-04  2.718735e-04  2.230035e-11  1.299869e-02  1.609782e-08  2.551040e-01  3.251288e-04  2.163005e-03  4.361091e-08  9.218213e-04  2.953675e-06  5.559677e-130  7.007853e-05  2.433548e-126  2.836611e-11  3.586532e-11  2.057878e-06  6.258706e-06  4.543050e-05  1.801268e-19  6.557631e-05  2.833704e-05  7.089548e-07  6.452674e-11  4.643755e-05  2.769914e-07  1.935960e-10  2.207909e-05  1.586255e-05  1.311263e-13  2.616032e-12  4.950536e-20  9.176708e-07  1.586036e-12  8.103512e-08  1.932002e-07  1.434802e-10  2.043618e-13  7.796987e-08  1.592064e-13  7.606744e-14  8.096985e-08  2.902726e-08  7.242345e-06  3.328783e-08  4.097945e-09  5.955174e-08  2.509067e-07  3.531843e-08  1.278704e-06  1.740491e-06  3.241769e-09  1.127737e-11  1.100965e-09  9.076229e-08  2.017450e-10  2.445496e-07  5.409549e-10  6.380298e-10  2.151256e-10  5.627410e-09  3.886848e-11  1.475642e-11  6.693837e-10  5.670456e-11  5.180956e-11  1.164871e-13  1.026410e-13  1.928021e-17  4.755847e-21  1.584798e-13  1.639624e-13  6.987000e-11  1.919458e-13  4.096963e-16  3.842447e-12  1.662354e-10  4.587462e-13  7.459722e-13  9.489019e-15  4.583142e-10  1.435956e-12  1.000000e+00  2.966457e+01  3.486644e+01  4.203664e+01  4.992246e+01  5.814629e+01  6.662802e+01  
1.000000e+05  2.750000e-04  2.807516e-04  5.482312e-02  9.795137e-01  5.370000e-02  3.186000e+02  3.934106e-01  1.315074e-06  3.062374e-08  2.457010e-01  1.512509e-05  5.791522e-02  1.162537e-04  3.259001e-05  1.495393e-18  5.274358e-14  6.684989e-09  9.009686e-10  9.449786e-05  6.621835e-03  2.806243e-02  2.123212e-03  9.778396e-08  7.389824e-04  2.519706e-09  1.835052e-04  3.181100e-04  3.857473e-11  1.507979e-02  2.502878e-08  2.451332e-01  3.932812e-04  2.550562e-03  8.342064e-08  1.109566e-03  3.556839e-06  6.148601e-130  8.444233e-05  2.691292e-126  5.473894e-11  7.040074e-11  2.837874e-06  7.616291e-06  5.542116e-05  4.608047e-19  8.469980e-05  3.550076e-05  9.101443e-07  1.316004e-10  5.936524e-05  3.633596e-07  3.799253e-10  2.827114e-05  2.012108e-05  3.168823e-13  6.916105e-12  1.537617e-19  1.201661e-06  4.484656e-12  1.067893e-07  2.554847e-07  1.923305e-10  4.196990e-13  1.028354e-07  3.073972e-13  1.563340e-13  1.071914e-07  3.831433e-08  9.583279e-06  4.388005e-08  5.051541e-09  7.966080e-08  3.251420e-07  5.276105e-08  1.388201e-06  1.816270e-06  4.293978e-09  3.866758e-11  1.552362e-09  1.277765e-07  2.786051e-10  3.379698e-07  7.327866e-10  8.673528e-10  3.119394e-10  8.164756e-09  5.624266e-11  2.103833e-11  9.707356e-10  8.496847e-11  7.763342e-11  1.703962e-13  1.501014e-13  2.941633e-17  6.587772e-21  2.437676e-13  2.523857e-13  1.099271e-10  3.115875e-13  6.651585e-16  6.238042e-12  2.457710e-10  6.642032e-13  1.071608e-12  1.508698e-14  6.867267e-10  2.121328e-12  1.000000e+00  3.007390e+01  3.591873e+01  4.458330e+01  5.393385e+01  6.362050e+01  7.355390e+01  
1.000000e+05  3.250000e-04  3.175635e-04  5.247127e-02  1.023417e+00  5.370000e-02  3.278000e+02  3.999794e-01  2.804973e-06  5.188403e-08  2.354469e-01  2.121774e-05  6.423456e-02  1.292802e-04  3.458054e-05  1.606326e-17  2.504351e-13  1.491647e-08  1.828604e-09  1.364022e-04  7.376775e-03  3.150561e-02  2.475273e-03  1.678181e-07  8.615354e-04  4.232142e-09  2.076004e-04  3.702674e-04  6.763975e-11  1.745784e-02  4.243853e-08  2.344608e-01  4.738887e-04  2.995054e-03  1.683128e-07  1.331804e-03  4.272417e-06  6.763943e-130  1.015223e-04  2.962239e-126  1.115875e-10  1.459938e-10  4.011496e-06  9.235345e-06  6.741127e-05  1.462947e-18  1.094092e-04  4.390979e-05  1.167386e-06  2.982866e-10  7.564524e-05  4.759575e-07  7.992147e-10  3.608363e-05  2.535035e-05  1.027103e-12  1.986149e-11  6.311249e-19  1.573476e-06  1.782879e-11  1.402229e-07  3.365851e-07  2.568163e-10  9.228528e-13  1.351429e-07  5.974659e-13  3.440340e-13  1.413532e-07  5.038998e-08  1.263250e-05  5.758022e-08  6.040817e-09  1.062785e-07  4.204127e-07  7.802836e-08  1.434248e-06  1.770577e-06  5.666417e-09  1.296965e-10  2.180700e-09  1.790924e-07  3.808672e-10  4.650963e-07  9.828417e-10  1.169243e-09  4.501533e-10  1.178990e-08  8.110762e-11  2.972358e-11  1.401087e-09  1.266817e-10  1.157453e-10  2.462486e-13  2.167941e-13  4.397401e-17  8.754111e-21  3.706294e-13  3.841504e-13  1.720189e-10  5.029106e-13  1.073743e-15  1.006961e-11  3.615269e-10  9.496448e-13  1.517527e-12  2.372452e-14  1.023803e-09  3.109206e-12  1.000000e+00  3.044945e+01  3.688018e+01  4.690638e+01  5.757786e+01  6.859278e+01  7.983930e+01  
1.000000e+05  3.750000e-04  3.508514e-04  5.024192e-02  1.068828e+00  5.370000e-02  3.370000e+02  4.063485e-01  6.364662e-06  9.826207e-08  2.246323e-01  3.041298e-05  7.107042e-02  1.452507e-04  3.632718e-05  2.009155e-16  1.309101e-12  3.439788e-08  3.910361e-09  2.025862e-04  8.202276e-03  3.530914e-02  2.877450e-03  3.005831e-07  1.001873e-03  7.276328e-09  2.301388e-04  4.278992e-04  1.212279e-10  2.016221e-02  7.702141e-08  2.230390e-01  5.669056e-04  3.496316e-03  3.555499e-07  1.593317e-03  5.118023e-06  7.401259e-130  1.217381e-04  3.244473e-126  2.449740e-10  3.205402e-10  5.838679e-06  1.114712e-05  8.169228e-05  4.835974e-18  1.413582e-04  5.340618e-05  1.497978e-06  8.132377e-10  9.601799e-05  6.218704e-07  1.800770e-09  4.587993e-05  3.165202e-05  5.049957e-12  6.284990e-11  3.309657e-18  2.060523e-06  8.943426e-11  1.833470e-07  4.414654e-07  3.411788e-10  2.118719e-12  1.768516e-07  1.143439e-12  7.912398e-13  1.855073e-07  6.599050e-08  1.657639e-05  7.523307e-08  6.941380e-09  1.413217e-07  5.419336e-07  1.127439e-07  1.411961e-06  1.602597e-06  7.444443e-09  4.141949e-10  3.052259e-09  2.497025e-07  5.144196e-10  6.368290e-07  1.302747e-09  1.561510e-09  6.458999e-10  1.692818e-08  1.168104e-10  4.157029e-11  2.010868e-09  1.877359e-10  1.715281e-10  3.505540e-13  3.082889e-13  7.202773e-17  1.110588e-20  5.557046e-13  5.769398e-13  2.674410e-10  8.061463e-13  1.721394e-15  1.614395e-11  5.285903e-10  1.334663e-12  2.106483e-12  3.683306e-14  1.517117e-09  4.520204e-12  1.000000e+00  3.080757e+01  3.779214e+01  4.908441e+01  6.097918e+01  7.323023e+01  8.569396e+01  
1.000000e+05  4.250000e-04  3.641625e-04  4.601300e-02  1.167061e+00  5.370000e-02  3.622000e+02  4.124027e-01  1.499329e-05  2.128830e-07  2.134533e-01  4.410050e-05  7.827156e-02  1.658280e-04  3.774383e-05  2.586850e-15  6.956820e-12  7.715872e-08  8.695121e-09  3.081374e-04  9.084456e-03  3.942248e-02  3.325544e-03  5.793328e-07  1.158620e-03  1.246360e-08  2.476044e-04  4.881980e-04  2.109827e-10  2.316662e-02  1.721522e-07  2.110423e-01  6.681875e-04  4.034988e-03  7.780111e-07  1.893084e-03  6.095768e-06  8.044081e-130  1.450803e-04  3.530864e-126  5.754929e-10  7.417449e-10  8.770796e-06  1.332669e-05  9.820949e-05  3.680438e-17  1.819906e-04  6.327033e-05  1.921551e-06  3.958674e-09  1.208530e-04  8.056261e-07  5.310260e-09  5.784805e-05  3.888852e-05  3.425729e-11  2.238080e-10  2.217021e-17  2.687907e-06  4.742912e-10  2.374857e-07  5.734284e-07  4.492034e-10  5.908656e-12  2.292659e-07  2.098743e-12  2.223854e-12  2.408600e-07  8.560715e-08  2.153755e-05  9.771226e-08  7.556824e-09  1.862558e-07  6.923771e-07  1.564158e-07  1.315249e-06  1.319200e-06  9.685932e-09  1.234870e-09  4.239475e-09  3.441015e-07  6.832063e-10  8.622907e-07  1.698752e-09  2.059404e-09  9.150350e-10  2.399794e-08  1.680878e-10  5.733942e-11  2.849907e-09  2.744483e-10  2.507530e-10  4.882371e-13  4.285192e-13  1.095386e-16  1.493477e-20  8.164210e-13  8.498494e-13  4.096179e-10  1.271912e-12  2.715980e-15  2.547720e-11  7.625568e-10  1.823211e-12  2.829555e-12  5.613682e-14  2.217631e-09  6.500567e-12  1.000000e+00  3.110261e+01  3.861334e+01  5.106360e+01  6.406796e+01  7.744422e+01  9.101187e+01  
1.000000e+05  4.750000e-04  3.745990e-04  4.234940e-02  1.268023e+00  5.370000e-02  3.874000e+02  4.180822e-01  3.563321e-05  4.906546e-07  2.020611e-01  6.406080e-05  8.570619e-02  1.917150e-04  3.884376e-05  3.237283e-14  3.732999e-11  1.730966e-07  1.951498e-08  4.730035e-04  1.000935e-02  4.380017e-02  3.814976e-03  1.156809e-06  1.329533e-03  2.165826e-08  2.567773e-04  5.471610e-04  3.726259e-10  2.644479e-02  3.988338e-07  1.986219e-01  7.694432e-04  4.578517e-03  1.700879e-06  2.229620e-03  7.211817e-06  8.681038e-130  1.712909e-04  3.816420e-126  1.463849e-09  1.789322e-09  1.359027e-05  1.570692e-05  1.167391e-04  2.403069e-16  2.328773e-04  7.253981e-05  2.472380e-06  2.645709e-08  1.504699e-04  1.027719e-06  1.853193e-08  7.214931e-05  4.677621e-05  2.325687e-10  8.758820e-10  1.497564e-16  3.483293e-06  2.209294e-09  3.038668e-07  7.354959e-07  5.810523e-10  1.674636e-11  2.936266e-07  3.463029e-12  6.499716e-12  3.076543e-07  1.097033e-07  2.762571e-05  1.265839e-07  7.768848e-09  2.424121e-07  8.721098e-07  2.042254e-07  1.175015e-06  9.932420e-07  1.244506e-08  3.287494e-09  5.846181e-09  4.668955e-07  8.897165e-10  1.150822e-06  2.173799e-09  2.682397e-09  1.274896e-09  3.345191e-08  2.437021e-10  7.799833e-11  3.972991e-09  3.941370e-10  3.601038e-10  6.614419e-13  5.786072e-13  2.160465e-16  1.981618e-20  1.170576e-12  1.223702e-12  6.151536e-10  1.965223e-12  4.191570e-15  3.937580e-11  1.080973e-09  2.399635e-12  3.594289e-12  8.379482e-14  3.184206e-09  9.271992e-12  1.000000e+00  3.138177e+01  3.937521e+01  5.289073e+01  6.691418e+01  8.132808e+01  9.590982e+01  
