int_time      x             rho           u             G             T             H2            O2            H2O           H             O             OH            HO2           H2O2          N2            sumfracs      
1.000000e+04  0.000000e+00  6.818352e-01  1.000000e+00  1.000000e+00  3.000000e+02  5.000000e-01  5.000000e-01  3.550925e-31  1.145345e-34  2.438381e-40  9.500658e-33  3.177292e-31  2.065347e-42  0.000000e+00  1.000000e+00  
1.000000e+04  2.600000e-04  6.818352e-01  1.013702e+00  4.535968e+00  3.000000e+02  5.000000e-01  5.000000e-01  2.808775e-30  2.978808e-34  1.481065e-39  5.849676e-32  2.791860e-30  1.824523e-41  0.000000e+00  1.000000e+00  
1.000000e+04  6.600000e-04  6.818352e-01  1.006411e+00  4.557176e+00  3.000000e+02  5.000000e-01  5.000000e-01  4.318414e-30  3.041312e-34  2.260620e-39  5.971799e-32  4.296894e-30  3.320910e-41  0.000000e+00  1.000000e+00  
1.000000e+04  9.000000e-04  6.818352e-01  1.001960e+00  4.567493e+00  3.000000e+02  5.000000e-01  5.000000e-01  5.454402e-30  3.043958e-34  2.845220e-39  5.976961e-32  5.425893e-30  4.789111e-41  0.000000e+00  1.000000e+00  
1.000000e+04  1.200000e-03  6.818352e-01  9.963124e-01  4.585109e+00  3.000000e+02  5.000000e-01  5.000000e-01  7.500349e-30  3.044131e-34  3.855414e-39  5.977299e-32  7.479441e-30  8.289628e-41  0.000000e+00  1.000000e+00  
1.000000e+04  1.550000e-03  6.818352e-01  9.895968e-01  4.603655e+00  3.000000e+02  5.000000e-01  5.000000e-01  9.154870e-30  3.044136e-34  4.677578e-39  5.977309e-32  9.128883e-30  1.175990e-40  0.000000e+00  1.000000e+00  
1.000000e+04  1.900000e-03  6.818352e-01  9.827487e-01  4.622828e+00  3.000000e+02  5.000000e-01  5.000000e-01  1.128281e-29  3.044137e-34  5.706486e-39  5.977310e-32  1.125881e-29  1.723155e-40  0.000000e+00  1.000000e+00  
1.000000e+04  2.300000e-03  6.818352e-01  9.747482e-01  4.647093e+00  3.000000e+02  5.000000e-01  5.000000e-01  1.348613e-29  3.044137e-34  6.761156e-39  5.977310e-32  1.345835e-29  2.403083e-40  0.000000e+00  1.000000e+00  
1.000000e+04  2.800000e-03  6.818352e-01  9.644900e-01  4.674228e+00  3.000000e+02  5.000000e-01  5.000000e-01  1.673878e-29  3.044137e-34  8.270352e-39  5.977309e-32  1.671365e-29  3.641625e-40  0.000000e+00  1.000000e+00  
1.000000e+04  3.450000e-03  6.818352e-01  9.506868e-01  4.718869e+00  3.000000e+02  5.000000e-01  5.000000e-01  2.057985e-29  3.044137e-34  1.000370e-38  5.977310e-32  2.055768e-29  5.431241e-40  0.000000e+00  1.000000e+00  
1.000000e+04  4.100000e-03  6.818352e-01  9.363358e-01  4.758322e+00  3.000000e+02  5.000000e-01  5.000000e-01  2.396007e-29  3.044137e-34  1.149619e-38  5.977310e-32  2.393588e-29  7.265347e-40  0.000000e+00  1.000000e+00  
1.000000e+04  4.700000e-03  6.818352e-01  9.225765e-01  4.804097e+00  3.000000e+02  5.000000e-01  5.000000e-01  2.736858e-29  3.044137e-34  1.296054e-38  5.977310e-32  2.734398e-29  9.379590e-40  0.000000e+00  1.000000e+00  
1.000000e+04  5.300000e-03  6.818352e-01  9.083045e-01  4.843632e+00  3.000000e+02  5.000000e-01  5.000000e-01  3.083485e-29  3.044137e-34  1.441109e-38  5.977309e-32  3.080928e-29  1.180465e-39  0.000000e+00  1.000000e+00  
1.000000e+04  5.950000e-03  6.818352e-01  8.922207e-01  4.899716e+00  3.000000e+02  5.000000e-01  5.000000e-01  3.482316e-29  3.044137e-34  1.602006e-38  5.977310e-32  3.480792e-29  1.495050e-39  0.000000e+00  1.000000e+00  
1.000000e+04  6.450000e-03  6.818352e-01  8.793766e-01  4.937885e+00  3.000000e+02  5.000000e-01  5.000000e-01  3.668418e-29  3.044137e-34  1.677473e-38  5.977310e-32  3.666086e-29  1.649144e-39  0.000000e+00  1.000000e+00  
